Id,State,Date,ConfirmedCases,Fatalities
1,Alaska,3/8/2020,1,0
2,Alaska,3/9/2020,1,0
3,Alaska,3/10/2020,1,0
4,Alaska,3/11/2020,1,0
5,Alaska,3/12/2020,1,0
6,Alaska,3/13/2020,1,0
7,Alaska,3/14/2020,1,0
8,Alaska,3/15/2020,1,0
9,Alaska,3/16/2020,3,0
10,Alaska,3/17/2020,6,0
11,Alaska,3/18/2020,9,0
12,Alaska,3/19/2020,12,0
13,Alaska,3/20/2020,14,0
14,Alaska,3/21/2020,21,0
15,Alaska,3/22/2020,22,0
16,Alaska,3/23/2020,36,0
17,Alaska,3/24/2020,42,0
18,Alaska,3/25/2020,59,0
19,Alaska,3/26/2020,69,0
20,Alaska,3/27/2020,85,1
21,Alaska,3/28/2020,102,1
22,Alaska,3/29/2020,114,2
23,Alaska,3/30/2020,120,2
24,Alaska,3/31/2020,133,2
25,Alaska,4/1/2020,143,2
26,Alaska,4/2/2020,146,2
27,Alaska,4/3/2020,156,2
28,Alaska,4/4/2020,169,3
29,Alaska,4/5/2020,183,4
30,Alaska,4/6/2020,189,4
31,Alaska,4/7/2020,211,4
32,Alaska,4/8/2020,224,5
33,Alaska,4/9/2020,233,5
34,Alaska,4/10/2020,244,5
35,Alaska,4/11/2020,255,6
36,Alaska,4/12/2020,270,6
37,Alaska,4/13/2020,275,6
38,Alaska,4/14/2020,283,7
39,Alaska,4/15/2020,291,7
40,Alaska,4/16/2020,298,7
41,Alaska,4/17/2020,307,7
42,Alaska,4/18/2020,312,7
43,Alaska,4/19/2020,317,7
44,Alaska,4/20/2020,319,7
45,Alaska,4/21/2020,327,7
46,Alaska,4/22/2020,333,7
47,Alaska,4/23/2020,335,7
48,Alaska,4/24/2020,337,7
49,Alaska,4/25/2020,337,7
50,Alaska,4/26/2020,339,7
51,Alaska,4/27/2020,343,7
52,Alaska,4/28/2020,349,7
53,Alaska,4/29/2020,353,7
54,Alaska,4/30/2020,353,7
55,Alaska,5/1/2020,362,7
56,Alaska,5/2/2020,363,7
57,Alaska,5/3/2020,366,7
58,Alaska,5/4/2020,368,7
59,Alaska,5/5/2020,369,7
60,Alaska,5/6/2020,370,8
61,Alaska,5/7/2020,373,8
62,Alaska,5/8/2020,376,8
63,Alaska,5/9/2020,377,8
64,Alaska,5/10/2020,378,8
65,Alaska,5/11/2020,380,8
66,Alaska,5/12/2020,383,8
67,Alaska,5/13/2020,383,8
68,Alaska,5/14/2020,387,8
69,Alaska,5/15/2020,388,8
70,Alaska,5/16/2020,392,8
71,Alaska,5/17/2020,396,8
72,Alaska,5/18/2020,399,8
73,Alaska,5/19/2020,399,8
74,Alaska,5/20/2020,402,8
75,Alaska,5/21/2020,402,8
76,Alaska,5/22/2020,404,8
77,Alaska,5/23/2020,409,8
78,Alaska,5/24/2020,409,8
79,Alaska,5/25/2020,412,8
80,Alaska,5/26/2020,416,8
81,Alaska,5/27/2020,417,8
82,Alaska,5/28/2020,430,8
83,Alaska,5/29/2020,436,8
84,Alaska,5/30/2020,441,8
85,Alaska,5/31/2020,469,8
86,Alaska,6/1/2020,476,8
87,Alaska,6/2/2020,497,8
88,Alaska,6/3/2020,516,8
89,Alaska,6/4/2020,542,8
90,Alaska,6/5/2020,565,8
91,Alaska,6/6/2020,579,8
92,Alaska,6/7/2020,588,8
93,Alaska,6/8/2020,607,8
94,Alaska,6/9/2020,620,9
95,Alaska,6/10/2020,642,9
96,Alaska,6/11/2020,666,9
97,Alaska,6/12/2020,688,10
98,Alaska,6/13/2020,722,10
99,Alaska,6/14/2020,734,10
100,Alaska,6/15/2020,738,10
101,Alaska,6/16/2020,751,10
102,Alaska,6/17/2020,776,10
103,Alaska,6/18/2020,795,10
104,Alaska,6/19/2020,821,10
105,Alaska,6/20/2020,845,10
106,Alaska,6/21/2020,859,10
107,Alaska,6/22/2020,869,10
108,Alaska,6/23/2020,905,10
109,Alaska,6/24/2020,926,10
110,Alaska,6/25/2020,971,10
111,Alaska,6/26/2020,1001,12
112,Alaska,6/27/2020,1027,12
113,Alaska,6/28/2020,1060,12
114,Alaska,6/29/2020,1085,12
115,Alaska,6/30/2020,1132,12
116,Alaska,7/1/2020,1174,12
117,Alaska,7/2/2020,1224,12
118,Alaska,7/3/2020,1284,13
119,Alaska,7/4/2020,1339,14
120,Alaska,7/5/2020,1371,14
121,Alaska,7/6/2020,1401,14
122,Alaska,7/7/2020,1423,15
123,Alaska,7/8/2020,1472,15
124,Alaska,7/9/2020,1521,15
125,Alaska,7/10/2020,1579,15
126,Alaska,7/11/2020,1656,15
127,Alaska,7/12/2020,1772,15
128,Alaska,7/13/2020,1843,15
129,Alaska,7/14/2020,1897,15
130,Alaska,7/15/2020,1958,15
131,Alaska,7/16/2020,2034,15
132,Alaska,7/17/2020,2083,15
133,Alaska,7/18/2020,2157,16
134,Alaska,7/19/2020,2275,16
135,Alaska,7/20/2020,2412,16
136,Alaska,7/21/2020,2523,16
137,Alaska,7/22/2020,2617,17
138,Alaska,7/23/2020,2682,17
139,Alaska,7/24/2020,2746,17
140,Alaska,7/25/2020,2866,18
141,Alaska,7/26/2020,3100,18
142,Alaska,7/27/2020,3204,19
143,Alaska,7/28/2020,3348,20
144,Alaska,7/29/2020,3440,20
145,Alaska,7/30/2020,3557,21
146,Alaska,7/31/2020,3675,21
