Id,State,Date,ConfirmedCases,Fatalities
1,Alabama,3/6/2020,6,0
2,Alabama,3/7/2020,6,0
3,Alabama,3/8/2020,6,0
4,Alabama,3/9/2020,6,0
5,Alabama,3/10/2020,6,0
6,Alabama,3/11/2020,6,0
7,Alabama,3/12/2020,6,0
8,Alabama,3/13/2020,6,0
9,Alabama,3/14/2020,12,0
10,Alabama,3/15/2020,23,0
11,Alabama,3/16/2020,29,0
12,Alabama,3/17/2020,39,0
13,Alabama,3/18/2020,51,0
14,Alabama,3/19/2020,78,0
15,Alabama,3/20/2020,106,0
16,Alabama,3/21/2020,131,0
17,Alabama,3/22/2020,157,0
18,Alabama,3/23/2020,196,0
19,Alabama,3/24/2020,242,0
20,Alabama,3/25/2020,386,1
21,Alabama,3/26/2020,538,3
22,Alabama,3/27/2020,639,4
23,Alabama,3/28/2020,720,4
24,Alabama,3/29/2020,830,5
25,Alabama,3/30/2020,947,11
26,Alabama,3/31/2020,999,14
27,Alabama,4/1/2020,1108,28
28,Alabama,4/2/2020,1270,32
29,Alabama,4/3/2020,1535,38
30,Alabama,4/4/2020,1632,44
31,Alabama,4/5/2020,1840,45
32,Alabama,4/6/2020,2005,53
33,Alabama,4/7/2020,2197,64
34,Alabama,4/8/2020,2498,67
35,Alabama,4/9/2020,2838,78
36,Alabama,4/10/2020,3008,80
37,Alabama,4/11/2020,3262,93
38,Alabama,4/12/2020,3583,93
39,Alabama,4/13/2020,3805,104
40,Alabama,4/14/2020,3953,114
41,Alabama,4/15/2020,4241,123
42,Alabama,4/16/2020,4404,137
43,Alabama,4/17/2020,4572,151
44,Alabama,4/18/2020,4723,147
45,Alabama,4/19/2020,4903,160
46,Alabama,4/20/2020,5078,164
47,Alabama,4/21/2020,5327,186
48,Alabama,4/22/2020,5610,201
49,Alabama,4/23/2020,5832,197
50,Alabama,4/24/2020,6026,209
51,Alabama,4/25/2020,6213,213
52,Alabama,4/26/2020,6421,219
53,Alabama,4/27/2020,6539,228
54,Alabama,4/28/2020,6750,242
55,Alabama,4/29/2020,6925,262
56,Alabama,4/30/2020,7068,272
57,Alabama,5/1/2020,7294,289
58,Alabama,5/2/2020,7611,288
59,Alabama,5/3/2020,7888,290
60,Alabama,5/4/2020,8112,298
61,Alabama,5/5/2020,8437,315
62,Alabama,5/6/2020,8691,343
63,Alabama,5/7/2020,9046,369
64,Alabama,5/8/2020,9385,383
65,Alabama,5/9/2020,9668,390
66,Alabama,5/10/2020,9889,393
67,Alabama,5/11/2020,10164,403
68,Alabama,5/12/2020,10464,435
69,Alabama,5/13/2020,10700,450
70,Alabama,5/14/2020,11101,473
71,Alabama,5/15/2020,11373,483
72,Alabama,5/16/2020,11674,485
73,Alabama,5/17/2020,11771,488
74,Alabama,5/18/2020,12086,489
75,Alabama,5/19/2020,12376,504
76,Alabama,5/20/2020,13052,522
77,Alabama,5/21/2020,13414,529
78,Alabama,5/22/2020,13670,541
79,Alabama,5/23/2020,14149,549
80,Alabama,5/24/2020,14478,551
81,Alabama,5/25/2020,14986,566
82,Alabama,5/26/2020,15650,580
83,Alabama,5/27/2020,16032,583
84,Alabama,5/28/2020,16530,591
85,Alabama,5/29/2020,17031,610
86,Alabama,5/30/2020,17359,618
87,Alabama,5/31/2020,17952,630
88,Alabama,6/1/2020,18534,646
89,Alabama,6/2/2020,18771,653
90,Alabama,6/3/2020,18851,653
91,Alabama,6/4/2020,19072,653
92,Alabama,6/5/2020,19387,676
93,Alabama,6/6/2020,20043,689
94,Alabama,6/7/2020,20500,692
