Id,State,Date,ConfirmedCases,Fatalities
1,Arkansas,3/5/2020,1,0
2,Arkansas,3/6/2020,1,0
3,Arkansas,3/7/2020,1,0
4,Arkansas,3/8/2020,1,0
5,Arkansas,3/9/2020,1,0
6,Arkansas,3/10/2020,1,0
7,Arkansas,3/11/2020,1,0
8,Arkansas,3/12/2020,6,0
9,Arkansas,3/13/2020,7,0
10,Arkansas,3/14/2020,9,0
11,Arkansas,3/15/2020,16,0
12,Arkansas,3/16/2020,22,0
13,Arkansas,3/17/2020,22,0
14,Arkansas,3/18/2020,33,0
15,Arkansas,3/19/2020,62,0
16,Arkansas,3/20/2020,100,0
17,Arkansas,3/21/2020,118,0
18,Arkansas,3/22/2020,165,0
19,Arkansas,3/23/2020,201,0
20,Arkansas,3/24/2020,231,2
21,Arkansas,3/25/2020,307,2
22,Arkansas,3/26/2020,350,3
23,Arkansas,3/27/2020,385,3
24,Arkansas,3/28/2020,409,5
25,Arkansas,3/29/2020,449,6
26,Arkansas,3/30/2020,508,7
27,Arkansas,3/31/2020,564,8
28,Arkansas,4/1/2020,624,10
29,Arkansas,4/2/2020,683,12
30,Arkansas,4/3/2020,738,12
31,Arkansas,4/4/2020,743,14
32,Arkansas,4/5/2020,853,16
33,Arkansas,4/6/2020,927,16
34,Arkansas,4/7/2020,997,18
35,Arkansas,4/8/2020,1077,18
36,Arkansas,4/9/2020,1146,21
37,Arkansas,4/10/2020,1202,24
38,Arkansas,4/11/2020,1228,25
39,Arkansas,4/12/2020,1280,27
40,Arkansas,4/13/2020,1475,30
41,Arkansas,4/14/2020,1498,32
42,Arkansas,4/15/2020,1599,34
43,Arkansas,4/16/2020,1620,37
44,Arkansas,4/17/2020,1695,37
45,Arkansas,4/18/2020,1777,38
46,Arkansas,4/19/2020,1781,39
47,Arkansas,4/20/2020,1971,42
48,Arkansas,4/21/2020,2262,43
49,Arkansas,4/22/2020,2392,44
50,Arkansas,4/23/2020,2599,45
51,Arkansas,4/24/2020,2810,47
52,Arkansas,4/25/2020,2909,48
53,Arkansas,4/26/2020,3001,50
54,Arkansas,4/27/2020,3069,51
55,Arkansas,4/28/2020,3127,57
56,Arkansas,4/29/2020,3207,59
57,Arkansas,4/30/2020,3281,61
58,Arkansas,5/1/2020,3310,64
59,Arkansas,5/2/2020,3372,72
60,Arkansas,5/3/2020,3431,76
61,Arkansas,5/4/2020,3469,80
62,Arkansas,5/5/2020,3525,83
63,Arkansas,5/6/2020,3611,87
64,Arkansas,5/7/2020,3694,88
65,Arkansas,5/8/2020,3747,88
66,Arkansas,5/9/2020,3747,88
67,Arkansas,5/10/2020,4012,91
68,Arkansas,5/11/2020,4043,94
69,Arkansas,5/12/2020,4164,95
70,Arkansas,5/13/2020,4236,97
71,Arkansas,5/14/2020,4366,98
72,Arkansas,5/15/2020,4463,98
73,Arkansas,5/16/2020,4578,98
74,Arkansas,5/17/2020,4759,98
75,Arkansas,5/18/2020,4813,100
76,Arkansas,5/19/2020,4923,102
77,Arkansas,5/20/2020,5003,107
78,Arkansas,5/21/2020,5458,110
79,Arkansas,5/22/2020,5612,113
80,Arkansas,5/23/2020,5775,115
81,Arkansas,5/24/2020,5922,116
82,Arkansas,5/25/2020,6029,117
83,Arkansas,5/26/2020,6180,119
84,Arkansas,5/27/2020,6277,120
85,Arkansas,5/28/2020,6538,125
86,Arkansas,5/29/2020,6777,132
87,Arkansas,5/30/2020,7013,133
88,Arkansas,5/31/2020,7253,133
89,Arkansas,6/1/2020,7443,133
90,Arkansas,6/2/2020,7818,136
91,Arkansas,6/3/2020,8067,142
92,Arkansas,6/4/2020,8425,151
93,Arkansas,6/5/2020,8651,152
94,Arkansas,6/6/2020,9101,154
95,Arkansas,6/7/2020,9426,154
96,Arkansas,6/8/2020,9740,155
97,Arkansas,6/9/2020,10080,161
98,Arkansas,6/10/2020,10368,165
99,Arkansas,6/11/2020,10816,171
100,Arkansas,6/12/2020,11547,176
101,Arkansas,6/13/2020,12095,177
102,Arkansas,6/14/2020,12501,179
103,Arkansas,6/15/2020,12917,182
104,Arkansas,6/16/2020,13191,188
105,Arkansas,6/17/2020,13606,197
106,Arkansas,6/18/2020,13928,208
107,Arkansas,6/19/2020,14631,214
108,Arkansas,6/20/2020,15142,224
109,Arkansas,6/21/2020,15561,225
110,Arkansas,6/22/2020,16083,227
111,Arkansas,6/23/2020,16678,237
112,Arkansas,6/24/2020,17375,240
113,Arkansas,6/25/2020,18062,240
114,Arkansas,6/26/2020,18740,249
115,Arkansas,6/27/2020,19310,259
116,Arkansas,6/28/2020,19818,264
117,Arkansas,6/29/2020,20257,265
118,Arkansas,6/30/2020,20777,270
119,Arkansas,7/1/2020,21197,277
120,Arkansas,7/2/2020,22075,279
121,Arkansas,7/3/2020,22622,281
122,Arkansas,7/4/2020,23209,286
123,Arkansas,7/5/2020,23814,287
