Id,State,Date,ConfirmedCases,Fatalities
1,Arizona,3/1/2020,1,0
2,Arizona,3/2/2020,1,0
3,Arizona,3/3/2020,2,0
4,Arizona,3/4/2020,2,0
5,Arizona,3/5/2020,2,0
6,Arizona,3/6/2020,3,0
7,Arizona,3/7/2020,5,0
8,Arizona,3/8/2020,5,0
9,Arizona,3/9/2020,6,0
10,Arizona,3/10/2020,6,0
11,Arizona,3/11/2020,9,0
12,Arizona,3/12/2020,9,0
13,Arizona,3/13/2020,9,0
14,Arizona,3/14/2020,12,0
15,Arizona,3/15/2020,13,0
16,Arizona,3/16/2020,18,0
17,Arizona,3/17/2020,20,0
18,Arizona,3/18/2020,28,0
19,Arizona,3/19/2020,47,0
20,Arizona,3/20/2020,70,1
21,Arizona,3/21/2020,104,1
22,Arizona,3/22/2020,153,2
23,Arizona,3/23/2020,234,2
24,Arizona,3/24/2020,326,6
25,Arizona,3/25/2020,402,6
26,Arizona,3/26/2020,508,8
27,Arizona,3/27/2020,665,15
28,Arizona,3/28/2020,773,15
29,Arizona,3/29/2020,930,18
30,Arizona,3/30/2020,1169,20
31,Arizona,3/31/2020,1298,24
32,Arizona,4/1/2020,1413,29
33,Arizona,4/2/2020,1600,35
34,Arizona,4/3/2020,1769,41
35,Arizona,4/4/2020,2019,53
36,Arizona,4/5/2020,2269,64
37,Arizona,4/6/2020,2466,67
38,Arizona,4/7/2020,2577,77
39,Arizona,4/8/2020,2726,80
40,Arizona,4/9/2020,3018,89
41,Arizona,4/10/2020,3112,97
42,Arizona,4/11/2020,3393,112
43,Arizona,4/12/2020,3539,117
44,Arizona,4/13/2020,3702,122
45,Arizona,4/14/2020,3806,131
46,Arizona,4/15/2020,3962,142
47,Arizona,4/16/2020,4234,152
48,Arizona,4/17/2020,4507,174
49,Arizona,4/18/2020,4719,181
50,Arizona,4/19/2020,4929,188
51,Arizona,4/20/2020,5064,191
52,Arizona,4/21/2020,5251,213
53,Arizona,4/22/2020,5459,236
54,Arizona,4/23/2020,5769,257
55,Arizona,4/24/2020,6045,268
56,Arizona,4/25/2020,6280,275
57,Arizona,4/26/2020,6526,277
58,Arizona,4/27/2020,6716,277
59,Arizona,4/28/2020,6948,297
60,Arizona,4/29/2020,7202,308
61,Arizona,4/30/2020,7648,320
62,Arizona,5/1/2020,7962,330
63,Arizona,5/2/2020,8364,353
64,Arizona,5/3/2020,8640,362
65,Arizona,5/4/2020,8919,362
66,Arizona,5/5/2020,9305,395
67,Arizona,5/6/2020,9707,426
68,Arizona,5/7/2020,9945,450
69,Arizona,5/8/2020,10526,517
70,Arizona,5/9/2020,10960,532
71,Arizona,5/10/2020,11119,536
72,Arizona,5/11/2020,11380,542
73,Arizona,5/12/2020,11736,562
74,Arizona,5/13/2020,12176,594
75,Arizona,5/14/2020,12674,624
76,Arizona,5/15/2020,13169,651
77,Arizona,5/16/2020,13631,679
78,Arizona,5/17/2020,13937,680
79,Arizona,5/18/2020,14170,686
80,Arizona,5/19/2020,14566,704
81,Arizona,5/20/2020,14897,747
82,Arizona,5/21/2020,15315,763
83,Arizona,5/22/2020,15608,775
84,Arizona,5/23/2020,16040,799
85,Arizona,5/24/2020,16339,800
86,Arizona,5/25/2020,16561,806
87,Arizona,5/26/2020,16783,807
88,Arizona,5/27/2020,17262,831
89,Arizona,5/28/2020,17763,857
90,Arizona,5/29/2020,18465,885
91,Arizona,5/30/2020,19255,903
92,Arizona,5/31/2020,19936,906
93,Arizona,6/1/2020,20123,918
94,Arizona,6/2/2020,21250,943
95,Arizona,6/3/2020,22245,983
96,Arizona,6/4/2020,22818,1000
97,Arizona,6/5/2020,24369,1016
98,Arizona,6/6/2020,25517,1046
99,Arizona,6/7/2020,26924,1048
100,Arizona,6/8/2020,27761,1052
101,Arizona,6/9/2020,28396,1074
102,Arizona,6/10/2020,29981,1100
103,Arizona,6/11/2020,31525,1130
104,Arizona,6/12/2020,33167,1157
105,Arizona,6/13/2020,34773,1190
106,Arizona,6/14/2020,35953,1194
107,Arizona,6/15/2020,37005,1204
108,Arizona,6/16/2020,39298,1228
109,Arizona,6/17/2020,41159,1252
110,Arizona,6/18/2020,43731,1287
111,Arizona,6/19/2020,46914,1322
112,Arizona,6/20/2020,50198,1347
113,Arizona,6/21/2020,52666,1350
114,Arizona,6/22/2020,54767,1354
115,Arizona,6/23/2020,58397,1398
116,Arizona,6/24/2020,60207,1467
117,Arizona,6/25/2020,63297,1495
118,Arizona,6/26/2020,66676,1537
119,Arizona,6/27/2020,70152,1581
120,Arizona,6/28/2020,73961,1594
121,Arizona,6/29/2020,74602,1598
122,Arizona,6/30/2020,79399,1645
