Id,State,Date,ConfirmedCases,Fatalities
1,California,2/22/2020,9,0
2,California,2/23/2020,9,0
3,California,2/24/2020,11,0
4,California,2/25/2020,11,0
5,California,2/26/2020,26,0
6,California,2/27/2020,26,0
7,California,2/28/2020,27,0
8,California,2/29/2020,28,0
9,California,3/1/2020,33,0
10,California,3/2/2020,38,0
11,California,3/3/2020,45,0
12,California,3/4/2020,55,0
13,California,3/5/2020,67,0
14,California,3/6/2020,81,0
15,California,3/7/2020,100,0
16,California,3/8/2020,112,0
17,California,3/9/2020,172,0
18,California,3/10/2020,179,0
19,California,3/11/2020,202,0
20,California,3/12/2020,252,4
21,California,3/13/2020,320,4
22,California,3/14/2020,381,5
23,California,3/15/2020,478,5
24,California,3/16/2020,588,6
25,California,3/17/2020,732,11
26,California,3/18/2020,893,13
27,California,3/19/2020,1067,18
28,California,3/20/2020,1283,20
29,California,3/21/2020,1544,24
30,California,3/22/2020,1851,27
31,California,3/23/2020,2240,27
32,California,3/24/2020,2644,40
33,California,3/25/2020,3183,53
34,California,3/26/2020,4060,65
35,California,3/27/2020,4915,78
36,California,3/28/2020,5566,101
37,California,3/29/2020,6321,123
38,California,3/30/2020,7421,133
39,California,3/31/2020,8583,153
40,California,4/1/2020,9857,171
41,California,4/2/2020,11190,203
42,California,4/3/2020,12569,237
43,California,4/4/2020,13796,276
44,California,4/5/2020,15202,319
45,California,4/6/2020,16361,343
46,California,4/7/2020,17540,374
47,California,4/8/2020,19043,442
48,California,4/9/2020,20191,492
49,California,4/10/2020,21366,541
50,California,4/11/2020,22421,609
51,California,4/12/2020,23323,651
52,California,4/13/2020,24334,687
53,California,4/14/2020,25758,758
54,California,4/15/2020,27107,821
55,California,4/16/2020,28142,890
56,California,4/17/2020,29398,985
57,California,4/18/2020,30829,1072
58,California,4/19/2020,31544,1166
59,California,4/20/2020,33862,1208
60,California,4/21/2020,35844,1268
61,California,4/22/2020,37573,1354
62,California,4/23/2020,39534,1469
63,California,4/24/2020,41368,1562
64,California,4/25/2020,42590,1651
65,California,4/26/2020,43691,1710
66,California,4/27/2020,45208,1755
67,California,4/28/2020,46570,1809
68,California,4/29/2020,48904,1887
69,California,4/30/2020,50470,1982
70,California,5/1/2020,52318,2073
71,California,5/2/2020,53753,2171
72,California,5/3/2020,55072,2215
73,California,5/4/2020,56333,2254
74,California,5/5/2020,58848,2317
75,California,5/6/2020,60787,2412
76,California,5/7/2020,62481,2504
77,California,5/8/2020,64616,2585
78,California,5/9/2020,66824,2678
79,California,5/10/2020,68051,2745
80,California,5/11/2020,69514,2770
81,California,5/12/2020,71150,2847
82,California,5/13/2020,73218,2934
83,California,5/14/2020,74947,3032
84,California,5/15/2020,77015,3108
85,California,5/16/2020,78933,3204
86,California,5/17/2020,80366,3261
87,California,5/18/2020,81943,3302
88,California,5/19/2020,83981,3334
89,California,5/20/2020,86125,3436
90,California,5/21/2020,88488,3542
91,California,5/22/2020,90801,3630
92,California,5/23/2020,92815,3708
93,California,5/24/2020,94743,3774
94,California,5/25/2020,97017,3795
95,California,5/26/2020,99924,3814
96,California,5/27/2020,101873,3884
97,California,5/28/2020,104071,3973
98,California,5/29/2020,107043,4068
99,California,5/30/2020,110100,4156
100,California,5/31/2020,113114,4213
101,California,6/1/2020,115643,4251
102,California,6/2/2020,118081,4286
103,California,6/3/2020,120407,4361
104,California,6/4/2020,122917,4422
105,California,6/5/2020,126510,4485
106,California,6/6/2020,129147,4559
107,California,6/7/2020,131997,4626
108,California,6/8/2020,134287,4653
109,California,6/9/2020,137245,4697
110,California,6/10/2020,140139,4776
111,California,6/11/2020,143709,4881
112,California,6/12/2020,147285,4943
113,California,6/13/2020,150434,4989
114,California,6/14/2020,152953,5063
115,California,6/15/2020,155662,5089
116,California,6/16/2020,159131,5121
117,California,6/17/2020,163381,5208
118,California,6/18/2020,167135,5290
119,California,6/19/2020,170843,5360
120,California,6/20/2020,174854,5424
121,California,6/21/2020,178807,5495
122,California,6/22/2020,184620,5515
123,California,6/23/2020,191039,5580
124,California,6/24/2020,195889,5632
125,California,6/25/2020,201413,5733
126,California,6/26/2020,207027,5812
127,California,6/27/2020,211453,5872
128,California,6/28/2020,216955,5905
129,California,6/29/2020,223995,5936
130,California,6/30/2020,232153,5980
131,California,7/1/2020,239764,6090
132,California,7/2/2020,248198,6163
133,California,7/3/2020,256298,6263
134,California,7/4/2020,265176,6313
135,California,7/5/2020,271587,6331
136,California,7/6/2020,277869,6337
137,California,7/7/2020,287766,6448
138,California,7/8/2020,296304,6562
139,California,7/9/2020,303516,6711
140,California,7/10/2020,311505,6851
141,California,7/11/2020,320030,6945
142,California,7/12/2020,327676,7017
143,California,7/13/2020,336206,7040
144,California,7/14/2020,346593,7087
145,California,7/15/2020,355497,7227
146,California,7/16/2020,364761,7345
147,California,7/17/2020,374922,7475
148,California,7/18/2020,383194,7595
149,California,7/19/2020,391460,7685
150,California,7/20/2020,400195,7694
151,California,7/21/2020,410366,7755
152,California,7/22/2020,422528,7870
153,California,7/23/2020,433175,8027
154,California,7/24/2020,443096,8186
155,California,7/25/2020,453327,8337
156,California,7/26/2020,459338,8416
157,California,7/27/2020,467103,8445
158,California,7/28/2020,474951,8518
159,California,7/29/2020,487855,8715
160,California,7/30/2020,494269,8909
161,California,7/31/2020,502273,9005
