Id,State,Date,ConfirmedCases,Fatalities
1,Colorado,2/22/2020,2,0
2,Colorado,2/23/2020,2,0
3,Colorado,2/24/2020,2,0
4,Colorado,2/25/2020,2,0
5,Colorado,2/26/2020,2,0
6,Colorado,2/27/2020,2,0
7,Colorado,2/28/2020,2,0
8,Colorado,2/29/2020,2,0
9,Colorado,3/1/2020,2,0
10,Colorado,3/2/2020,2,0
11,Colorado,3/3/2020,2,0
12,Colorado,3/4/2020,2,0
13,Colorado,3/5/2020,2,0
14,Colorado,3/6/2020,8,0
15,Colorado,3/7/2020,8,0
16,Colorado,3/8/2020,8,0
17,Colorado,3/9/2020,12,0
18,Colorado,3/10/2020,17,0
19,Colorado,3/11/2020,34,0
20,Colorado,3/12/2020,49,1
21,Colorado,3/13/2020,78,2
22,Colorado,3/14/2020,103,2
23,Colorado,3/15/2020,136,2
24,Colorado,3/16/2020,161,2
25,Colorado,3/17/2020,183,3
26,Colorado,3/18/2020,216,3
27,Colorado,3/19/2020,278,5
28,Colorado,3/20/2020,364,5
29,Colorado,3/21/2020,475,6
30,Colorado,3/22/2020,591,7
31,Colorado,3/23/2020,721,10
32,Colorado,3/24/2020,912,11
33,Colorado,3/25/2020,1086,19
34,Colorado,3/26/2020,1432,24
35,Colorado,3/27/2020,1735,31
36,Colorado,3/28/2020,2061,44
37,Colorado,3/29/2020,2315,47
38,Colorado,3/30/2020,2628,51
39,Colorado,3/31/2020,2990,69
40,Colorado,4/1/2020,3346,80
41,Colorado,4/2/2020,3728,96
42,Colorado,4/3/2020,4182,110
43,Colorado,4/4/2020,4574,126
44,Colorado,4/5/2020,4950,140
45,Colorado,4/6/2020,5172,150
46,Colorado,4/7/2020,5429,179
47,Colorado,4/8/2020,5655,192
48,Colorado,4/9/2020,6202,227
49,Colorado,4/10/2020,6510,253
50,Colorado,4/11/2020,6893,274
51,Colorado,4/12/2020,7303,290
52,Colorado,4/13/2020,7691,308
53,Colorado,4/14/2020,7941,329
54,Colorado,4/15/2020,8280,355
55,Colorado,4/16/2020,8675,374
56,Colorado,4/17/2020,9047,389
57,Colorado,4/18/2020,9433,409
58,Colorado,4/19/2020,9730,421
59,Colorado,4/20/2020,10106,448
60,Colorado,4/21/2020,10447,484
61,Colorado,4/22/2020,10878,526
62,Colorado,4/23/2020,11262,557
63,Colorado,4/24/2020,12255,672
64,Colorado,4/25/2020,12967,670
65,Colorado,4/26/2020,13440,678
66,Colorado,4/27/2020,13804,705
67,Colorado,4/28/2020,14239,734
68,Colorado,4/29/2020,14680,764
69,Colorado,4/30/2020,15207,775
70,Colorado,5/1/2020,15661,818
71,Colorado,5/2/2020,16118,830
72,Colorado,5/3/2020,16527,840
73,Colorado,5/4/2020,16799,849
74,Colorado,5/5/2020,17256,901
75,Colorado,5/6/2020,17720,919
76,Colorado,5/7/2020,18264,942
77,Colorado,5/8/2020,18719,958
78,Colorado,5/9/2020,19267,965
79,Colorado,5/10/2020,19595,969
80,Colorado,5/11/2020,19793,986
81,Colorado,5/12/2020,20103,1009
82,Colorado,5/13/2020,20442,1062
83,Colorado,5/14/2020,20813,1091
84,Colorado,5/15/2020,21207,1150
85,Colorado,5/16/2020,21604,1192
86,Colorado,5/17/2020,21909,1215
87,Colorado,5/18/2020,22174,1224
88,Colorado,5/19/2020,22454,1257
89,Colorado,5/20/2020,22769,1299
90,Colorado,5/21/2020,23161,1310
91,Colorado,5/22/2020,23456,1324
92,Colorado,5/23/2020,23932,1327
93,Colorado,5/24/2020,24140,1332
94,Colorado,5/25/2020,24256,1333
95,Colorado,5/26/2020,24553,1352
96,Colorado,5/27/2020,24775,1393
97,Colorado,5/28/2020,25116,1422
98,Colorado,5/29/2020,25602,1437
99,Colorado,5/30/2020,26084,1443
100,Colorado,5/31/2020,26364,1445
101,Colorado,6/1/2020,26563,1458
102,Colorado,6/2/2020,26774,1474
103,Colorado,6/3/2020,27046,1494
104,Colorado,6/4/2020,27346,1512
105,Colorado,6/5/2020,27601,1524
106,Colorado,6/6/2020,27834,1527
107,Colorado,6/7/2020,27987,1527
108,Colorado,6/8/2020,28169,1543
109,Colorado,6/9/2020,28333,1553
110,Colorado,6/10/2020,28484,1573
111,Colorado,6/11/2020,28632,1583
112,Colorado,6/12/2020,28807,1595
113,Colorado,6/13/2020,29002,1598
114,Colorado,6/14/2020,29115,1599
115,Colorado,6/15/2020,29284,1605
116,Colorado,6/16/2020,29427,1617
117,Colorado,6/17/2020,29658,1631
118,Colorado,6/18/2020,29886,1638
119,Colorado,6/19/2020,30172,1643
120,Colorado,6/20/2020,30334,1647
121,Colorado,6/21/2020,30524,1647
122,Colorado,6/22/2020,30689,1651
123,Colorado,6/23/2020,30877,1665
124,Colorado,6/24/2020,31139,1667
125,Colorado,6/25/2020,31463,1669
126,Colorado,6/26/2020,31780,1673
127,Colorado,6/27/2020,32006,1674
128,Colorado,6/28/2020,32290,1676
129,Colorado,6/29/2020,32495,1682
130,Colorado,6/30/2020,32698,1690
131,Colorado,7/1/2020,33012,1697
132,Colorado,7/2/2020,33335,1701
133,Colorado,7/3/2020,33607,1701
134,Colorado,7/4/2020,33900,1703
135,Colorado,7/5/2020,34100,1703
136,Colorado,7/6/2020,34316,1704
137,Colorado,7/7/2020,34717,1709
138,Colorado,7/8/2020,35185,1707
139,Colorado,7/9/2020,35604,1707
140,Colorado,7/10/2020,36210,1724
141,Colorado,7/11/2020,36633,1725
142,Colorado,7/12/2020,36933,1726
143,Colorado,7/13/2020,37303,1728
144,Colorado,7/14/2020,37761,1739
145,Colorado,7/15/2020,38240,1745
146,Colorado,7/16/2020,38817,1746
147,Colorado,7/17/2020,39409,1753
148,Colorado,7/18/2020,39811,1753
149,Colorado,7/19/2020,40182,1753
150,Colorado,7/20/2020,40649,1759
151,Colorado,7/21/2020,41152,1764
152,Colorado,7/22/2020,41747,1772
153,Colorado,7/23/2020,42409,1788
154,Colorado,7/24/2020,43098,1791
155,Colorado,7/25/2020,43847,1795
156,Colorado,7/26/2020,44364,1795
157,Colorado,7/27/2020,44723,1800
158,Colorado,7/28/2020,45420,1809
159,Colorado,7/29/2020,45885,1826
160,Colorado,7/30/2020,46338,1826
161,Colorado,7/31/2020,46948,1841
