Id,State,Date,ConfirmedCases,Fatalities
1,Connecticut,2/28/2020,1,0
2,Connecticut,2/29/2020,1,0
3,Connecticut,3/1/2020,1,0
4,Connecticut,3/2/2020,1,0
5,Connecticut,3/3/2020,1,0
6,Connecticut,3/4/2020,1,0
7,Connecticut,3/5/2020,1,0
8,Connecticut,3/6/2020,1,0
9,Connecticut,3/7/2020,1,0
10,Connecticut,3/8/2020,1,0
11,Connecticut,3/9/2020,2,0
12,Connecticut,3/10/2020,2,0
13,Connecticut,3/11/2020,3,0
14,Connecticut,3/12/2020,6,0
15,Connecticut,3/13/2020,11,0
16,Connecticut,3/14/2020,20,0
17,Connecticut,3/15/2020,26,0
18,Connecticut,3/16/2020,41,0
19,Connecticut,3/17/2020,68,0
20,Connecticut,3/18/2020,96,1
21,Connecticut,3/19/2020,159,4
22,Connecticut,3/20/2020,194,4
23,Connecticut,3/21/2020,223,5
24,Connecticut,3/22/2020,327,8
25,Connecticut,3/23/2020,415,10
26,Connecticut,3/24/2020,618,12
27,Connecticut,3/25/2020,875,19
28,Connecticut,3/26/2020,1012,21
29,Connecticut,3/27/2020,1291,27
30,Connecticut,3/28/2020,1524,33
31,Connecticut,3/29/2020,1993,34
32,Connecticut,3/30/2020,2571,36
33,Connecticut,3/31/2020,3128,69
34,Connecticut,4/1/2020,3557,85
35,Connecticut,4/2/2020,3824,112
36,Connecticut,4/3/2020,4915,132
37,Connecticut,4/4/2020,5276,165
38,Connecticut,4/5/2020,5675,189
39,Connecticut,4/6/2020,6906,206
40,Connecticut,4/7/2020,7781,277
41,Connecticut,4/8/2020,8781,335
42,Connecticut,4/9/2020,9784,380
43,Connecticut,4/10/2020,10538,448
44,Connecticut,4/11/2020,11510,494
45,Connecticut,4/12/2020,12035,554
46,Connecticut,4/13/2020,13381,602
47,Connecticut,4/14/2020,13989,671
48,Connecticut,4/15/2020,14755,868
49,Connecticut,4/16/2020,15884,971
50,Connecticut,4/17/2020,16809,1036
51,Connecticut,4/18/2020,17550,1086
52,Connecticut,4/19/2020,17962,1127
53,Connecticut,4/20/2020,19815,1331
54,Connecticut,4/21/2020,20360,1423
55,Connecticut,4/22/2020,22469,1544
56,Connecticut,4/23/2020,23100,1639
57,Connecticut,4/24/2020,23921,1764
58,Connecticut,4/25/2020,24582,1862
59,Connecticut,4/26/2020,25269,1925
60,Connecticut,4/27/2020,25997,2012
61,Connecticut,4/28/2020,26312,2089
62,Connecticut,4/29/2020,26767,2168
63,Connecticut,4/30/2020,27700,2257
64,Connecticut,5/1/2020,28764,2339
65,Connecticut,5/2/2020,29287,2436
66,Connecticut,5/3/2020,29287,2436
67,Connecticut,5/4/2020,29973,2556
68,Connecticut,5/5/2020,30621,2633
69,Connecticut,5/6/2020,30995,2718
70,Connecticut,5/7/2020,31784,2797
71,Connecticut,5/8/2020,32411,2874
72,Connecticut,5/9/2020,32984,2932
73,Connecticut,5/10/2020,33554,2967
74,Connecticut,5/11/2020,33765,3008
75,Connecticut,5/12/2020,34333,3041
76,Connecticut,5/13/2020,34855,3125
77,Connecticut,5/14/2020,35464,3219
78,Connecticut,5/15/2020,36085,3285
79,Connecticut,5/16/2020,36703,3339
80,Connecticut,5/17/2020,37419,3408
81,Connecticut,5/18/2020,38116,3449
82,Connecticut,5/19/2020,38430,3472
83,Connecticut,5/20/2020,39017,3529
84,Connecticut,5/21/2020,39208,3582
85,Connecticut,5/22/2020,39640,3637
86,Connecticut,5/23/2020,40022,3675
87,Connecticut,5/24/2020,40468,3693
88,Connecticut,5/25/2020,40873,3742
89,Connecticut,5/26/2020,41303,3769
90,Connecticut,5/27/2020,41288,3803
91,Connecticut,5/28/2020,41559,3826
92,Connecticut,5/29/2020,41762,3868
93,Connecticut,5/30/2020,42022,3912
94,Connecticut,5/31/2020,42201,3944
95,Connecticut,6/1/2020,42740,3964
96,Connecticut,6/2/2020,42979,3972
97,Connecticut,6/3/2020,43091,3989
98,Connecticut,6/4/2020,43239,4007
99,Connecticut,6/5/2020,43460,4038
100,Connecticut,6/6/2020,43818,4055
101,Connecticut,6/7/2020,43968,4071
102,Connecticut,6/8/2020,44092,4084
103,Connecticut,6/9/2020,44179,4097
104,Connecticut,6/10/2020,44347,4120
105,Connecticut,6/11/2020,44461,4146
106,Connecticut,6/12/2020,44689,4159
107,Connecticut,6/13/2020,44994,4186
108,Connecticut,6/14/2020,45088,4201
109,Connecticut,6/15/2020,45235,4204
110,Connecticut,6/16/2020,45349,4210
111,Connecticut,6/17/2020,45429,4219
112,Connecticut,6/18/2020,45440,4226
113,Connecticut,6/19/2020,45557,4238
114,Connecticut,6/20/2020,45715,4251
115,Connecticut,6/21/2020,45755,4260
116,Connecticut,6/22/2020,45782,4263
117,Connecticut,6/23/2020,45899,4277
118,Connecticut,6/24/2020,45913,4287
119,Connecticut,6/25/2020,45994,4298
120,Connecticut,6/26/2020,46059,4307
121,Connecticut,6/27/2020,46206,4311
122,Connecticut,6/28/2020,46303,4316
123,Connecticut,6/29/2020,46362,4320
124,Connecticut,6/30/2020,46514,4322
125,Connecticut,7/1/2020,46572,4324
126,Connecticut,7/2/2020,46646,4326
127,Connecticut,7/3/2020,46717,4335
128,Connecticut,7/4/2020,46717,4335
129,Connecticut,7/5/2020,46717,4335
130,Connecticut,7/6/2020,46976,4338
131,Connecticut,7/7/2020,47033,4338
132,Connecticut,7/8/2020,47108,4343
133,Connecticut,7/9/2020,47209,4348
134,Connecticut,7/10/2020,47287,4348
135,Connecticut,7/11/2020,47287,4348
136,Connecticut,7/12/2020,47287,4348
137,Connecticut,7/13/2020,47510,4371
138,Connecticut,7/14/2020,47530,4372
139,Connecticut,7/15/2020,47636,4380
140,Connecticut,7/16/2020,47750,4389
141,Connecticut,7/17/2020,47893,4396
142,Connecticut,7/18/2020,47893,4396
143,Connecticut,7/19/2020,47893,4396
144,Connecticut,7/20/2020,48055,4406
145,Connecticut,7/21/2020,48096,4406
146,Connecticut,7/22/2020,48223,4406
147,Connecticut,7/23/2020,48232,4410
