Id,State,Date,ConfirmedCases,Fatalities
26,Delaware,3/7/2020,1,0
27,Delaware,3/8/2020,1,0
28,Delaware,3/9/2020,1,0
29,Delaware,3/10/2020,1,0
30,Delaware,3/11/2020,1,0
31,Delaware,3/12/2020,4,0
32,Delaware,3/13/2020,4,0
33,Delaware,3/14/2020,4,0
34,Delaware,3/15/2020,7,0
35,Delaware,3/16/2020,8,0
36,Delaware,3/17/2020,16,0
37,Delaware,3/18/2020,26,0
38,Delaware,3/19/2020,30,0
39,Delaware,3/20/2020,39,0
40,Delaware,3/21/2020,45,0
41,Delaware,3/22/2020,56,0
42,Delaware,3/23/2020,87,0
43,Delaware,3/24/2020,104,0
44,Delaware,3/25/2020,119,0
45,Delaware,3/26/2020,143,1
46,Delaware,3/27/2020,165,2
47,Delaware,3/28/2020,214,5
48,Delaware,3/29/2020,232,6
49,Delaware,3/30/2020,264,7
50,Delaware,3/31/2020,319,10
51,Delaware,4/1/2020,368,11
52,Delaware,4/2/2020,393,12
53,Delaware,4/3/2020,450,14
54,Delaware,4/4/2020,593,14
55,Delaware,4/5/2020,673,14
56,Delaware,4/6/2020,783,15
57,Delaware,4/7/2020,928,16
58,Delaware,4/8/2020,1116,19
59,Delaware,4/9/2020,1209,23
60,Delaware,4/10/2020,1326,32
61,Delaware,4/11/2020,1479,33
62,Delaware,4/12/2020,1625,35
63,Delaware,4/13/2020,1761,41
64,Delaware,4/14/2020,1926,43
65,Delaware,4/15/2020,2014,46
66,Delaware,4/16/2020,2075,52
67,Delaware,4/17/2020,2323,61
68,Delaware,4/18/2020,2538,67
69,Delaware,4/19/2020,2538,67
70,Delaware,4/20/2020,2745,72
71,Delaware,4/21/2020,2931,82
72,Delaware,4/22/2020,3200,89
73,Delaware,4/23/2020,3308,92
74,Delaware,4/24/2020,3442,100
75,Delaware,4/25/2020,3576,112
76,Delaware,4/26/2020,4034,120
77,Delaware,4/27/2020,4162,125
78,Delaware,4/28/2020,4575,137
79,Delaware,4/29/2020,4655,144
80,Delaware,4/30/2020,4734,152
81,Delaware,5/1/2020,4918,159
82,Delaware,5/2/2020,5038,168
83,Delaware,5/3/2020,5208,177
84,Delaware,5/4/2020,5288,182
85,Delaware,5/5/2020,5371,187
86,Delaware,5/6/2020,5778,193
87,Delaware,5/7/2020,5939,202
88,Delaware,5/8/2020,6083,213
89,Delaware,5/9/2020,6277,221
90,Delaware,5/10/2020,6447,224
91,Delaware,5/11/2020,6565,225
92,Delaware,5/12/2020,6741,237
93,Delaware,5/13/2020,6952,247
94,Delaware,5/14/2020,7223,260
95,Delaware,5/15/2020,7373,271
96,Delaware,5/16/2020,7547,286
97,Delaware,5/17/2020,7670,290
98,Delaware,5/18/2020,7869,297
99,Delaware,5/19/2020,8037,304
100,Delaware,5/20/2020,8194,310
101,Delaware,5/21/2020,8386,317
102,Delaware,5/22/2020,8529,322
103,Delaware,5/23/2020,8690,324
104,Delaware,5/24/2020,8809,326
105,Delaware,5/25/2020,8965,332
106,Delaware,5/26/2020,9066,335
107,Delaware,5/27/2020,9096,344
108,Delaware,5/28/2020,9171,345
109,Delaware,5/29/2020,9236,356
110,Delaware,5/30/2020,9422,361
111,Delaware,5/31/2020,9498,366
112,Delaware,6/1/2020,9605,368
113,Delaware,6/2/2020,9685,373
114,Delaware,6/3/2020,9712,375
115,Delaware,6/4/2020,9746,386
116,Delaware,6/5/2020,9773,388
117,Delaware,6/6/2020,9845,390
118,Delaware,6/7/2020,9942,398
119,Delaware,6/8/2020,9972,398
120,Delaware,6/9/2020,10020,410
121,Delaware,6/10/2020,10056,413
122,Delaware,6/11/2020,10106,414
123,Delaware,6/12/2020,10173,414
124,Delaware,6/13/2020,10229,419
125,Delaware,6/14/2020,10264,422
126,Delaware,6/15/2020,10340,423
127,Delaware,6/16/2020,10403,424
128,Delaware,6/17/2020,10444,426
129,Delaware,6/18/2020,10499,431
130,Delaware,6/19/2020,10611,433
131,Delaware,6/20/2020,10681,434
132,Delaware,6/21/2020,10775,435
133,Delaware,6/22/2020,10820,435
134,Delaware,6/23/2020,10847,504
135,Delaware,6/24/2020,10889,505
136,Delaware,6/25/2020,10980,507
137,Delaware,6/26/2020,11017,507
138,Delaware,6/27/2020,11091,507
139,Delaware,6/28/2020,11226,507
140,Delaware,6/29/2020,11376,507
141,Delaware,6/30/2020,11474,509
142,Delaware,7/1/2020,11510,509
143,Delaware,7/2/2020,11731,510
144,Delaware,7/3/2020,11923,512
145,Delaware,7/4/2020,11996,512
146,Delaware,7/5/2020,12128,512
147,Delaware,7/6/2020,12293,512
148,Delaware,7/7/2020,12414,514
149,Delaware,7/8/2020,12462,515
150,Delaware,7/9/2020,12531,517
151,Delaware,7/10/2020,12652,517
152,Delaware,7/11/2020,12743,517
153,Delaware,7/12/2020,12804,517
154,Delaware,7/13/2020,12879,517
155,Delaware,7/14/2020,12969,518
156,Delaware,7/15/2020,13050,521
157,Delaware,7/16/2020,13114,521
158,Delaware,7/17/2020,13337,521
159,Delaware,7/18/2020,13429,523
160,Delaware,7/19/2020,13519,523
161,Delaware,7/20/2020,13624,523
162,Delaware,7/21/2020,13746,525
163,Delaware,7/22/2020,13792,527
164,Delaware,7/23/2020,13924,529
165,Delaware,7/24/2020,14202,578
166,Delaware,7/25/2020,14175,579
167,Delaware,7/26/2020,14290,579
168,Delaware,7/27/2020,14406,579
169,Delaware,7/28/2020,14476,580
170,Delaware,7/29/2020,14602,581
171,Delaware,7/30/2020,14689,581
172,Delaware,7/31/2020,14788,585
