Id,State,Date,ConfirmedCases,Fatalities
1,Florida,2/21/2020,1,0
2,Florida,2/22/2020,1,0
3,Florida,2/23/2020,1,0
4,Florida,2/24/2020,1,0
5,Florida,2/25/2020,1,0
6,Florida,2/26/2020,1,0
7,Florida,2/27/2020,1,0
8,Florida,2/28/2020,1,0
9,Florida,2/29/2020,2,0
10,Florida,3/1/2020,2,0
11,Florida,3/2/2020,2,0
12,Florida,3/3/2020,3,0
13,Florida,3/4/2020,3,0
14,Florida,3/5/2020,4,0
15,Florida,3/6/2020,7,0
16,Florida,3/7/2020,12,0
17,Florida,3/8/2020,13,0
18,Florida,3/9/2020,14,0
19,Florida,3/10/2020,23,0
20,Florida,3/11/2020,26,2
21,Florida,3/12/2020,46,2
22,Florida,3/13/2020,70,2
23,Florida,3/14/2020,70,3
24,Florida,3/15/2020,109,4
25,Florida,3/16/2020,141,4
26,Florida,3/17/2020,210,6
27,Florida,3/18/2020,326,7
28,Florida,3/19/2020,434,8
29,Florida,3/20/2020,564,10
30,Florida,3/21/2020,764,12
31,Florida,3/22/2020,1000,13
32,Florida,3/23/2020,1222,14
33,Florida,3/24/2020,1467,18
34,Florida,3/25/2020,1971,22
35,Florida,3/26/2020,2478,28
36,Florida,3/27/2020,3198,34
37,Florida,3/28/2020,4038,54
38,Florida,3/29/2020,4943,56
39,Florida,3/30/2020,5695,63
40,Florida,3/31/2020,6742,77
41,Florida,4/1/2020,7769,87
42,Florida,4/2/2020,9000,128
43,Florida,4/3/2020,10260,163
44,Florida,4/4/2020,11537,191
45,Florida,4/5/2020,12342,218
46,Florida,4/6/2020,13621,236
47,Florida,4/7/2020,14739,296
48,Florida,4/8/2020,15690,309
49,Florida,4/9/2020,16819,354
50,Florida,4/10/2020,17960,390
51,Florida,4/11/2020,18978,438
52,Florida,4/12/2020,19855,465
53,Florida,4/13/2020,21011,483
54,Florida,4/14/2020,21620,537
55,Florida,4/15/2020,22526,609
56,Florida,4/16/2020,23332,646
57,Florida,4/17/2020,24745,699
58,Florida,4/18/2020,25484,754
59,Florida,4/19/2020,26306,781
60,Florida,4/20/2020,27050,806
61,Florida,4/21/2020,27861,856
62,Florida,4/22/2020,28301,910
63,Florida,4/23/2020,29640,979
64,Florida,4/24/2020,30525,1031
65,Florida,4/25/2020,30831,1075
66,Florida,4/26/2020,31520,1094
67,Florida,4/27/2020,32130,1101
68,Florida,4/28/2020,32838,1154
69,Florida,4/29/2020,33185,1240
70,Florida,4/30/2020,33683,1290
71,Florida,5/1/2020,34720,1314
72,Florida,5/2/2020,35455,1388
73,Florida,5/3/2020,36070,1403
74,Florida,5/4/2020,36889,1423
75,Florida,5/5/2020,37431,1536
76,Florida,5/6/2020,37994,1605
77,Florida,5/7/2020,38820,1667
78,Florida,5/8/2020,39191,1738
79,Florida,5/9/2020,39993,1785
80,Florida,5/10/2020,40588,1791
81,Florida,5/11/2020,40974,1805
82,Florida,5/12/2020,41915,1849
83,Florida,5/13/2020,42394,1898
84,Florida,5/14/2020,43202,1948
85,Florida,5/15/2020,44130,1991
86,Florida,5/16/2020,44803,2040
87,Florida,5/17/2020,45580,2049
88,Florida,5/18/2020,46434,2073
89,Florida,5/19/2020,46936,2129
90,Florida,5/20/2020,47463,2173
91,Florida,5/21/2020,48667,2222
92,Florida,5/22/2020,49443,2268
93,Florida,5/23/2020,50119,2312
94,Florida,5/24/2020,50859,2316
95,Florida,5/25/2020,51738,2331
96,Florida,5/26/2020,52247,2338
97,Florida,5/27/2020,52626,2400
98,Florida,5/28/2020,53277,2446
99,Florida,5/29/2020,54489,2495
100,Florida,5/30/2020,55416,2530
101,Florida,5/31/2020,56155,2534
102,Florida,6/1/2020,56822,2543
103,Florida,6/2/2020,57439,2613
104,Florida,6/3/2020,58756,2650
105,Florida,6/4/2020,60175,2691
106,Florida,6/5/2020,61480,2745
107,Florida,6/6/2020,62750,2773
108,Florida,6/7/2020,63930,2786
109,Florida,6/8/2020,64896,2798
110,Florida,6/9/2020,65992,2851
111,Florida,6/10/2020,67363,2889
112,Florida,6/11/2020,69061,2938
113,Florida,6/12/2020,70963,2967
114,Florida,6/13/2020,73544,3016
115,Florida,6/14/2020,75560,3022
116,Florida,6/15/2020,77318,3030
117,Florida,6/16/2020,80101,3085
118,Florida,6/17/2020,82711,3110
119,Florida,6/18/2020,85918,3154
120,Florida,6/19/2020,89740,3197
121,Florida,6/20/2020,93789,3237
122,Florida,6/21/2020,97283,3254
123,Florida,6/22/2020,100209,3266
124,Florida,6/23/2020,103495,3333
125,Florida,6/24/2020,109006,3377
126,Florida,6/25/2020,114010,3423
127,Florida,6/26/2020,122952,3464
128,Florida,6/27/2020,132537,3489
129,Florida,6/28/2020,141067,3518
130,Florida,6/29/2020,146333,3546
131,Florida,6/30/2020,152426,3604
132,Florida,7/1/2020,158989,3650
133,Florida,7/2/2020,169098,3718
