Id,State,Date,ConfirmedCases,Fatalities
1,Georgia,2/22/2020,1,0
2,Georgia,2/23/2020,1,0
3,Georgia,2/24/2020,1,0
4,Georgia,2/25/2020,1,0
5,Georgia,2/26/2020,1,0
6,Georgia,2/27/2020,1,0
7,Georgia,2/28/2020,2,0
8,Georgia,2/29/2020,2,0
9,Georgia,3/1/2020,2,0
10,Georgia,3/2/2020,2,0
11,Georgia,3/3/2020,2,0
12,Georgia,3/4/2020,2,0
13,Georgia,3/5/2020,2,0
14,Georgia,3/6/2020,3,0
15,Georgia,3/7/2020,7,0
16,Georgia,3/8/2020,11,0
17,Georgia,3/9/2020,17,0
18,Georgia,3/10/2020,22,0
19,Georgia,3/11/2020,31,0
20,Georgia,3/12/2020,31,1
21,Georgia,3/13/2020,41,1
22,Georgia,3/14/2020,65,1
23,Georgia,3/15/2020,97,1
24,Georgia,3/16/2020,118,1
25,Georgia,3/17/2020,142,1
26,Georgia,3/18/2020,193,3
27,Georgia,3/19/2020,282,10
28,Georgia,3/20/2020,482,14
29,Georgia,3/21/2020,552,20
30,Georgia,3/22/2020,620,25
31,Georgia,3/23/2020,800,25
32,Georgia,3/24/2020,1095,38
33,Georgia,3/25/2020,1385,47
34,Georgia,3/26/2020,1641,56
35,Georgia,3/27/2020,2198,64
36,Georgia,3/28/2020,2447,79
37,Georgia,3/29/2020,2683,83
38,Georgia,3/30/2020,3032,103
39,Georgia,3/31/2020,4116,126
40,Georgia,4/1/2020,4747,154
41,Georgia,4/2/2020,5444,176
42,Georgia,4/3/2020,5967,198
43,Georgia,4/4/2020,6383,208
44,Georgia,4/5/2020,6742,219
45,Georgia,4/6/2020,7558,294
46,Georgia,4/7/2020,9156,348
47,Georgia,4/8/2020,10204,370
48,Georgia,4/9/2020,10885,412
49,Georgia,4/10/2020,11859,425
50,Georgia,4/11/2020,12261,432
51,Georgia,4/12/2020,12103,438
52,Georgia,4/13/2020,13125,479
53,Georgia,4/14/2020,13913,517
54,Georgia,4/15/2020,14583,569
55,Georgia,4/16/2020,15644,611
56,Georgia,4/17/2020,16658,661
57,Georgia,4/18/2020,17014,670
58,Georgia,4/19/2020,17619,682
59,Georgia,4/20/2020,18447,767
60,Georgia,4/21/2020,19189,810
61,Georgia,4/22/2020,20099,837
62,Georgia,4/23/2020,20905,871
63,Georgia,4/24/2020,21575,889
64,Georgia,4/25/2020,22225,897
65,Georgia,4/26/2020,22459,907
66,Georgia,4/27/2020,23229,981
67,Georgia,4/28/2020,23607,1022
68,Georgia,4/29/2020,24300,1086
69,Georgia,4/30/2020,25431,1121
70,Georgia,5/1/2020,26436,1153
71,Georgia,5/2/2020,27268,1161
72,Georgia,5/3/2020,27618,1168
73,Georgia,5/4/2020,28350,1228
74,Georgia,5/5/2020,28876,1277
75,Georgia,5/6/2020,29724,1309
76,Georgia,5/7/2020,30524,1332
77,Georgia,5/8/2020,31089,1378
78,Georgia,5/9/2020,31481,1380
79,Georgia,5/10/2020,32267,1383
80,Georgia,5/11/2020,32448,1420
81,Georgia,5/12/2020,33311,1470
82,Georgia,5/13/2020,33866,1494
83,Georgia,5/14/2020,34422,1521
84,Georgia,5/15/2020,35242,1563
85,Georgia,5/16/2020,35655,1573
86,Georgia,5/17/2020,35954,1584
87,Georgia,5/18/2020,36634,1624
88,Georgia,5/19/2020,37214,1650
89,Georgia,5/20/2020,38162,1672
90,Georgia,5/21/2020,38969,1749
91,Georgia,5/22/2020,39734,1779
92,Georgia,5/23/2020,40408,1794
93,Georgia,5/24/2020,40989,1799
94,Georgia,5/25/2020,41414,1820
95,Georgia,5/26/2020,42066,1867
96,Georgia,5/27/2020,42713,1904
97,Georgia,5/28/2020,43363,1942
98,Georgia,5/29/2020,43888,1953
99,Georgia,5/30/2020,44336,1973
100,Georgia,5/31/2020,45051,2019
101,Georgia,6/1/2020,45757,2057
102,Georgia,6/2/2020,46063,2070
103,Georgia,6/3/2020,46711,2092
104,Georgia,6/4/2020,47528,2116
105,Georgia,6/5/2020,48280,2143
106,Georgia,6/6/2020,48943,2147
