Id,State,Date,ConfirmedCases,Fatalities
1,Hawaii,3/12/2020,2,0
2,Hawaii,3/13/2020,2,0
3,Hawaii,3/14/2020,4,0
4,Hawaii,3/15/2020,7,0
5,Hawaii,3/16/2020,10,0
6,Hawaii,3/17/2020,14,0
7,Hawaii,3/18/2020,16,0
8,Hawaii,3/19/2020,26,0
9,Hawaii,3/20/2020,37,0
10,Hawaii,3/21/2020,48,0
11,Hawaii,3/22/2020,56,0
12,Hawaii,3/23/2020,77,0
13,Hawaii,3/24/2020,90,0
14,Hawaii,3/25/2020,95,0
15,Hawaii,3/26/2020,106,0
16,Hawaii,3/27/2020,120,0
17,Hawaii,3/28/2020,151,0
18,Hawaii,3/29/2020,175,0
19,Hawaii,3/30/2020,204,0
20,Hawaii,3/31/2020,224,1
21,Hawaii,4/1/2020,258,1
22,Hawaii,4/2/2020,283,2
23,Hawaii,4/3/2020,317,3
24,Hawaii,4/4/2020,349,3
25,Hawaii,4/5/2020,369,4
26,Hawaii,4/6/2020,385,5
27,Hawaii,4/7/2020,408,5
28,Hawaii,4/8/2020,433,5
29,Hawaii,4/9/2020,440,6
30,Hawaii,4/10/2020,463,8
31,Hawaii,4/11/2020,484,8
32,Hawaii,4/12/2020,497,9
33,Hawaii,4/13/2020,502,9
34,Hawaii,4/14/2020,511,9
35,Hawaii,4/15/2020,524,9
36,Hawaii,4/16/2020,535,9
37,Hawaii,4/17/2020,547,9
38,Hawaii,4/18/2020,568,9
39,Hawaii,4/19/2020,574,10
40,Hawaii,4/20/2020,578,10
41,Hawaii,4/21/2020,580,12
42,Hawaii,4/22/2020,586,12
43,Hawaii,4/23/2020,590,12
44,Hawaii,4/24/2020,595,13
45,Hawaii,4/25/2020,597,14
46,Hawaii,4/26/2020,599,14
47,Hawaii,4/27/2020,600,16
48,Hawaii,4/28/2020,602,16
49,Hawaii,4/29/2020,605,16
50,Hawaii,4/30/2020,609,16
51,Hawaii,5/1/2020,610,16
52,Hawaii,5/2/2020,611,16
53,Hawaii,5/3/2020,611,17
54,Hawaii,5/4/2020,612,17
55,Hawaii,5/5/2020,615,17
56,Hawaii,5/6/2020,616,17
57,Hawaii,5/7/2020,619,17
58,Hawaii,5/8/2020,619,17
59,Hawaii,5/9/2020,620,17
60,Hawaii,5/10/2020,621,17
61,Hawaii,5/11/2020,623,17
62,Hawaii,5/12/2020,624,17
63,Hawaii,5/13/2020,627,17
64,Hawaii,5/14/2020,627,17
65,Hawaii,5/15/2020,628,17
66,Hawaii,5/16/2020,629,17
67,Hawaii,5/17/2020,630,17
68,Hawaii,5/18/2020,630,17
69,Hawaii,5/19/2020,631,17
70,Hawaii,5/20/2020,633,17
71,Hawaii,5/21/2020,637,17
72,Hawaii,5/22/2020,632,17
73,Hawaii,5/23/2020,633,17
74,Hawaii,5/24/2020,633,17
75,Hawaii,5/25/2020,633,17
76,Hawaii,5/26/2020,633,17
77,Hawaii,5/27/2020,634,17
78,Hawaii,5/28/2020,637,17
79,Hawaii,5/29/2020,639,17
80,Hawaii,5/30/2020,641,17
81,Hawaii,5/31/2020,642,17
82,Hawaii,6/1/2020,642,17
83,Hawaii,6/2/2020,643,17
84,Hawaii,6/3/2020,643,17
85,Hawaii,6/4/2020,644,17
86,Hawaii,6/5/2020,653,17
87,Hawaii,6/6/2020,661,17
88,Hawaii,6/7/2020,663,17
89,Hawaii,6/8/2020,664,17
90,Hawaii,6/9/2020,670,17
91,Hawaii,6/10/2020,673,17
92,Hawaii,6/11/2020,680,17
93,Hawaii,6/12/2020,694,17
94,Hawaii,6/13/2020,711,17
95,Hawaii,6/14/2020,716,17
96,Hawaii,6/15/2020,724,17
97,Hawaii,6/16/2020,728,17
98,Hawaii,6/17/2020,732,17
99,Hawaii,6/18/2020,750,17
100,Hawaii,6/19/2020,777,17
101,Hawaii,6/20/2020,791,17
102,Hawaii,6/21/2020,802,17
103,Hawaii,6/22/2020,804,17
104,Hawaii,6/23/2020,807,17
105,Hawaii,6/24/2020,821,17
106,Hawaii,6/25/2020,836,17
107,Hawaii,6/26/2020,850,17
108,Hawaii,6/27/2020,856,18
109,Hawaii,6/28/2020,883,18
110,Hawaii,6/29/2020,884,18
111,Hawaii,6/30/2020,901,18
112,Hawaii,7/1/2020,909,18
113,Hawaii,7/2/2020,929,18
114,Hawaii,7/3/2020,957,19
115,Hawaii,7/4/2020,981,19
116,Hawaii,7/5/2020,1005,19
117,Hawaii,7/6/2020,1012,19
118,Hawaii,7/7/2020,1053,19
119,Hawaii,7/8/2020,1076,19
120,Hawaii,7/9/2020,1112,19
121,Hawaii,7/10/2020,1139,19
122,Hawaii,7/11/2020,1181,19
123,Hawaii,7/12/2020,1201,19
124,Hawaii,7/13/2020,1222,21
125,Hawaii,7/14/2020,1243,21
126,Hawaii,7/15/2020,1271,21
127,Hawaii,7/16/2020,1290,21
128,Hawaii,7/17/2020,1312,22
129,Hawaii,7/18/2020,1332,23
130,Hawaii,7/19/2020,1359,23
131,Hawaii,7/20/2020,1371,23
132,Hawaii,7/21/2020,1396,23
133,Hawaii,7/22/2020,1413,24
134,Hawaii,7/23/2020,1468,25
135,Hawaii,7/24/2020,1526,25
136,Hawaii,7/25/2020,1597,25
137,Hawaii,7/26/2020,1660,25
138,Hawaii,7/27/2020,1688,25
139,Hawaii,7/28/2020,1734,25
140,Hawaii,7/29/2020,1842,25
141,Hawaii,7/30/2020,1966,25
142,Hawaii,7/31/2020,2088,25
