Id,State,Date,ConfirmedCases,Fatalities
1,Iowa,3/5/2020,3,0
2,Iowa,3/6/2020,3,0
3,Iowa,3/7/2020,3,0
4,Iowa,3/8/2020,3,0
5,Iowa,3/9/2020,8,0
6,Iowa,3/10/2020,13,0
7,Iowa,3/11/2020,14,0
8,Iowa,3/12/2020,16,0
9,Iowa,3/13/2020,17,0
10,Iowa,3/14/2020,18,0
11,Iowa,3/15/2020,22,0
12,Iowa,3/16/2020,22,0
13,Iowa,3/17/2020,29,0
14,Iowa,3/18/2020,38,0
15,Iowa,3/19/2020,44,0
16,Iowa,3/20/2020,45,0
17,Iowa,3/21/2020,68,0
18,Iowa,3/22/2020,90,0
19,Iowa,3/23/2020,105,0
20,Iowa,3/24/2020,124,1
21,Iowa,3/25/2020,147,1
22,Iowa,3/26/2020,179,1
23,Iowa,3/27/2020,236,3
24,Iowa,3/28/2020,298,3
25,Iowa,3/29/2020,336,4
26,Iowa,3/30/2020,424,6
27,Iowa,3/31/2020,498,7
28,Iowa,4/1/2020,549,9
29,Iowa,4/2/2020,614,11
30,Iowa,4/3/2020,699,11
31,Iowa,4/4/2020,786,11
32,Iowa,4/5/2020,868,22
33,Iowa,4/6/2020,946,25
34,Iowa,4/7/2020,1048,26
35,Iowa,4/8/2020,1145,27
36,Iowa,4/9/2020,1270,27
37,Iowa,4/10/2020,1388,31
38,Iowa,4/11/2020,1510,34
39,Iowa,4/12/2020,1587,41
40,Iowa,4/13/2020,1710,44
41,Iowa,4/14/2020,1899,44
42,Iowa,4/15/2020,1995,53
43,Iowa,4/16/2020,2141,60
44,Iowa,4/17/2020,2332,64
45,Iowa,4/18/2020,2513,74
46,Iowa,4/19/2020,2915,75
47,Iowa,4/20/2020,3175,79
48,Iowa,4/21/2020,3641,83
49,Iowa,4/22/2020,3764,90
50,Iowa,4/23/2020,3939,96
51,Iowa,4/24/2020,4459,107
52,Iowa,4/25/2020,5109,112
53,Iowa,4/26/2020,5490,118
54,Iowa,4/27/2020,5868,127
55,Iowa,4/28/2020,6376,136
56,Iowa,4/29/2020,6843,148
57,Iowa,4/30/2020,7145,162
58,Iowa,5/1/2020,7883,170
59,Iowa,5/2/2020,8641,175
60,Iowa,5/3/2020,9169,184
61,Iowa,5/4/2020,9703,188
62,Iowa,5/5/2020,10111,207
63,Iowa,5/6/2020,10404,219
64,Iowa,5/7/2020,11059,231
65,Iowa,5/8/2020,11457,243
66,Iowa,5/9/2020,11671,252
67,Iowa,5/10/2020,11959,265
68,Iowa,5/11/2020,12373,271
69,Iowa,5/12/2020,12912,289
70,Iowa,5/13/2020,13289,306
71,Iowa,5/14/2020,13675,318
72,Iowa,5/15/2020,14049,336
73,Iowa,5/16/2020,14328,346
74,Iowa,5/17/2020,14651,351
75,Iowa,5/18/2020,14955,355
76,Iowa,5/19/2020,15296,367
77,Iowa,5/20/2020,15868,400
78,Iowa,5/21/2020,16170,414
79,Iowa,5/22/2020,16510,441
80,Iowa,5/23/2020,16898,446
81,Iowa,5/24/2020,17434,456
82,Iowa,5/25/2020,17628,460
83,Iowa,5/26/2020,17999,480
84,Iowa,5/27/2020,18446,496
85,Iowa,5/28/2020,18672,510
86,Iowa,5/29/2020,19019,525
87,Iowa,5/30/2020,19336,531
88,Iowa,5/31/2020,19621,537
89,Iowa,6/1/2020,19789,558
90,Iowa,6/2/2020,20017,564
91,Iowa,6/3/2020,20376,574
92,Iowa,6/4/2020,20943,590
93,Iowa,6/5/2020,21332,597
94,Iowa,6/6/2020,21527,602
95,Iowa,6/7/2020,21794,606
96,Iowa,6/8/2020,22111,623
97,Iowa,6/9/2020,22271,629
98,Iowa,6/10/2020,22733,638
99,Iowa,6/11/2020,23103,641
100,Iowa,6/12/2020,23455,650
101,Iowa,6/13/2020,23792,651
102,Iowa,6/14/2020,23959,652
103,Iowa,6/15/2020,24110,661
104,Iowa,6/16/2020,24263,670
105,Iowa,6/17/2020,24616,677
106,Iowa,6/18/2020,24959,680
107,Iowa,6/19/2020,25424,681
108,Iowa,6/20/2020,25552,685
109,Iowa,6/21/2020,26020,686
110,Iowa,6/22/2020,26217,687
111,Iowa,6/23/2020,26470,690
112,Iowa,6/24/2020,26897,694
113,Iowa,6/25/2020,27384,702
114,Iowa,6/26/2020,27828,704
115,Iowa,6/27/2020,28203,704
116,Iowa,6/28/2020,28520,706
117,Iowa,6/29/2020,28874,712
118,Iowa,6/30/2020,29152,717
119,Iowa,7/1/2020,29618,717
120,Iowa,7/2/2020,30259,719
121,Iowa,7/3/2020,30631,721
122,Iowa,7/4/2020,31167,721
123,Iowa,7/5/2020,31612,721
124,Iowa,7/6/2020,31764,725
125,Iowa,7/7/2020,32153,732
126,Iowa,7/8/2020,32716,739
127,Iowa,7/9/2020,33316,742
128,Iowa,7/10/2020,34232,748
129,Iowa,7/11/2020,34695,748
130,Iowa,7/12/2020,35410,752
131,Iowa,7/13/2020,35631,755
132,Iowa,7/14/2020,35942,759
133,Iowa,7/15/2020,36536,777
134,Iowa,7/16/2020,37414,781
135,Iowa,7/17/2020,37903,785
136,Iowa,7/18/2020,38314,790
137,Iowa,7/19/2020,38813,793
138,Iowa,7/20/2020,39343,798
139,Iowa,7/21/2020,39721,808
140,Iowa,7/22/2020,40208,814
141,Iowa,7/23/2020,40796,820
142,Iowa,7/24/2020,41434,826
143,Iowa,7/25/2020,41886,826
144,Iowa,7/26/2020,42357,829
145,Iowa,7/27/2020,42696,836
146,Iowa,7/28/2020,42928,839
147,Iowa,7/29/2020,43623,854
148,Iowa,7/30/2020,44285,865
149,Iowa,7/31/2020,44753,872
