Id,State,Date,ConfirmedCases,Fatalities
1,Idaho,3/7/2020,1,0
2,Idaho,3/8/2020,1,0
3,Idaho,3/9/2020,1,0
4,Idaho,3/10/2020,1,0
5,Idaho,3/11/2020,1,0
6,Idaho,3/12/2020,1,0
7,Idaho,3/13/2020,1,0
8,Idaho,3/14/2020,5,0
9,Idaho,3/15/2020,5,0
10,Idaho,3/16/2020,5,0
11,Idaho,3/17/2020,9,0
12,Idaho,3/18/2020,11,0
13,Idaho,3/19/2020,23,0
14,Idaho,3/20/2020,31,0
15,Idaho,3/21/2020,42,0
16,Idaho,3/22/2020,47,0
17,Idaho,3/23/2020,50,0
18,Idaho,3/24/2020,73,0
19,Idaho,3/25/2020,123,0
20,Idaho,3/26/2020,189,3
21,Idaho,3/27/2020,232,4
22,Idaho,3/28/2020,262,5
23,Idaho,3/29/2020,310,6
24,Idaho,3/30/2020,415,7
25,Idaho,3/31/2020,526,9
26,Idaho,4/1/2020,669,9
27,Idaho,4/2/2020,891,9
28,Idaho,4/3/2020,1012,10
29,Idaho,4/4/2020,1076,10
30,Idaho,4/5/2020,1100,10
31,Idaho,4/6/2020,1170,13
32,Idaho,4/7/2020,1210,15
33,Idaho,4/8/2020,1232,19
34,Idaho,4/9/2020,1366,24
35,Idaho,4/10/2020,1425,25
36,Idaho,4/11/2020,1438,27
37,Idaho,4/12/2020,1457,27
38,Idaho,4/13/2020,1499,33
39,Idaho,4/14/2020,1538,39
40,Idaho,4/15/2020,1587,41
41,Idaho,4/16/2020,1609,41
42,Idaho,4/17/2020,1655,43
43,Idaho,4/18/2020,1668,44
44,Idaho,4/19/2020,1672,45
45,Idaho,4/20/2020,1736,48
46,Idaho,4/21/2020,1766,51
47,Idaho,4/22/2020,1802,54
48,Idaho,4/23/2020,1836,54
49,Idaho,4/24/2020,1870,54
50,Idaho,4/25/2020,1887,56
51,Idaho,4/26/2020,1897,56
52,Idaho,4/27/2020,1917,58
53,Idaho,4/28/2020,1952,60
54,Idaho,4/29/2020,1984,60
55,Idaho,4/30/2020,2016,63
56,Idaho,5/1/2020,2035,63
57,Idaho,5/2/2020,2061,64
58,Idaho,5/3/2020,2059,64
59,Idaho,5/4/2020,2106,64
60,Idaho,5/5/2020,2127,66
61,Idaho,5/6/2020,2158,67
62,Idaho,5/7/2020,2178,67
63,Idaho,5/8/2020,2205,67
64,Idaho,5/9/2020,2230,67
65,Idaho,5/10/2020,2232,67
66,Idaho,5/11/2020,2261,69
67,Idaho,5/12/2020,2294,69
68,Idaho,5/13/2020,2325,69
69,Idaho,5/14/2020,2352,72
70,Idaho,5/15/2020,2389,73
71,Idaho,5/16/2020,2419,73
72,Idaho,5/17/2020,2421,73
73,Idaho,5/18/2020,2455,74
74,Idaho,5/19/2020,2476,77
75,Idaho,5/20/2020,2506,77
76,Idaho,5/21/2020,2534,77
77,Idaho,5/22/2020,2595,79
78,Idaho,5/23/2020,2626,79
79,Idaho,5/24/2020,2650,79
80,Idaho,5/25/2020,2664,79
81,Idaho,5/26/2020,2699,81
82,Idaho,5/27/2020,2731,82
83,Idaho,5/28/2020,2770,82
84,Idaho,5/29/2020,2804,82
85,Idaho,5/30/2020,2840,82
86,Idaho,5/31/2020,2855,82
87,Idaho,6/1/2020,2908,83
88,Idaho,6/2/2020,2935,83
89,Idaho,6/3/2020,2990,83
90,Idaho,6/4/2020,3054,83
91,Idaho,6/5/2020,3111,83
92,Idaho,6/6/2020,3139,83
93,Idaho,6/7/2020,3153,83
94,Idaho,6/8/2020,3197,83
95,Idaho,6/9/2020,3226,85
96,Idaho,6/10/2020,3262,85
97,Idaho,6/11/2020,3303,86
98,Idaho,6/12/2020,3354,87
99,Idaho,6/13/2020,3399,87
100,Idaho,6/14/2020,3413,88
101,Idaho,6/15/2020,3472,89
102,Idaho,6/16/2020,3543,89
103,Idaho,6/17/2020,3634,89
104,Idaho,6/18/2020,3744,90
105,Idaho,6/19/2020,3871,90
106,Idaho,6/20/2020,4006,90
107,Idaho,6/21/2020,4025,90
108,Idaho,6/22/2020,4267,90
109,Idaho,6/23/2020,4412,90
110,Idaho,6/24/2020,4650,91
111,Idaho,6/25/2020,4869,91
112,Idaho,6/26/2020,5149,91
113,Idaho,6/27/2020,5319,92
114,Idaho,6/28/2020,5543,91
115,Idaho,6/29/2020,5770,91
116,Idaho,6/30/2020,6124,92
117,Idaho,7/1/2020,6379,92
118,Idaho,7/2/2020,6688,93
119,Idaho,7/3/2020,7034,94
120,Idaho,7/4/2020,7431,94
121,Idaho,7/5/2020,7799,94
122,Idaho,7/6/2020,8222,94
123,Idaho,7/7/2020,8582,94
124,Idaho,7/8/2020,9004,98
125,Idaho,7/9/2020,9598,101
126,Idaho,7/10/2020,10073,101
127,Idaho,7/11/2020,10584,102
128,Idaho,7/12/2020,10971,102
129,Idaho,7/13/2020,11531,102
130,Idaho,7/14/2020,11962,103
131,Idaho,7/15/2020,12599,111
132,Idaho,7/16/2020,13261,114
133,Idaho,7/17/2020,13879,119
134,Idaho,7/18/2020,14433,120
135,Idaho,7/19/2020,14960,120
136,Idaho,7/20/2020,15380,123
137,Idaho,7/21/2020,15899,127
138,Idaho,7/22/2020,16395,136
139,Idaho,7/23/2020,16862,142
140,Idaho,7/24/2020,17411,148
141,Idaho,7/25/2020,17920,150
142,Idaho,7/26/2020,18262,150
143,Idaho,7/27/2020,18836,159
144,Idaho,7/28/2020,19318,168
145,Idaho,7/29/2020,19810,176
146,Idaho,7/30/2020,20378,180
147,Idaho,7/31/2020,20853,193
