Id,State,Date,ConfirmedCases,Fatalities
1,Illinois,2/27/2020,2,0
2,Illinois,2/28/2020,2,0
3,Illinois,2/29/2020,3,0
4,Illinois,3/1/2020,3,0
5,Illinois,3/2/2020,4,0
6,Illinois,3/3/2020,4,0
7,Illinois,3/4/2020,4,0
8,Illinois,3/5/2020,5,0
9,Illinois,3/6/2020,6,0
10,Illinois,3/7/2020,6,0
11,Illinois,3/8/2020,7,0
12,Illinois,3/9/2020,11,0
13,Illinois,3/10/2020,19,0
14,Illinois,3/11/2020,25,0
15,Illinois,3/12/2020,32,0
16,Illinois,3/13/2020,46,0
17,Illinois,3/14/2020,66,0
18,Illinois,3/15/2020,94,0
19,Illinois,3/16/2020,104,0
20,Illinois,3/17/2020,159,1
21,Illinois,3/18/2020,286,1
22,Illinois,3/19/2020,420,4
23,Illinois,3/20/2020,583,5
24,Illinois,3/21/2020,751,6
25,Illinois,3/22/2020,1047,9
26,Illinois,3/23/2020,1285,12
27,Illinois,3/24/2020,1535,16
28,Illinois,3/25/2020,1874,19
29,Illinois,3/26/2020,2538,26
30,Illinois,3/27/2020,3029,34
31,Illinois,3/28/2020,3547,47
32,Illinois,3/29/2020,4615,65
33,Illinois,3/30/2020,5070,73
34,Illinois,3/31/2020,5992,99
35,Illinois,4/1/2020,6978,141
36,Illinois,4/2/2020,7695,157
37,Illinois,4/3/2020,8904,210
38,Illinois,4/4/2020,10357,243
39,Illinois,4/5/2020,11276,274
40,Illinois,4/6/2020,12262,307
41,Illinois,4/7/2020,13549,380
42,Illinois,4/8/2020,15078,462
43,Illinois,4/9/2020,16422,528
44,Illinois,4/10/2020,17887,596
45,Illinois,4/11/2020,19180,677
46,Illinois,4/12/2020,20852,720
47,Illinois,4/13/2020,22025,794
48,Illinois,4/14/2020,23247,868
49,Illinois,4/15/2020,24593,948
50,Illinois,4/16/2020,25734,1072
51,Illinois,4/17/2020,27575,1134
52,Illinois,4/18/2020,29160,1259
53,Illinois,4/19/2020,30357,1290
54,Illinois,4/20/2020,31508,1349
55,Illinois,4/21/2020,33059,1468
56,Illinois,4/22/2020,35108,1565
57,Illinois,4/23/2020,36935,1688
58,Illinois,4/24/2020,39658,1795
59,Illinois,4/25/2020,41777,1874
60,Illinois,4/26/2020,43903,1933
61,Illinois,4/27/2020,45883,1983
62,Illinois,4/28/2020,48102,2125
63,Illinois,4/29/2020,50355,2215
64,Illinois,4/30/2020,52918,2355
65,Illinois,5/1/2020,56055,2457
66,Illinois,5/2/2020,58505,2559
67,Illinois,5/3/2020,61499,2618
68,Illinois,5/4/2020,63840,2662
69,Illinois,5/5/2020,65889,2838
70,Illinois,5/6/2020,68164,2974
71,Illinois,5/7/2020,70802,3111
72,Illinois,5/8/2020,73688,3241
73,Illinois,5/9/2020,76008,3349
74,Illinois,5/10/2020,77662,3406
75,Illinois,5/11/2020,79123,3459
76,Illinois,5/12/2020,83168,3601
77,Illinois,5/13/2020,84874,3792
78,Illinois,5/14/2020,88081,3928
79,Illinois,5/15/2020,90528,4058
80,Illinois,5/16/2020,92669,4129
81,Illinois,5/17/2020,94360,4177
82,Illinois,5/18/2020,96778,4234
83,Illinois,5/19/2020,98298,4379
84,Illinois,5/20/2020,100713,4525
85,Illinois,5/21/2020,102995,4607
86,Illinois,5/22/2020,105710,4715
87,Illinois,5/23/2020,108100,4790
88,Illinois,5/24/2020,110541,4856
89,Illinois,5/25/2020,112248,4884
90,Illinois,5/26/2020,113486,4923
91,Illinois,5/27/2020,114612,5083
92,Illinois,5/28/2020,116128,5186
93,Illinois,5/29/2020,117794,5270
94,Illinois,5/30/2020,119290,5330
95,Illinois,5/31/2020,120588,5390
96,Illinois,6/1/2020,121666,5412
97,Illinois,6/2/2020,123244,5525
98,Illinois,6/3/2020,124279,5621
99,Illinois,6/4/2020,125149,5736
100,Illinois,6/5/2020,126317,5795
101,Illinois,6/6/2020,127251,5864
102,Illinois,6/7/2020,128070,5904
103,Illinois,6/8/2020,129543,6102
104,Illinois,6/9/2020,130321,6196
105,Illinois,6/10/2020,130889,6273
106,Illinois,6/11/2020,131731,6363
107,Illinois,6/12/2020,132489,6441
108,Illinois,6/13/2020,133117,6470
109,Illinois,6/14/2020,133719,6489
110,Illinois,6/15/2020,134247,6507
111,Illinois,6/16/2020,134866,6579
112,Illinois,6/17/2020,135416,6666
113,Illinois,6/18/2020,136081,6718
114,Illinois,6/19/2020,136917,6718
115,Illinois,6/20/2020,137535,6829
116,Illinois,6/21/2020,138154,6851
117,Illinois,6/22/2020,138615,6875
118,Illinois,6/23/2020,139282,6911
119,Illinois,6/24/2020,140025,6974
120,Illinois,6/25/2020,140935,7014
121,Illinois,6/26/2020,141812,7048
122,Illinois,6/27/2020,142536,7074
123,Illinois,6/28/2020,143117,7089
124,Illinois,6/29/2020,143885,7103
125,Illinois,6/30/2020,144661,7124
126,Illinois,7/1/2020,145541,7152
127,Illinois,7/2/2020,146407,7188
128,Illinois,7/3/2020,147293,7215
129,Illinois,7/4/2020,148151,7224
130,Illinois,7/5/2020,148730,7230
131,Illinois,7/6/2020,149428,7236
132,Illinois,7/7/2020,150110,7273
133,Illinois,7/8/2020,151055,7309
134,Illinois,7/9/2020,152188,7329
135,Illinois,7/10/2020,153406,7345
136,Illinois,7/11/2020,154530,7369
137,Illinois,7/12/2020,155355,7388
138,Illinois,7/13/2020,156288,7394
139,Illinois,7/14/2020,157055,7419
140,Illinois,7/15/2020,158451,7427
141,Illinois,7/16/2020,159676,7452
142,Illinois,7/17/2020,161042,7465
143,Illinois,7/18/2020,162299,7483
144,Illinois,7/19/2020,163284,7488
145,Illinois,7/20/2020,164552,7494
146,Illinois,7/21/2020,165534,7517
147,Illinois,7/22/2020,167142,7540
148,Illinois,7/23/2020,168766,7560
149,Illinois,7/24/2020,170376,7577
150,Illinois,7/25/2020,171669,7589
151,Illinois,7/26/2020,173079,7590
152,Illinois,7/27/2020,174442,7608
153,Illinois,7/28/2020,175588,7638
154,Illinois,7/29/2020,176967,7654
155,Illinois,7/30/2020,178832,7670
156,Illinois,7/31/2020,180701,7692
