Id,State,Date,ConfirmedCases,Fatalities
1,Indiana,2/26/2020,1,0
2,Indiana,2/27/2020,1,0
3,Indiana,2/28/2020,1,0
4,Indiana,2/29/2020,1,0
5,Indiana,3/1/2020,1,0
6,Indiana,3/2/2020,1,0
7,Indiana,3/3/2020,1,0
8,Indiana,3/4/2020,1,0
9,Indiana,3/5/2020,1,0
10,Indiana,3/6/2020,1,0
11,Indiana,3/7/2020,1,0
12,Indiana,3/8/2020,2,0
13,Indiana,3/9/2020,4,0
14,Indiana,3/10/2020,6,0
15,Indiana,3/11/2020,11,0
16,Indiana,3/12/2020,12,0
17,Indiana,3/13/2020,12,0
18,Indiana,3/14/2020,15,0
19,Indiana,3/15/2020,19,0
20,Indiana,3/16/2020,24,1
21,Indiana,3/17/2020,30,2
22,Indiana,3/18/2020,39,2
23,Indiana,3/19/2020,56,2
24,Indiana,3/20/2020,81,5
25,Indiana,3/21/2020,128,6
26,Indiana,3/22/2020,204,9
27,Indiana,3/23/2020,264,12
28,Indiana,3/24/2020,371,17
29,Indiana,3/25/2020,484,19
30,Indiana,3/26/2020,661,23
31,Indiana,3/27/2020,992,32
32,Indiana,3/28/2020,1239,38
33,Indiana,3/29/2020,1522,40
34,Indiana,3/30/2020,1797,44
35,Indiana,3/31/2020,2177,61
36,Indiana,4/1/2020,2578,80
37,Indiana,4/2/2020,3056,94
38,Indiana,4/3/2020,3455,118
39,Indiana,4/4/2020,3975,136
40,Indiana,4/5/2020,4437,151
41,Indiana,4/6/2020,4986,171
42,Indiana,4/7/2020,5544,208
43,Indiana,4/8/2020,5986,246
44,Indiana,4/9/2020,6400,295
45,Indiana,4/10/2020,6960,353
46,Indiana,4/11/2020,7494,389
47,Indiana,4/12/2020,7990,405
48,Indiana,4/13/2020,8300,414
49,Indiana,4/14/2020,8598,458
50,Indiana,4/15/2020,9030,511
51,Indiana,4/16/2020,9619,554
52,Indiana,4/17/2020,10235,599
53,Indiana,4/18/2020,10730,633
54,Indiana,4/19/2020,11301,652
55,Indiana,4/20/2020,11784,666
56,Indiana,4/21/2020,12214,731
57,Indiana,4/22/2020,12575,764
58,Indiana,4/23/2020,13196,811
59,Indiana,4/24/2020,13848,851
60,Indiana,4/25/2020,14567,897
61,Indiana,4/26/2020,15187,928
62,Indiana,4/27/2020,16137,932
63,Indiana,4/28/2020,16783,992
64,Indiana,4/29/2020,17409,1065
65,Indiana,4/30/2020,18099,1114
66,Indiana,5/1/2020,18941,1175
67,Indiana,5/2/2020,19629,1229
68,Indiana,5/3/2020,20267,1246
69,Indiana,5/4/2020,20855,1264
70,Indiana,5/5/2020,21423,1326
71,Indiana,5/6/2020,22286,1377
72,Indiana,5/7/2020,22942,1414
73,Indiana,5/8/2020,23620,1447
74,Indiana,5/9/2020,24239,1490
75,Indiana,5/10/2020,24633,1508
76,Indiana,5/11/2020,25134,1540
77,Indiana,5/12/2020,25676,1578
78,Indiana,5/13/2020,26044,1619
79,Indiana,5/14/2020,26627,1646
80,Indiana,5/15/2020,27281,1691
81,Indiana,5/16/2020,27919,1741
82,Indiana,5/17/2020,28419,1751
83,Indiana,5/18/2020,28897,1765
84,Indiana,5/19/2020,29402,1824
85,Indiana,5/20/2020,29986,1864
86,Indiana,5/21/2020,30673,1913
87,Indiana,5/22/2020,31165,1941
88,Indiana,5/23/2020,31674,1964
89,Indiana,5/24/2020,32151,1976
90,Indiana,5/25/2020,32489,1984
91,Indiana,5/26/2020,32856,2004
92,Indiana,5/27/2020,33242,2030
93,Indiana,5/28/2020,33885,2068
94,Indiana,5/29/2020,34399,2110
95,Indiana,5/30/2020,35064,2125
96,Indiana,5/31/2020,35429,2134
97,Indiana,6/1/2020,35684,2142
98,Indiana,6/2/2020,36129,2197
99,Indiana,6/3/2020,36609,2207
100,Indiana,6/4/2020,37005,2231
101,Indiana,6/5/2020,37499,2258
102,Indiana,6/6/2020,37928,2292
103,Indiana,6/7/2020,38328,2303
104,Indiana,6/8/2020,38553,2316
105,Indiana,6/9/2020,38985,2339
106,Indiana,6/10/2020,39297,2355
