Id,State,Date,ConfirmedCases,Fatalities
1,Kansas,2/22/2020,1,0
2,Kansas,2/23/2020,1,0
3,Kansas,2/24/2020,1,0
4,Kansas,2/25/2020,1,0
5,Kansas,2/26/2020,1,0
6,Kansas,2/27/2020,1,0
7,Kansas,2/28/2020,1,0
8,Kansas,2/29/2020,1,0
9,Kansas,3/1/2020,1,0
10,Kansas,3/2/2020,1,0
11,Kansas,3/3/2020,1,0
12,Kansas,3/4/2020,1,0
13,Kansas,3/5/2020,1,0
14,Kansas,3/6/2020,1,0
15,Kansas,3/7/2020,1,0
16,Kansas,3/8/2020,1,0
17,Kansas,3/9/2020,1,0
18,Kansas,3/10/2020,1,0
19,Kansas,3/11/2020,1,0
20,Kansas,3/12/2020,5,1
21,Kansas,3/13/2020,6,1
22,Kansas,3/14/2020,8,1
23,Kansas,3/15/2020,9,1
24,Kansas,3/16/2020,11,1
25,Kansas,3/17/2020,17,1
26,Kansas,3/18/2020,22,1
27,Kansas,3/19/2020,35,1
28,Kansas,3/20/2020,49,1
29,Kansas,3/21/2020,57,2
30,Kansas,3/22/2020,66,2
31,Kansas,3/23/2020,82,2
32,Kansas,3/24/2020,102,3
33,Kansas,3/25/2020,134,3
34,Kansas,3/26/2020,173,3
35,Kansas,3/27/2020,213,4
36,Kansas,3/28/2020,272,6
37,Kansas,3/29/2020,333,7
38,Kansas,3/30/2020,374,9
39,Kansas,3/31/2020,435,10
40,Kansas,4/1/2020,489,11
41,Kansas,4/2/2020,554,14
42,Kansas,4/3/2020,625,19
43,Kansas,4/4/2020,702,21
44,Kansas,4/5/2020,769,23
45,Kansas,4/6/2020,854,25
46,Kansas,4/7/2020,905,30
47,Kansas,4/8/2020,1055,38
48,Kansas,4/9/2020,1116,42
49,Kansas,4/10/2020,1180,50
50,Kansas,4/11/2020,1282,55
51,Kansas,4/12/2020,1337,56
52,Kansas,4/13/2020,1384,63
53,Kansas,4/14/2020,1440,69
54,Kansas,4/15/2020,1503,76
55,Kansas,4/16/2020,1595,80
56,Kansas,4/17/2020,1732,84
57,Kansas,4/18/2020,1820,86
58,Kansas,4/19/2020,1897,94
59,Kansas,4/20/2020,2030,101
60,Kansas,4/21/2020,2114,107
61,Kansas,4/22/2020,2291,111
62,Kansas,4/23/2020,2626,112
63,Kansas,4/24/2020,2842,117
64,Kansas,4/25/2020,3091,119
65,Kansas,4/26/2020,3198,120
66,Kansas,4/27/2020,3407,126
67,Kansas,4/28/2020,3601,127
68,Kansas,4/29/2020,3811,132
69,Kansas,4/30/2020,4305,133
70,Kansas,5/1/2020,4510,136
71,Kansas,5/2/2020,4863,140
72,Kansas,5/3/2020,5177,142
73,Kansas,5/4/2020,5385,154
74,Kansas,5/5/2020,5627,160
75,Kansas,5/6/2020,5893,163
76,Kansas,5/7/2020,6240,164
77,Kansas,5/8/2020,6751,167
78,Kansas,5/9/2020,6923,172
79,Kansas,5/10/2020,7045,172
80,Kansas,5/11/2020,7161,174
81,Kansas,5/12/2020,7352,178
82,Kansas,5/13/2020,7552,179
83,Kansas,5/14/2020,7668,181
84,Kansas,5/15/2020,8006,187
85,Kansas,5/16/2020,8059,189
86,Kansas,5/17/2020,8066,189
87,Kansas,5/18/2020,8439,190
88,Kansas,5/19/2020,8488,193
89,Kansas,5/20/2020,8661,197
90,Kansas,5/21/2020,8771,199
91,Kansas,5/22/2020,9068,200
92,Kansas,5/23/2020,9119,200
93,Kansas,5/24/2020,9135,200
94,Kansas,5/25/2020,9272,201
95,Kansas,5/26/2020,9352,204
96,Kansas,5/27/2020,9453,207
97,Kansas,5/28/2020,9513,209
98,Kansas,5/29/2020,9826,209
99,Kansas,5/30/2020,9847,209
100,Kansas,5/31/2020,9878,211
101,Kansas,6/1/2020,10103,217
102,Kansas,6/2/2020,10143,227
103,Kansas,6/3/2020,10281,227
104,Kansas,6/4/2020,10332,230
105,Kansas,6/5/2020,10493,233
106,Kansas,6/6/2020,10517,234
107,Kansas,6/7/2020,10549,234
108,Kansas,6/8/2020,10724,237
