Id,State,Date,ConfirmedCases,Fatalities
1,Kentucky,2/26/2020,1,0
2,Kentucky,2/27/2020,1,0
3,Kentucky,2/28/2020,1,0
4,Kentucky,2/29/2020,1,0
5,Kentucky,3/1/2020,1,0
6,Kentucky,3/2/2020,1,0
7,Kentucky,3/3/2020,1,0
8,Kentucky,3/4/2020,1,0
9,Kentucky,3/5/2020,1,0
10,Kentucky,3/6/2020,1,0
11,Kentucky,3/7/2020,1,0
12,Kentucky,3/8/2020,4,0
13,Kentucky,3/9/2020,5,0
14,Kentucky,3/10/2020,7,0
15,Kentucky,3/11/2020,7,0
16,Kentucky,3/12/2020,11,0
17,Kentucky,3/13/2020,11,0
18,Kentucky,3/14/2020,18,0
19,Kentucky,3/15/2020,21,0
20,Kentucky,3/16/2020,22,1
21,Kentucky,3/17/2020,26,1
22,Kentucky,3/18/2020,35,1
23,Kentucky,3/19/2020,47,2
24,Kentucky,3/20/2020,63,2
25,Kentucky,3/21/2020,84,3
26,Kentucky,3/22/2020,103,3
27,Kentucky,3/23/2020,124,3
28,Kentucky,3/24/2020,157,3
29,Kentucky,3/25/2020,198,5
30,Kentucky,3/26/2020,248,5
31,Kentucky,3/27/2020,302,8
32,Kentucky,3/28/2020,394,9
33,Kentucky,3/29/2020,439,9
34,Kentucky,3/30/2020,480,11
35,Kentucky,3/31/2020,590,18
36,Kentucky,4/1/2020,674,20
37,Kentucky,4/2/2020,747,34
38,Kentucky,4/3/2020,762,34
39,Kentucky,4/4/2020,909,40
40,Kentucky,4/5/2020,1048,44
41,Kentucky,4/6/2020,1057,52
42,Kentucky,4/7/2020,1289,66
43,Kentucky,4/8/2020,1393,73
44,Kentucky,4/9/2020,1525,84
45,Kentucky,4/10/2020,1702,90
46,Kentucky,4/11/2020,1851,94
47,Kentucky,4/12/2020,1963,98
48,Kentucky,4/13/2020,2048,106
49,Kentucky,4/14/2020,2210,115
50,Kentucky,4/15/2020,2295,124
51,Kentucky,4/16/2020,2429,131
52,Kentucky,4/17/2020,2522,140
53,Kentucky,4/18/2020,2707,145
54,Kentucky,4/19/2020,2960,149
55,Kentucky,4/20/2020,3050,155
56,Kentucky,4/21/2020,3193,172
57,Kentucky,4/22/2020,3373,185
58,Kentucky,4/23/2020,3548,194
59,Kentucky,4/24/2020,3779,203
60,Kentucky,4/25/2020,3905,208
61,Kentucky,4/26/2020,4074,211
62,Kentucky,4/27/2020,4146,216
63,Kentucky,4/28/2020,4375,231
64,Kentucky,4/29/2020,4538,235
65,Kentucky,4/30/2020,4708,240
66,Kentucky,5/1/2020,4879,248
67,Kentucky,5/2/2020,4881,252
68,Kentucky,5/3/2020,5223,256
69,Kentucky,5/4/2020,5370,267
70,Kentucky,5/5/2020,5822,278
71,Kentucky,5/6/2020,5946,286
72,Kentucky,5/7/2020,6173,302
73,Kentucky,5/8/2020,6298,304
74,Kentucky,5/9/2020,6469,312
75,Kentucky,5/10/2020,6486,312
76,Kentucky,5/11/2020,6710,325
77,Kentucky,5/12/2020,7003,333
78,Kentucky,5/13/2020,7102,334
79,Kentucky,5/14/2020,7397,341
80,Kentucky,5/15/2020,7578,343
81,Kentucky,5/16/2020,7773,346
82,Kentucky,5/17/2020,7793,346
83,Kentucky,5/18/2020,8041,354
84,Kentucky,5/19/2020,8205,369
85,Kentucky,5/20/2020,8336,381
86,Kentucky,5/21/2020,8475,393
87,Kentucky,5/22/2020,8688,398
88,Kentucky,5/23/2020,8812,399
89,Kentucky,5/24/2020,8842,399
90,Kentucky,5/25/2020,8899,403
91,Kentucky,5/26/2020,9175,407
92,Kentucky,5/27/2020,9313,420
93,Kentucky,5/28/2020,9510,424
94,Kentucky,5/29/2020,9688,434
95,Kentucky,5/30/2020,9887,441
96,Kentucky,5/31/2020,9937,441
97,Kentucky,6/1/2020,10150,445
98,Kentucky,6/2/2020,10287,451
99,Kentucky,6/3/2020,10485,458
100,Kentucky,6/4/2020,10781,469
101,Kentucky,6/5/2020,11051,476
102,Kentucky,6/6/2020,11359,480
103,Kentucky,6/7/2020,11393,481
104,Kentucky,6/8/2020,11701,487
105,Kentucky,6/9/2020,11891,494
106,Kentucky,6/10/2020,12029,498
107,Kentucky,6/11/2020,12128,513
108,Kentucky,6/12/2020,12352,525
109,Kentucky,6/13/2020,12605,527
110,Kentucky,6/14/2020,12652,527
111,Kentucky,6/15/2020,12863,524
112,Kentucky,6/16/2020,12899,530
113,Kentucky,6/17/2020,13190,536
114,Kentucky,6/18/2020,13391,540
115,Kentucky,6/19/2020,13629,542
116,Kentucky,6/20/2020,13800,542
117,Kentucky,6/21/2020,13919,544
118,Kentucky,6/22/2020,14073,549
119,Kentucky,6/23/2020,14323,559
120,Kentucky,6/24/2020,14522,561
121,Kentucky,6/25/2020,14793,569
122,Kentucky,6/26/2020,15033,575
123,Kentucky,6/27/2020,15337,575
124,Kentucky,6/28/2020,15480,577
125,Kentucky,6/29/2020,15657,584
126,Kentucky,6/30/2020,15916,588
127,Kentucky,7/1/2020,16114,597
128,Kentucky,7/2/2020,16370,605
129,Kentucky,7/3/2020,16655,608
130,Kentucky,7/4/2020,16709,608
131,Kentucky,7/5/2020,16712,608
132,Kentucky,7/6/2020,17464,621
133,Kentucky,7/7/2020,17820,630
134,Kentucky,7/8/2020,18204,634
135,Kentucky,7/9/2020,18576,640
136,Kentucky,7/10/2020,19076,647
137,Kentucky,7/11/2020,19530,647
138,Kentucky,7/12/2020,19762,649
139,Kentucky,7/13/2020,20127,656
140,Kentucky,7/14/2020,20702,665
141,Kentucky,7/15/2020,21148,668
142,Kentucky,7/16/2020,21617,675
143,Kentucky,7/17/2020,22162,687
144,Kentucky,7/18/2020,22750,688
145,Kentucky,7/19/2020,23600,691
146,Kentucky,7/20/2020,23978,694
147,Kentucky,7/21/2020,24638,695
148,Kentucky,7/22/2020,25169,700
149,Kentucky,7/23/2020,25828,706
150,Kentucky,7/24/2020,26628,715
151,Kentucky,7/25/2020,27395,717
152,Kentucky,7/26/2020,27682,718
153,Kentucky,7/27/2020,28250,726
154,Kentucky,7/28/2020,28876,735
155,Kentucky,7/29/2020,29479,746
156,Kentucky,7/30/2020,30132,748
157,Kentucky,7/31/2020,30981,753
