Id,State,Date,ConfirmedCases,Fatalities
1,Louisiana,2/23/2020,1,0
2,Louisiana,2/24/2020,1,0
3,Louisiana,2/25/2020,1,0
4,Louisiana,2/26/2020,1,0
5,Louisiana,2/27/2020,1,0
6,Louisiana,2/28/2020,1,0
7,Louisiana,2/29/2020,1,0
8,Louisiana,3/1/2020,1,0
9,Louisiana,3/2/2020,1,0
10,Louisiana,3/3/2020,1,0
11,Louisiana,3/4/2020,1,0
12,Louisiana,3/5/2020,1,0
13,Louisiana,3/6/2020,1,0
14,Louisiana,3/7/2020,1,0
15,Louisiana,3/8/2020,1,0
16,Louisiana,3/9/2020,1,0
17,Louisiana,3/10/2020,6,0
18,Louisiana,3/11/2020,13,0
19,Louisiana,3/12/2020,14,0
20,Louisiana,3/13/2020,36,0
21,Louisiana,3/14/2020,77,1
22,Louisiana,3/15/2020,103,2
23,Louisiana,3/16/2020,137,3
24,Louisiana,3/17/2020,196,5
25,Louisiana,3/18/2020,280,7
26,Louisiana,3/19/2020,392,10
27,Louisiana,3/20/2020,537,10
28,Louisiana,3/21/2020,763,16
29,Louisiana,3/22/2020,837,20
30,Louisiana,3/23/2020,1172,34
31,Louisiana,3/24/2020,1388,46
32,Louisiana,3/25/2020,1795,65
33,Louisiana,3/26/2020,2305,83
34,Louisiana,3/27/2020,2746,119
35,Louisiana,3/28/2020,3315,137
36,Louisiana,3/29/2020,3539,153
37,Louisiana,3/30/2020,4024,186
38,Louisiana,3/31/2020,5237,240
39,Louisiana,4/1/2020,6424,275
40,Louisiana,4/2/2020,9152,310
41,Louisiana,4/3/2020,10299,370
42,Louisiana,4/4/2020,12500,412
43,Louisiana,4/5/2020,13014,477
44,Louisiana,4/6/2020,14867,512
45,Louisiana,4/7/2020,16284,582
46,Louisiana,4/8/2020,17030,652
47,Louisiana,4/9/2020,18283,702
48,Louisiana,4/10/2020,19253,755
49,Louisiana,4/11/2020,20014,806
50,Louisiana,4/12/2020,20595,840
51,Louisiana,4/13/2020,21016,884
52,Louisiana,4/14/2020,21518,1013
53,Louisiana,4/15/2020,21951,1103
54,Louisiana,4/16/2020,22532,1156
55,Louisiana,4/17/2020,23118,1213
56,Louisiana,4/18/2020,23580,1267
57,Louisiana,4/19/2020,23928,1296
58,Louisiana,4/20/2020,24523,1328
59,Louisiana,4/21/2020,24854,1405
60,Louisiana,4/22/2020,25317,1532
61,Louisiana,4/23/2020,25798,1599
62,Louisiana,4/24/2020,26199,1660
