Id,State,Date,ConfirmedCases,Fatalities
1,Massachusetts,3/1/2020,1,0
2,Massachusetts,3/2/2020,2,0
3,Massachusetts,3/3/2020,2,0
4,Massachusetts,3/4/2020,2,0
5,Massachusetts,3/5/2020,3,0
6,Massachusetts,3/6/2020,8,0
7,Massachusetts,3/7/2020,13,0
8,Massachusetts,3/8/2020,28,0
9,Massachusetts,3/9/2020,41,0
10,Massachusetts,3/10/2020,92,0
11,Massachusetts,3/11/2020,95,0
12,Massachusetts,3/12/2020,108,0
13,Massachusetts,3/13/2020,123,0
14,Massachusetts,3/14/2020,138,0
15,Massachusetts,3/15/2020,164,0
16,Massachusetts,3/16/2020,197,0
17,Massachusetts,3/17/2020,218,0
18,Massachusetts,3/18/2020,256,0
19,Massachusetts,3/19/2020,328,0
20,Massachusetts,3/20/2020,413,1
21,Massachusetts,3/21/2020,525,2
22,Massachusetts,3/22/2020,646,5
23,Massachusetts,3/23/2020,777,9
24,Massachusetts,3/24/2020,1159,11
25,Massachusetts,3/25/2020,1838,15
26,Massachusetts,3/26/2020,2417,25
27,Massachusetts,3/27/2020,3240,35
28,Massachusetts,3/28/2020,4257,44
29,Massachusetts,3/29/2020,4955,48
30,Massachusetts,3/30/2020,5752,56
31,Massachusetts,3/31/2020,6620,89
32,Massachusetts,4/1/2020,7738,122
33,Massachusetts,4/2/2020,8966,154
34,Massachusetts,4/3/2020,10402,192
35,Massachusetts,4/4/2020,11736,216
36,Massachusetts,4/5/2020,12500,231
37,Massachusetts,4/6/2020,13837,260
38,Massachusetts,4/7/2020,15202,356
39,Massachusetts,4/8/2020,16790,433
40,Massachusetts,4/9/2020,18941,503
41,Massachusetts,4/10/2020,20974,599
42,Massachusetts,4/11/2020,22860,686
43,Massachusetts,4/12/2020,25475,756
44,Massachusetts,4/13/2020,26867,844
45,Massachusetts,4/14/2020,28163,957
46,Massachusetts,4/15/2020,29918,1108
47,Massachusetts,4/16/2020,32181,1245
48,Massachusetts,4/17/2020,34402,1404
49,Massachusetts,4/18/2020,36372,1560
50,Massachusetts,4/19/2020,38077,1706
51,Massachusetts,4/20/2020,39643,1809
52,Massachusetts,4/21/2020,41199,1961
53,Massachusetts,4/22/2020,42944,2182
54,Massachusetts,4/23/2020,46023,2360
55,Massachusetts,4/24/2020,50969,2556
56,Massachusetts,4/25/2020,53348,2730
57,Massachusetts,4/26/2020,54938,2899
58,Massachusetts,4/27/2020,56462,3003
59,Massachusetts,4/28/2020,58302,3153
60,Massachusetts,4/29/2020,60265,3405
61,Massachusetts,4/30/2020,62205,3562
62,Massachusetts,5/1/2020,64311,3716
63,Massachusetts,5/2/2020,66263,3846
64,Massachusetts,5/3/2020,68087,4004
65,Massachusetts,5/4/2020,69087,4090
66,Massachusetts,5/5/2020,70271,4212
67,Massachusetts,5/6/2020,72025,4420
68,Massachusetts,5/7/2020,73721,4552
69,Massachusetts,5/8/2020,75333,4702
70,Massachusetts,5/9/2020,76743,4840
71,Massachusetts,5/10/2020,77793,4979
72,Massachusetts,5/11/2020,78462,5108
73,Massachusetts,5/12/2020,79332,5141
74,Massachusetts,5/13/2020,80497,5315
75,Massachusetts,5/14/2020,82182,5482
76,Massachusetts,5/15/2020,83421,5592
77,Massachusetts,5/16/2020,84933,5705
78,Massachusetts,5/17/2020,86010,5797
79,Massachusetts,5/18/2020,87052,5862
80,Massachusetts,5/19/2020,87925,5938
81,Massachusetts,5/20/2020,88970,6066
82,Massachusetts,5/21/2020,90084,6148
83,Massachusetts,5/22/2020,90889,6228
84,Massachusetts,5/23/2020,91662,6304
85,Massachusetts,5/24/2020,92675,6372
86,Massachusetts,5/25/2020,93271,6416
87,Massachusetts,5/26/2020,93693,6473
88,Massachusetts,5/27/2020,94220,6547
89,Massachusetts,5/28/2020,94895,6640
90,Massachusetts,5/29/2020,95512,6718
91,Massachusetts,5/30/2020,96301,6768
92,Massachusetts,5/31/2020,96965,6846
93,Massachusetts,6/1/2020,100805,7035
94,Massachusetts,6/2/2020,101163,7085
95,Massachusetts,6/3/2020,101592,7152
96,Massachusetts,6/4/2020,102063,7201
97,Massachusetts,6/5/2020,102557,7235
98,Massachusetts,6/6/2020,103132,7289
99,Massachusetts,6/7/2020,103436,7316
100,Massachusetts,6/8/2020,103626,7353
101,Massachusetts,6/9/2020,103889,7408
102,Massachusetts,6/10/2020,104156,7454
103,Massachusetts,6/11/2020,104667,7492
104,Massachusetts,6/12/2020,105059,7538
105,Massachusetts,6/13/2020,105395,7576
106,Massachusetts,6/14/2020,105603,7624
107,Massachusetts,6/15/2020,105690,7646
108,Massachusetts,6/16/2020,105885,7664
109,Massachusetts,6/17/2020,106151,7733
110,Massachusetts,6/18/2020,106422,7769
111,Massachusetts,6/19/2020,106650,7799
112,Massachusetts,6/20/2020,106936,7827
113,Massachusetts,6/21/2020,107061,7857
114,Massachusetts,6/22/2020,107210,7873
115,Massachusetts,6/23/2020,107439,7889
116,Massachusetts,6/24/2020,107611,7937
117,Massachusetts,6/25/2020,107837,7962
118,Massachusetts,6/26/2020,108070,8012
119,Massachusetts,6/27/2020,108443,8040
120,Massachusetts,6/28/2020,108667,8060
121,Massachusetts,6/29/2020,108768,8095
122,Massachusetts,6/30/2020,108882,8054
123,Massachusetts,7/1/2020,109143,8081
124,Massachusetts,7/2/2020,109338,8132
125,Massachusetts,7/3/2020,109628,8149
126,Massachusetts,7/4/2020,109838,8172
127,Massachusetts,7/5/2020,109974,8183
128,Massachusetts,7/6/2020,110137,8198
129,Massachusetts,7/7/2020,110338,8213
130,Massachusetts,7/8/2020,110602,8243
131,Massachusetts,7/9/2020,110897,8268
132,Massachusetts,7/10/2020,111110,8296
133,Massachusetts,7/11/2020,111398,8310
134,Massachusetts,7/12/2020,111597,8325
135,Massachusetts,7/13/2020,111827,8330
136,Massachusetts,7/14/2020,112130,8340
137,Massachusetts,7/15/2020,112347,8368
138,Massachusetts,7/16/2020,112581,8380
139,Massachusetts,7/17/2020,112879,8402
140,Massachusetts,7/18/2020,113238,8419
141,Massachusetts,7/19/2020,113534,8431
142,Massachusetts,7/20/2020,113789,8433
143,Massachusetts,7/21/2020,114033,8450
144,Massachusetts,7/22/2020,114320,8468
145,Massachusetts,7/23/2020,114647,8484
146,Massachusetts,7/24/2020,114985,8498
147,Massachusetts,7/25/2020,115268,8510
148,Massachusetts,7/26/2020,115637,8529
149,Massachusetts,7/27/2020,115926,8536
150,Massachusetts,7/28/2020,116182,8551
151,Massachusetts,7/29/2020,116684,8580
152,Massachusetts,7/30/2020,117098,8595
153,Massachusetts,7/31/2020,117612,8609
