Id,State,Date,ConfirmedCases,Fatalities
1,Maryland,2/28/2020,3,0
2,Maryland,2/29/2020,3,0
3,Maryland,3/1/2020,3,0
4,Maryland,3/2/2020,3,0
5,Maryland,3/3/2020,3,0
6,Maryland,3/4/2020,3,0
7,Maryland,3/5/2020,3,0
8,Maryland,3/6/2020,3,0
9,Maryland,3/7/2020,3,0
10,Maryland,3/8/2020,5,0
11,Maryland,3/9/2020,6,0
12,Maryland,3/10/2020,9,0
13,Maryland,3/11/2020,13,0
14,Maryland,3/12/2020,13,0
15,Maryland,3/13/2020,18,0
16,Maryland,3/14/2020,27,0
17,Maryland,3/15/2020,32,0
18,Maryland,3/16/2020,39,0
19,Maryland,3/17/2020,57,0
20,Maryland,3/18/2020,85,1
21,Maryland,3/19/2020,108,1
22,Maryland,3/20/2020,150,2
23,Maryland,3/21/2020,195,3
24,Maryland,3/22/2020,245,3
25,Maryland,3/23/2020,290,3
26,Maryland,3/24/2020,349,4
27,Maryland,3/25/2020,423,4
28,Maryland,3/26/2020,581,4
29,Maryland,3/27/2020,790,5
30,Maryland,3/28/2020,1066,10
31,Maryland,3/29/2020,1244,11
32,Maryland,3/30/2020,1415,15
33,Maryland,3/31/2020,1662,18
34,Maryland,4/1/2020,1985,33
35,Maryland,4/2/2020,2331,36
36,Maryland,4/3/2020,2758,42
37,Maryland,4/4/2020,3125,54
38,Maryland,4/5/2020,3609,68
39,Maryland,4/6/2020,4045,92
40,Maryland,4/7/2020,4371,104
41,Maryland,4/8/2020,5529,124
42,Maryland,4/9/2020,6185,139
43,Maryland,4/10/2020,6968,172
44,Maryland,4/11/2020,7694,207
45,Maryland,4/12/2020,8225,236
46,Maryland,4/13/2020,8936,262
47,Maryland,4/14/2020,9472,302
48,Maryland,4/15/2020,10096,413
49,Maryland,4/16/2020,10851,459
50,Maryland,4/17/2020,11641,494
51,Maryland,4/18/2020,12379,534
52,Maryland,4/19/2020,12892,548
53,Maryland,4/20/2020,13750,582
54,Maryland,4/21/2020,14261,652
55,Maryland,4/22/2020,14842,698
56,Maryland,4/23/2020,15805,748
57,Maryland,4/24/2020,16693,798
58,Maryland,4/25/2020,17844,875
59,Maryland,4/26/2020,18664,910
60,Maryland,4/27/2020,19574,945
61,Maryland,4/28/2020,20200,1016
62,Maryland,4/29/2020,20942,1078
63,Maryland,4/30/2020,21825,1139
64,Maryland,5/1/2020,23566,1192
65,Maryland,5/2/2020,24568,1251
66,Maryland,5/3/2020,25561,1281
67,Maryland,5/4/2020,26509,1317
68,Maryland,5/5/2020,27217,1390
69,Maryland,5/6/2020,28263,1443
70,Maryland,5/7/2020,29476,1503
71,Maryland,5/8/2020,30592,1560
72,Maryland,5/9/2020,31638,1614
73,Maryland,5/10/2020,32693,1644
74,Maryland,5/11/2020,33483,1683
75,Maryland,5/12/2020,34174,1756
76,Maryland,5/13/2020,34927,1809
77,Maryland,5/14/2020,36021,1866
78,Maryland,5/15/2020,37105,1911
79,Maryland,5/16/2020,38083,1957
80,Maryland,5/17/2020,38920,1992
81,Maryland,5/18/2020,39882,2023
82,Maryland,5/19/2020,41664,2081
83,Maryland,5/20/2020,42442,2123
84,Maryland,5/21/2020,43645,2159
85,Maryland,5/22/2020,44539,2207
86,Maryland,5/23/2020,45608,2243
87,Maryland,5/24/2020,46919,2277
88,Maryland,5/25/2020,47754,2302
89,Maryland,5/26/2020,48290,2333
90,Maryland,5/27/2020,49042,2392
91,Maryland,5/28/2020,50334,2428
92,Maryland,5/29/2020,51631,2466
93,Maryland,5/30/2020,52662,2509
94,Maryland,5/31/2020,53456,2532
95,Maryland,6/1/2020,54035,2552
96,Maryland,6/2/2020,54831,2597
97,Maryland,6/3/2020,55617,2641
98,Maryland,6/4/2020,56490,2668
99,Maryland,6/5/2020,57407,2702
100,Maryland,6/6/2020,58099,2740
101,Maryland,6/7/2020,58593,2749
102,Maryland,6/8/2020,59024,2776
103,Maryland,6/9/2020,59543,2811
104,Maryland,6/10/2020,60114,2844
105,Maryland,6/11/2020,60823,2875
106,Maryland,6/12/2020,61262,2900
107,Maryland,6/13/2020,61935,2926
108,Maryland,6/14/2020,62328,2939
109,Maryland,6/15/2020,62653,2947
110,Maryland,6/16/2020,63004,2982
111,Maryland,6/17/2020,63565,2996
112,Maryland,6/18/2020,63839,3016
113,Maryland,6/19/2020,64150,3030
114,Maryland,6/20/2020,64565,3052
115,Maryland,6/21/2020,64903,3066
116,Maryland,6/22/2020,65202,3074
117,Maryland,6/23/2020,65602,3092
118,Maryland,6/24/2020,65934,3108
119,Maryland,6/25/2020,66397,3129
120,Maryland,6/26/2020,66704,3142
121,Maryland,6/27/2020,67032,3157
122,Maryland,6/28/2020,67360,3168
123,Maryland,6/29/2020,67837,3175
124,Maryland,6/30/2020,68152,3190
125,Maryland,7/1/2020,68502,3205
126,Maryland,7/2/2020,69015,3212
127,Maryland,7/3/2020,69422,3223
128,Maryland,7/4/2020,69724,3236
129,Maryland,7/5/2020,69957,3243
130,Maryland,7/6/2020,70497,3246
131,Maryland,7/7/2020,70986,3266
132,Maryland,7/8/2020,71455,3275
133,Maryland,7/9/2020,72037,3288
134,Maryland,7/10/2020,72503,3303
135,Maryland,7/11/2020,73060,3310
136,Maryland,7/12/2020,73705,3319
137,Maryland,7/13/2020,74124,3325
138,Maryland,7/14/2020,74836,3334
139,Maryland,7/15/2020,75576,3341
140,Maryland,7/16/2020,76237,3347
141,Maryland,7/17/2020,76941,3359
142,Maryland,7/18/2020,77773,3368
143,Maryland,7/19/2020,78698,3377
144,Maryland,7/20/2020,79251,3382
145,Maryland,7/21/2020,80111,3402
146,Maryland,7/22/2020,80738,3405
147,Maryland,7/23/2020,81396,3409
148,Maryland,7/24/2020,82326,3422
149,Maryland,7/25/2020,83617,3433
150,Maryland,7/26/2020,84306,3440
151,Maryland,7/27/2020,85436,3447
152,Maryland,7/28/2020,86091,3458
153,Maryland,7/29/2020,86846,3478
154,Maryland,7/30/2020,87740,3488
155,Maryland,7/31/2020,88907,3493
