Id,State,Date,ConfirmedCases,Fatalities
1,Maine,3/8/2020,1,0
2,Maine,3/9/2020,1,0
3,Maine,3/10/2020,1,0
4,Maine,3/11/2020,1,0
5,Maine,3/12/2020,1,0
6,Maine,3/13/2020,2,0
7,Maine,3/14/2020,3,0
8,Maine,3/15/2020,12,0
9,Maine,3/16/2020,17,0
10,Maine,3/17/2020,32,0
11,Maine,3/18/2020,43,0
12,Maine,3/19/2020,52,0
13,Maine,3/20/2020,57,0
14,Maine,3/21/2020,70,0
15,Maine,3/22/2020,89,0
16,Maine,3/23/2020,107,0
17,Maine,3/24/2020,118,0
18,Maine,3/25/2020,142,0
19,Maine,3/26/2020,155,0
20,Maine,3/27/2020,168,1
21,Maine,3/28/2020,211,1
22,Maine,3/29/2020,253,3
23,Maine,3/30/2020,275,3
24,Maine,3/31/2020,303,5
25,Maine,4/1/2020,344,7
26,Maine,4/2/2020,376,7
27,Maine,4/3/2020,432,9
28,Maine,4/4/2020,456,10
29,Maine,4/5/2020,470,10
30,Maine,4/6/2020,499,10
31,Maine,4/7/2020,519,12
32,Maine,4/8/2020,537,14
33,Maine,4/9/2020,560,16
34,Maine,4/10/2020,586,17
35,Maine,4/11/2020,616,19
36,Maine,4/12/2020,633,19
37,Maine,4/13/2020,698,19
38,Maine,4/14/2020,734,20
39,Maine,4/15/2020,770,24
40,Maine,4/16/2020,796,27
41,Maine,4/17/2020,827,29
42,Maine,4/18/2020,847,32
43,Maine,4/19/2020,867,34
44,Maine,4/20/2020,875,35
45,Maine,4/21/2020,888,36
46,Maine,4/22/2020,907,39
47,Maine,4/23/2020,937,44
48,Maine,4/24/2020,965,47
49,Maine,4/25/2020,990,50
50,Maine,4/26/2020,1015,50
51,Maine,4/27/2020,1023,51
52,Maine,4/28/2020,1040,51
53,Maine,4/29/2020,1056,52
54,Maine,4/30/2020,1095,53
55,Maine,5/1/2020,1123,55
56,Maine,5/2/2020,1152,56
57,Maine,5/3/2020,1185,57
58,Maine,5/4/2020,1205,57
59,Maine,5/5/2020,1226,61
60,Maine,5/6/2020,1254,62
61,Maine,5/7/2020,1330,62
62,Maine,5/8/2020,1374,63
63,Maine,5/9/2020,1408,64
64,Maine,5/10/2020,1436,64
65,Maine,5/11/2020,1462,65
66,Maine,5/12/2020,1477,65
67,Maine,5/13/2020,1515,66
68,Maine,5/14/2020,1565,69
69,Maine,5/15/2020,1603,69
70,Maine,5/16/2020,1648,70
71,Maine,5/17/2020,1687,70
72,Maine,5/18/2020,1713,71
73,Maine,5/19/2020,1741,73
74,Maine,5/20/2020,1819,73
75,Maine,5/21/2020,1877,73
76,Maine,5/22/2020,1948,75
77,Maine,5/23/2020,2013,77
78,Maine,5/24/2020,2055,78
79,Maine,5/25/2020,2074,78
80,Maine,5/26/2020,2109,79
81,Maine,5/27/2020,2137,81
82,Maine,5/28/2020,2189,84
83,Maine,5/29/2020,2226,85
84,Maine,5/30/2020,2282,89
85,Maine,5/31/2020,2325,89
86,Maine,6/1/2020,2349,89
87,Maine,6/2/2020,2377,94
88,Maine,6/3/2020,2418,95
89,Maine,6/4/2020,2446,95
90,Maine,6/5/2020,2482,98
91,Maine,6/6/2020,2524,98
92,Maine,6/7/2020,2570,99
93,Maine,6/8/2020,2588,99
94,Maine,6/9/2020,2606,100
95,Maine,6/10/2020,2637,100
96,Maine,6/11/2020,2667,100
97,Maine,6/12/2020,2721,100
98,Maine,6/13/2020,2757,100
99,Maine,6/14/2020,2793,100
100,Maine,6/15/2020,2810,101
101,Maine,6/16/2020,2819,101
102,Maine,6/17/2020,2836,102
103,Maine,6/18/2020,2878,102
104,Maine,6/19/2020,2913,102
105,Maine,6/20/2020,2938,102
106,Maine,6/21/2020,2957,102
107,Maine,6/22/2020,2971,102
108,Maine,6/23/2020,2994,102
109,Maine,6/24/2020,3017,103
110,Maine,6/25/2020,3070,103
111,Maine,6/26/2020,3102,103
112,Maine,6/27/2020,3154,104
113,Maine,6/28/2020,3191,104
114,Maine,6/29/2020,3219,105
115,Maine,6/30/2020,3253,105
116,Maine,7/1/2020,3294,105
117,Maine,7/2/2020,3328,105
118,Maine,7/3/2020,3373,105
119,Maine,7/4/2020,3397,107
120,Maine,7/5/2020,3415,109
121,Maine,7/6/2020,3423,109
122,Maine,7/7/2020,3440,110
123,Maine,7/8/2020,3460,110
124,Maine,7/9/2020,3486,111
125,Maine,7/10/2020,3499,111
126,Maine,7/11/2020,3520,112
127,Maine,7/12/2020,3539,114
128,Maine,7/13/2020,3558,114
129,Maine,7/14/2020,3566,114
130,Maine,7/15/2020,3578,114
131,Maine,7/16/2020,3598,114
132,Maine,7/17/2020,3636,115
133,Maine,7/18/2020,3646,117
134,Maine,7/19/2020,3687,117
135,Maine,7/20/2020,3711,117
136,Maine,7/21/2020,3723,118
137,Maine,7/22/2020,3723,118
138,Maine,7/23/2020,3737,118
139,Maine,7/24/2020,3757,118
140,Maine,7/25/2020,3790,119
141,Maine,7/26/2020,3814,119
142,Maine,7/27/2020,3832,119
143,Maine,7/28/2020,3838,121
144,Maine,7/29/2020,3866,121
145,Maine,7/30/2020,3888,122
146,Maine,7/31/2020,3912,123
