Id,State,Date,ConfirmedCases,Fatalities
1,Michigan,2/28/2020,1,0
2,Michigan,2/29/2020,1,0
3,Michigan,3/1/2020,1,0
4,Michigan,3/2/2020,1,0
5,Michigan,3/3/2020,1,0
6,Michigan,3/4/2020,1,0
7,Michigan,3/5/2020,2,0
8,Michigan,3/6/2020,2,0
9,Michigan,3/7/2020,2,0
10,Michigan,3/8/2020,2,0
11,Michigan,3/9/2020,2,0
12,Michigan,3/10/2020,2,0
13,Michigan,3/11/2020,2,0
14,Michigan,3/12/2020,12,0
15,Michigan,3/13/2020,25,0
16,Michigan,3/14/2020,33,0
17,Michigan,3/15/2020,53,0
18,Michigan,3/16/2020,54,0
19,Michigan,3/17/2020,65,0
20,Michigan,3/18/2020,80,1
21,Michigan,3/19/2020,334,3
22,Michigan,3/20/2020,548,4
23,Michigan,3/21/2020,787,6
24,Michigan,3/22/2020,1033,9
25,Michigan,3/23/2020,1324,16
26,Michigan,3/24/2020,1791,24
27,Michigan,3/25/2020,2293,43
28,Michigan,3/26/2020,2877,63
29,Michigan,3/27/2020,3655,93
30,Michigan,3/28/2020,4634,112
31,Michigan,3/29/2020,5486,132
32,Michigan,3/30/2020,6508,197
33,Michigan,3/31/2020,7629,264
34,Michigan,4/1/2020,9292,336
35,Michigan,4/2/2020,10791,417
36,Michigan,4/3/2020,12669,478
37,Michigan,4/4/2020,14225,541
38,Michigan,4/5/2020,15633,617
39,Michigan,4/6/2020,17129,727
40,Michigan,4/7/2020,18851,845
41,Michigan,4/8/2020,20220,959
42,Michigan,4/9/2020,21375,1076
43,Michigan,4/10/2020,22646,1280
44,Michigan,4/11/2020,23855,1395
45,Michigan,4/12/2020,24496,1488
46,Michigan,4/13/2020,25490,1603
47,Michigan,4/14/2020,26845,1767
48,Michigan,4/15/2020,27894,1920
49,Michigan,4/16/2020,29120,2092
50,Michigan,4/17/2020,29954,2227
51,Michigan,4/18/2020,30718,2307
52,Michigan,4/19/2020,31349,2389
53,Michigan,4/20/2020,31929,2466
54,Michigan,4/21/2020,32936,2698
55,Michigan,4/22/2020,33973,2813
56,Michigan,4/23/2020,35253,2977
57,Michigan,4/24/2020,36628,3084
58,Michigan,4/25/2020,37302,3273
59,Michigan,4/26/2020,38003,3314
60,Michigan,4/27/2020,38457,3406
61,Michigan,4/28/2020,39469,3566
62,Michigan,4/29/2020,40443,3670
63,Michigan,4/30/2020,41348,3788
64,Michigan,5/1/2020,42348,3866
65,Michigan,5/2/2020,43191,4020
66,Michigan,5/3/2020,43803,4049
67,Michigan,5/4/2020,43996,4135
68,Michigan,5/5/2020,44391,4179
69,Michigan,5/6/2020,45079,4250
70,Michigan,5/7/2020,45643,4343
71,Michigan,5/8/2020,46319,4393
72,Michigan,5/9/2020,46735,4526
73,Michigan,5/10/2020,47116,4551
74,Michigan,5/11/2020,47526,4584
