Id,State,Date,ConfirmedCases,Fatalities
1,Minnesota,3/2/2020,1,0
2,Minnesota,3/3/2020,1,0
3,Minnesota,3/4/2020,1,0
4,Minnesota,3/5/2020,1,0
5,Minnesota,3/6/2020,1,0
6,Minnesota,3/7/2020,1,0
7,Minnesota,3/8/2020,2,0
8,Minnesota,3/9/2020,2,0
9,Minnesota,3/10/2020,3,0
10,Minnesota,3/11/2020,5,0
11,Minnesota,3/12/2020,9,0
12,Minnesota,3/13/2020,14,0
13,Minnesota,3/14/2020,21,0
14,Minnesota,3/15/2020,35,0
15,Minnesota,3/16/2020,54,0
16,Minnesota,3/17/2020,60,0
17,Minnesota,3/18/2020,77,0
18,Minnesota,3/19/2020,89,0
19,Minnesota,3/20/2020,115,0
20,Minnesota,3/21/2020,138,1
21,Minnesota,3/22/2020,171,1
22,Minnesota,3/23/2020,235,1
23,Minnesota,3/24/2020,264,1
24,Minnesota,3/25/2020,289,1
25,Minnesota,3/26/2020,346,2
26,Minnesota,3/27/2020,398,4
27,Minnesota,3/28/2020,442,5
28,Minnesota,3/29/2020,504,9
29,Minnesota,3/30/2020,576,10
30,Minnesota,3/31/2020,629,12
31,Minnesota,4/1/2020,689,17
32,Minnesota,4/2/2020,742,18
33,Minnesota,4/3/2020,789,22
34,Minnesota,4/4/2020,865,24
35,Minnesota,4/5/2020,935,29
36,Minnesota,4/6/2020,986,30
37,Minnesota,4/7/2020,1069,34
38,Minnesota,4/8/2020,1154,39
39,Minnesota,4/9/2020,1242,50
40,Minnesota,4/10/2020,1335,57
41,Minnesota,4/11/2020,1427,64
42,Minnesota,4/12/2020,1621,70
43,Minnesota,4/13/2020,1650,70
44,Minnesota,4/14/2020,1695,79
45,Minnesota,4/15/2020,1809,87
46,Minnesota,4/16/2020,1912,94
47,Minnesota,4/17/2020,2071,111
48,Minnesota,4/18/2020,2213,121
49,Minnesota,4/19/2020,2356,134
50,Minnesota,4/20/2020,2470,143
51,Minnesota,4/21/2020,2567,160
52,Minnesota,4/22/2020,2721,179
53,Minnesota,4/23/2020,2942,200
54,Minnesota,4/24/2020,3185,221
55,Minnesota,4/25/2020,3446,244
56,Minnesota,4/26/2020,3602,272
57,Minnesota,4/27/2020,3816,286
58,Minnesota,4/28/2020,4181,301
59,Minnesota,4/29/2020,4644,319
60,Minnesota,4/30/2020,5136,343
61,Minnesota,5/1/2020,5730,371
62,Minnesota,5/2/2020,6228,395
63,Minnesota,5/3/2020,6663,419
64,Minnesota,5/4/2020,7234,428
65,Minnesota,5/5/2020,7851,455
66,Minnesota,5/6/2020,8579,485
67,Minnesota,5/7/2020,9364,508
68,Minnesota,5/8/2020,10087,534
69,Minnesota,5/9/2020,10789,558
70,Minnesota,5/10/2020,11270,578
71,Minnesota,5/11/2020,11798,591
72,Minnesota,5/12/2020,12493,614
73,Minnesota,5/13/2020,12916,638
74,Minnesota,5/14/2020,13443,672
75,Minnesota,5/15/2020,14240,692
76,Minnesota,5/16/2020,14969,709
77,Minnesota,5/17/2020,15677,731
78,Minnesota,5/18/2020,16372,740
79,Minnesota,5/19/2020,17038,757
80,Minnesota,5/20/2020,17679,786
81,Minnesota,5/21/2020,18209,818
82,Minnesota,5/22/2020,19014,851
83,Minnesota,5/23/2020,19854,861
84,Minnesota,5/24/2020,20582,878
85,Minnesota,5/25/2020,21324,890
86,Minnesota,5/26/2020,21969,908
87,Minnesota,5/27/2020,22474,942
88,Minnesota,5/28/2020,22957,977
89,Minnesota,5/29/2020,23541,1006
90,Minnesota,5/30/2020,24200,1036
91,Minnesota,5/31/2020,24860,1050
92,Minnesota,6/1/2020,25218,1060
93,Minnesota,6/2/2020,25518,1082
94,Minnesota,6/3/2020,25881,1097
95,Minnesota,6/4/2020,26284,1126
96,Minnesota,6/5/2020,26991,1159
97,Minnesota,6/6/2020,27512,1181
98,Minnesota,6/7/2020,27897,1197
99,Minnesota,6/8/2020,28235,1208
100,Minnesota,6/9/2020,28534,1228
101,Minnesota,6/10/2020,28900,1267
102,Minnesota,6/11/2020,29347,1280
103,Minnesota,6/12/2020,29826,1305
104,Minnesota,6/13/2020,30203,1314
105,Minnesota,6/14/2020,30502,1329
106,Minnesota,6/15/2020,30724,1335
107,Minnesota,6/16/2020,30913,1344
108,Minnesota,6/17/2020,31328,1357
109,Minnesota,6/18/2020,31707,1376
110,Minnesota,6/19/2020,32063,1393
111,Minnesota,6/20/2020,32499,1404
112,Minnesota,6/21/2020,32952,1412
113,Minnesota,6/22/2020,33259,1416
114,Minnesota,6/23/2020,33501,1425
115,Minnesota,6/24/2020,33798,1432
116,Minnesota,6/25/2020,34158,1441
117,Minnesota,6/26/2020,34651,1446
118,Minnesota,6/27/2020,35068,1452
119,Minnesota,6/28/2020,35584,1460
120,Minnesota,6/29/2020,35896,1470
