Id,State,Date,ConfirmedCases,Fatalities
1,Missouri,2/28/2020,1,0
2,Missouri,2/29/2020,1,0
3,Missouri,3/1/2020,1,0
4,Missouri,3/2/2020,1,0
5,Missouri,3/3/2020,1,0
6,Missouri,3/4/2020,1,0
7,Missouri,3/5/2020,1,0
8,Missouri,3/6/2020,1,0
9,Missouri,3/7/2020,1,0
10,Missouri,3/8/2020,1,0
11,Missouri,3/9/2020,1,0
12,Missouri,3/10/2020,1,0
13,Missouri,3/11/2020,1,0
14,Missouri,3/12/2020,2,0
15,Missouri,3/13/2020,4,0
16,Missouri,3/14/2020,5,0
17,Missouri,3/15/2020,5,0
18,Missouri,3/16/2020,9,0
19,Missouri,3/17/2020,16,0
20,Missouri,3/18/2020,21,1
21,Missouri,3/19/2020,35,1
22,Missouri,3/20/2020,73,3
23,Missouri,3/21/2020,93,3
24,Missouri,3/22/2020,130,3
25,Missouri,3/23/2020,183,4
26,Missouri,3/24/2020,255,5
27,Missouri,3/25/2020,384,8
28,Missouri,3/26/2020,508,8
29,Missouri,3/27/2020,670,9
30,Missouri,3/28/2020,837,11
31,Missouri,3/29/2020,902,12
32,Missouri,3/30/2020,1049,13
33,Missouri,3/31/2020,1350,15
34,Missouri,4/1/2020,1580,21
35,Missouri,4/2/2020,1834,28
36,Missouri,4/3/2020,2113,36
37,Missouri,4/4/2020,2291,44
38,Missouri,4/5/2020,2367,52
39,Missouri,4/6/2020,2722,56
40,Missouri,4/7/2020,3037,80
41,Missouri,4/8/2020,3327,86
42,Missouri,4/9/2020,3539,94
43,Missouri,4/10/2020,3799,105
44,Missouri,4/11/2020,4024,116
45,Missouri,4/12/2020,4160,116
46,Missouri,4/13/2020,4388,136
47,Missouri,4/14/2020,4686,151
48,Missouri,4/15/2020,4895,164
49,Missouri,4/16/2020,5111,170
50,Missouri,4/17/2020,5283,184
51,Missouri,4/18/2020,5517,194
52,Missouri,4/19/2020,5667,196
53,Missouri,4/20/2020,5807,201
54,Missouri,4/21/2020,5941,221
55,Missouri,4/22/2020,6137,236
56,Missouri,4/23/2020,6321,248
57,Missouri,4/24/2020,6625,267
58,Missouri,4/25/2020,6826,280
59,Missouri,4/26/2020,6997,282
60,Missouri,4/27/2020,7171,296
61,Missouri,4/28/2020,7306,324
62,Missouri,4/29/2020,7426,331
63,Missouri,4/30/2020,7563,341
64,Missouri,5/1/2020,7840,355
65,Missouri,5/2/2020,8154,373
66,Missouri,5/3/2020,8454,378
67,Missouri,5/4/2020,8776,387
68,Missouri,5/5/2020,8919,408
69,Missouri,5/6/2020,9164,429
70,Missouri,5/7/2020,9409,449
71,Missouri,5/8/2020,9573,481
72,Missouri,5/9/2020,9737,492
73,Missouri,5/10/2020,9906,502
74,Missouri,5/11/2020,10025,512
75,Missouri,5/12/2020,10124,528
76,Missouri,5/13/2020,10369,548
77,Missouri,5/14/2020,10490,564
78,Missouri,5/15/2020,10567,579
79,Missouri,5/16/2020,10794,593
80,Missouri,5/17/2020,11069,601
81,Missouri,5/18/2020,11225,609
82,Missouri,5/19/2020,11369,631
83,Missouri,5/20/2020,11510,643
84,Missouri,5/21/2020,11657,670
85,Missouri,5/22/2020,11797,680
86,Missouri,5/23/2020,11922,685
87,Missouri,5/24/2020,12114,689
88,Missouri,5/25/2020,12296,694
89,Missouri,5/26/2020,12437,698
90,Missouri,5/27/2020,12624,705
91,Missouri,5/28/2020,12815,715
92,Missouri,5/29/2020,12949,740
93,Missouri,5/30/2020,13118,782
94,Missouri,5/31/2020,13297,784
95,Missouri,6/1/2020,13523,786
96,Missouri,6/2/2020,13822,797
97,Missouri,6/3/2020,14020,801
98,Missouri,6/4/2020,14286,806
99,Missouri,6/5/2020,14515,816
100,Missouri,6/6/2020,14659,823
101,Missouri,6/7/2020,14985,823
102,Missouri,6/8/2020,15159,832
103,Missouri,6/9/2020,15396,854
104,Missouri,6/10/2020,15662,861
105,Missouri,6/11/2020,15924,873
106,Missouri,6/12/2020,16111,884
107,Missouri,6/13/2020,16327,890
108,Missouri,6/14/2020,16384,890
109,Missouri,6/15/2020,16712,895
110,Missouri,6/16/2020,16930,903
111,Missouri,6/17/2020,17151,924
112,Missouri,6/18/2020,17488,963
113,Missouri,6/19/2020,17780,973
114,Missouri,6/20/2020,18155,975
115,Missouri,6/21/2020,18552,975
116,Missouri,6/22/2020,18733,980
117,Missouri,6/23/2020,19148,993
118,Missouri,6/24/2020,19478,1001
119,Missouri,6/25/2020,20076,1006
120,Missouri,6/26/2020,20567,1019
121,Missouri,6/27/2020,20909,1021
122,Missouri,6/28/2020,21254,1023
123,Missouri,6/29/2020,21748,1026
124,Missouri,6/30/2020,22275,1037
125,Missouri,7/1/2020,22595,1049
126,Missouri,7/2/2020,23085,1056
127,Missouri,7/3/2020,23620,1060
128,Missouri,7/4/2020,24061,1062
129,Missouri,7/5/2020,24334,1062
130,Missouri,7/6/2020,24850,1068
131,Missouri,7/7/2020,25566,1083
132,Missouri,7/8/2020,26343,1089
133,Missouri,7/9/2020,27301,1095
134,Missouri,7/10/2020,28060,1107
135,Missouri,7/11/2020,28649,1112
136,Missouri,7/12/2020,29173,1113
137,Missouri,7/13/2020,29781,1126
138,Missouri,7/14/2020,30817,1136
139,Missouri,7/15/2020,31737,1141
140,Missouri,7/16/2020,32596,1145
141,Missouri,7/17/2020,33536,1151
142,Missouri,7/18/2020,34363,1158
143,Missouri,7/19/2020,35154,1158
144,Missouri,7/20/2020,36044,1164
145,Missouri,7/21/2020,37248,1175
146,Missouri,7/22/2020,38454,1196
147,Missouri,7/23/2020,39923,1212
148,Missouri,7/24/2020,41224,1221
149,Missouri,7/25/2020,42310,1224
150,Missouri,7/26/2020,43477,1231
151,Missouri,7/27/2020,44813,1245
152,Missouri,7/28/2020,46225,1263
153,Missouri,7/29/2020,47683,1269
154,Missouri,7/30/2020,49671,1288
155,Missouri,7/31/2020,51045,1305
