Id,State,Date,ConfirmedCases,Fatalities
16,Mississippi,2/29/2020,1,0
17,Mississippi,3/1/2020,1,0
18,Mississippi,3/2/2020,1,0
19,Mississippi,3/3/2020,1,0
20,Mississippi,3/4/2020,1,0
21,Mississippi,3/5/2020,1,0
22,Mississippi,3/6/2020,1,0
23,Mississippi,3/7/2020,1,0
24,Mississippi,3/8/2020,1,0
25,Mississippi,3/9/2020,1,0
26,Mississippi,3/10/2020,1,0
27,Mississippi,3/11/2020,1,0
28,Mississippi,3/12/2020,1,0
29,Mississippi,3/13/2020,6,0
30,Mississippi,3/14/2020,6,0
31,Mississippi,3/15/2020,10,0
32,Mississippi,3/16/2020,12,0
33,Mississippi,3/17/2020,21,0
34,Mississippi,3/18/2020,34,0
35,Mississippi,3/19/2020,50,1
36,Mississippi,3/20/2020,80,1
37,Mississippi,3/21/2020,140,1
38,Mississippi,3/22/2020,207,1
39,Mississippi,3/23/2020,249,1
40,Mississippi,3/24/2020,320,1
41,Mississippi,3/25/2020,376,5
42,Mississippi,3/26/2020,486,6
43,Mississippi,3/27/2020,579,8
44,Mississippi,3/28/2020,669,13
45,Mississippi,3/29/2020,759,14
46,Mississippi,3/30/2020,848,16
47,Mississippi,3/31/2020,937,20
48,Mississippi,4/1/2020,1073,22
49,Mississippi,4/2/2020,1177,26
50,Mississippi,4/3/2020,1358,29
51,Mississippi,4/4/2020,1455,35
52,Mississippi,4/5/2020,1638,43
53,Mississippi,4/6/2020,1738,51
54,Mississippi,4/7/2020,1915,59
55,Mississippi,4/8/2020,2003,67
56,Mississippi,4/9/2020,2260,76
57,Mississippi,4/10/2020,2469,82
58,Mississippi,4/11/2020,2642,93
59,Mississippi,4/12/2020,2781,96
60,Mississippi,4/13/2020,2942,98
61,Mississippi,4/14/2020,3087,111
62,Mississippi,4/15/2020,3360,122
63,Mississippi,4/16/2020,3624,129
64,Mississippi,4/17/2020,3793,140
65,Mississippi,4/18/2020,3974,152
66,Mississippi,4/19/2020,4274,159
67,Mississippi,4/20/2020,4512,169
68,Mississippi,4/21/2020,4716,183
69,Mississippi,4/22/2020,4894,193
70,Mississippi,4/23/2020,5153,201
71,Mississippi,4/24/2020,5434,209
72,Mississippi,4/25/2020,5718,221
73,Mississippi,4/26/2020,5911,227
74,Mississippi,4/27/2020,6094,229
75,Mississippi,4/28/2020,6342,239
76,Mississippi,4/29/2020,6569,250
77,Mississippi,4/30/2020,6815,261
78,Mississippi,5/1/2020,7212,281
79,Mississippi,5/2/2020,7441,291
80,Mississippi,5/3/2020,7550,303
81,Mississippi,5/4/2020,7877,310
82,Mississippi,5/5/2020,8207,342
83,Mississippi,5/6/2020,8424,374
84,Mississippi,5/7/2020,8686,396
85,Mississippi,5/8/2020,9090,409
86,Mississippi,5/9/2020,9378,421
87,Mississippi,5/10/2020,9501,430
88,Mississippi,5/11/2020,9674,435
89,Mississippi,5/12/2020,9908,457
90,Mississippi,5/13/2020,10090,465
91,Mississippi,5/14/2020,10483,480
92,Mississippi,5/15/2020,10801,493
93,Mississippi,5/16/2020,11123,510
94,Mississippi,5/17/2020,11296,521
95,Mississippi,5/18/2020,11432,528
96,Mississippi,5/19/2020,11704,554
97,Mississippi,5/20/2020,11967,570
98,Mississippi,5/21/2020,12222,580
99,Mississippi,5/22/2020,12624,596
100,Mississippi,5/23/2020,13005,616
101,Mississippi,5/24/2020,13252,625
102,Mississippi,5/25/2020,13458,635
103,Mississippi,5/26/2020,13731,652
104,Mississippi,5/27/2020,14044,670
105,Mississippi,5/28/2020,14372,693
106,Mississippi,5/29/2020,14790,710
107,Mississippi,5/30/2020,15229,723
108,Mississippi,5/31/2020,15501,734
109,Mississippi,6/1/2020,15752,739
110,Mississippi,6/2/2020,16020,767
111,Mississippi,6/3/2020,16322,782
112,Mississippi,6/4/2020,16560,794
113,Mississippi,6/5/2020,16769,803
114,Mississippi,6/6/2020,17034,811
115,Mississippi,6/7/2020,17270,817
116,Mississippi,6/8/2020,17768,837
117,Mississippi,6/9/2020,18109,847
118,Mississippi,6/10/2020,18483,868
119,Mississippi,6/11/2020,18483,868
120,Mississippi,6/12/2020,19091,881
121,Mississippi,6/13/2020,19348,889
122,Mississippi,6/14/2020,19516,891
123,Mississippi,6/15/2020,19799,895
