Id,State,Date,ConfirmedCases,Fatalities
1,Montana,3/8/2020,4,0
2,Montana,3/9/2020,4,0
3,Montana,3/10/2020,4,0
4,Montana,3/11/2020,4,0
5,Montana,3/12/2020,4,0
6,Montana,3/13/2020,4,0
7,Montana,3/14/2020,6,0
8,Montana,3/15/2020,6,0
9,Montana,3/16/2020,8,0
10,Montana,3/17/2020,8,0
11,Montana,3/18/2020,12,0
12,Montana,3/19/2020,19,0
13,Montana,3/20/2020,19,0
14,Montana,3/21/2020,29,0
15,Montana,3/22/2020,34,0
16,Montana,3/23/2020,45,0
17,Montana,3/24/2020,51,0
18,Montana,3/25/2020,65,0
19,Montana,3/26/2020,90,0
20,Montana,3/27/2020,121,1
21,Montana,3/28/2020,147,1
22,Montana,3/29/2020,161,1
23,Montana,3/30/2020,177,4
24,Montana,3/31/2020,198,5
25,Montana,4/1/2020,219,5
26,Montana,4/2/2020,241,5
27,Montana,4/3/2020,262,5
28,Montana,4/4/2020,281,6
29,Montana,4/5/2020,298,6
30,Montana,4/6/2020,319,6
31,Montana,4/7/2020,319,6
32,Montana,4/8/2020,332,6
33,Montana,4/9/2020,354,6
34,Montana,4/10/2020,365,6
35,Montana,4/11/2020,377,6
36,Montana,4/12/2020,387,6
37,Montana,4/13/2020,394,7
38,Montana,4/14/2020,399,7
39,Montana,4/15/2020,404,7
40,Montana,4/16/2020,415,7
41,Montana,4/17/2020,422,8
42,Montana,4/18/2020,426,10
43,Montana,4/19/2020,433,10
44,Montana,4/20/2020,433,12
45,Montana,4/21/2020,437,12
46,Montana,4/22/2020,439,14
47,Montana,4/23/2020,442,14
48,Montana,4/24/2020,444,14
49,Montana,4/25/2020,445,14
50,Montana,4/26/2020,448,14
51,Montana,4/27/2020,449,14
52,Montana,4/28/2020,451,15
53,Montana,4/29/2020,451,16
54,Montana,4/30/2020,452,16
55,Montana,5/1/2020,452,16
56,Montana,5/2/2020,454,16
57,Montana,5/3/2020,454,16
58,Montana,5/4/2020,456,16
59,Montana,5/5/2020,456,16
60,Montana,5/6/2020,456,16
61,Montana,5/7/2020,456,16
62,Montana,5/8/2020,458,16
63,Montana,5/9/2020,458,16
64,Montana,5/10/2020,458,16
65,Montana,5/11/2020,459,16
66,Montana,5/12/2020,461,16
67,Montana,5/13/2020,462,16
68,Montana,5/14/2020,462,16
69,Montana,5/15/2020,466,16
70,Montana,5/16/2020,468,16
71,Montana,5/17/2020,468,16
72,Montana,5/18/2020,470,16
73,Montana,5/19/2020,471,16
74,Montana,5/20/2020,478,16
75,Montana,5/21/2020,479,16
76,Montana,5/22/2020,479,16
77,Montana,5/23/2020,479,16
78,Montana,5/24/2020,479,16
79,Montana,5/25/2020,479,16
80,Montana,5/26/2020,479,17
81,Montana,5/27/2020,481,17
82,Montana,5/28/2020,485,17
83,Montana,5/29/2020,493,17
84,Montana,5/30/2020,505,17
85,Montana,5/31/2020,515,17
86,Montana,6/1/2020,519,17
87,Montana,6/2/2020,523,17
88,Montana,6/3/2020,525,17
89,Montana,6/4/2020,537,17
90,Montana,6/5/2020,539,18
91,Montana,6/6/2020,540,18
92,Montana,6/7/2020,545,18
93,Montana,6/8/2020,548,18
94,Montana,6/9/2020,554,18
95,Montana,6/10/2020,561,18
96,Montana,6/11/2020,563,18
97,Montana,6/12/2020,573,18
98,Montana,6/13/2020,588,18
99,Montana,6/14/2020,601,19
100,Montana,6/15/2020,609,19
101,Montana,6/16/2020,614,19
102,Montana,6/17/2020,630,20
103,Montana,6/18/2020,655,20
104,Montana,6/19/2020,666,20
105,Montana,6/20/2020,698,20
106,Montana,6/21/2020,717,20
107,Montana,6/22/2020,734,21
108,Montana,6/23/2020,743,21
109,Montana,6/24/2020,766,21
110,Montana,6/25/2020,803,21
111,Montana,6/26/2020,829,22
112,Montana,6/27/2020,852,22
113,Montana,6/28/2020,863,22
114,Montana,6/29/2020,919,22
115,Montana,6/30/2020,967,22
116,Montana,7/1/2020,1016,22
117,Montana,7/2/2020,1083,22
118,Montana,7/3/2020,1128,23
119,Montana,7/4/2020,1167,23
120,Montana,7/5/2020,1212,23
121,Montana,7/6/2020,1249,23
122,Montana,7/7/2020,1327,23
123,Montana,7/8/2020,1371,23
124,Montana,7/9/2020,1466,25
125,Montana,7/10/2020,1593,28
126,Montana,7/11/2020,1677,29
127,Montana,7/12/2020,1758,29
128,Montana,7/13/2020,1908,32
129,Montana,7/14/2020,2038,34
130,Montana,7/15/2020,2149,34
131,Montana,7/16/2020,2265,35
132,Montana,7/17/2020,2383,37
133,Montana,7/18/2020,2471,37
134,Montana,7/19/2020,2533,37
135,Montana,7/20/2020,2640,39
136,Montana,7/21/2020,2741,40
137,Montana,7/22/2020,2840,42
138,Montana,7/23/2020,2924,43
139,Montana,7/24/2020,3113,46
140,Montana,7/25/2020,3260,46
141,Montana,7/26/2020,3342,46
142,Montana,7/27/2020,3406,47
143,Montana,7/28/2020,3491,52
144,Montana,7/29/2020,3695,54
145,Montana,7/30/2020,3829,55
146,Montana,7/31/2020,3977,60
