Id,State,Date,ConfirmedCases,Fatalities
1,North_Carolina,3/6/2020,2,0
2,North_Carolina,3/7/2020,2,0
3,North_Carolina,3/8/2020,2,0
4,North_Carolina,3/9/2020,7,0
5,North_Carolina,3/10/2020,7,0
6,North_Carolina,3/11/2020,8,0
7,North_Carolina,3/12/2020,16,0
8,North_Carolina,3/13/2020,18,0
9,North_Carolina,3/14/2020,25,0
10,North_Carolina,3/15/2020,32,0
11,North_Carolina,3/16/2020,34,0
12,North_Carolina,3/17/2020,42,0
13,North_Carolina,3/18/2020,66,0
14,North_Carolina,3/19/2020,104,0
15,North_Carolina,3/20/2020,144,0
16,North_Carolina,3/21/2020,184,0
17,North_Carolina,3/22/2020,269,0
18,North_Carolina,3/23/2020,302,0
19,North_Carolina,3/24/2020,397,0
20,North_Carolina,3/25/2020,562,1
21,North_Carolina,3/26/2020,639,2
22,North_Carolina,3/27/2020,784,3
23,North_Carolina,3/28/2020,972,4
24,North_Carolina,3/29/2020,1166,6
25,North_Carolina,3/30/2020,1303,6
26,North_Carolina,3/31/2020,1527,10
27,North_Carolina,4/1/2020,1591,11
28,North_Carolina,4/2/2020,1858,17
29,North_Carolina,4/3/2020,2093,23
30,North_Carolina,4/4/2020,2402,30
31,North_Carolina,4/5/2020,2585,37
32,North_Carolina,4/6/2020,2870,42
33,North_Carolina,4/7/2020,3220,50
34,North_Carolina,4/8/2020,3423,61
35,North_Carolina,4/9/2020,3651,74
36,North_Carolina,4/10/2020,3906,78
37,North_Carolina,4/11/2020,4310,86
38,North_Carolina,4/12/2020,4520,86
39,North_Carolina,4/13/2020,4788,91
40,North_Carolina,4/14/2020,4992,116
41,North_Carolina,4/15/2020,5123,128
42,North_Carolina,4/16/2020,5463,140
43,North_Carolina,4/17/2020,5859,159
44,North_Carolina,4/18/2020,6140,175
45,North_Carolina,4/19/2020,6493,183
46,North_Carolina,4/20/2020,6764,187
47,North_Carolina,4/21/2020,6951,217
48,North_Carolina,4/22/2020,7220,242
49,North_Carolina,4/23/2020,7608,253
50,North_Carolina,4/24/2020,8052,270
51,North_Carolina,4/25/2020,8548,304
52,North_Carolina,4/26/2020,8830,309
53,North_Carolina,4/27/2020,9035,331
54,North_Carolina,4/28/2020,9568,353
55,North_Carolina,4/29/2020,9947,366
56,North_Carolina,4/30/2020,10507,385
57,North_Carolina,5/1/2020,10922,405
58,North_Carolina,5/2/2020,11514,428
59,North_Carolina,5/3/2020,11668,436
60,North_Carolina,5/4/2020,11871,454
61,North_Carolina,5/5/2020,12283,477
62,North_Carolina,5/6/2020,12783,497
63,North_Carolina,5/7/2020,13431,521
64,North_Carolina,5/8/2020,13879,537
65,North_Carolina,5/9/2020,14387,554
66,North_Carolina,5/10/2020,14783,561
67,North_Carolina,5/11/2020,15069,571
68,North_Carolina,5/12/2020,15402,597
69,North_Carolina,5/13/2020,15850,615
70,North_Carolina,5/14/2020,16593,632
71,North_Carolina,5/15/2020,17190,660
72,North_Carolina,5/16/2020,18009,671
73,North_Carolina,5/17/2020,18537,679
74,North_Carolina,5/18/2020,19121,684
75,North_Carolina,5/19/2020,19762,711
76,North_Carolina,5/20/2020,20221,721
77,North_Carolina,5/21/2020,20934,734
78,North_Carolina,5/22/2020,21661,754
79,North_Carolina,5/23/2020,22731,763
80,North_Carolina,5/24/2020,23231,771
81,North_Carolina,5/25/2020,23997,780
82,North_Carolina,5/26/2020,24188,789
83,North_Carolina,5/27/2020,24787,827
84,North_Carolina,5/28/2020,25616,859
85,North_Carolina,5/29/2020,26735,888
86,North_Carolina,5/30/2020,27761,903
87,North_Carolina,5/31/2020,28686,911
88,North_Carolina,6/1/2020,29368,923
89,North_Carolina,6/2/2020,30052,950
90,North_Carolina,6/3/2020,31013,971
91,North_Carolina,6/4/2020,32276,993
92,North_Carolina,6/5/2020,33417,1001
93,North_Carolina,6/6/2020,34809,1020
94,North_Carolina,6/7/2020,35663,1024
95,North_Carolina,6/8/2020,36581,1041
96,North_Carolina,6/9/2020,37393,1069
97,North_Carolina,6/10/2020,38305,1096
98,North_Carolina,6/11/2020,39735,1114
99,North_Carolina,6/12/2020,41467,1128
100,North_Carolina,6/13/2020,42911,1135
101,North_Carolina,6/14/2020,44199,1139
102,North_Carolina,6/15/2020,45257,1156
103,North_Carolina,6/16/2020,46105,1185
104,North_Carolina,6/17/2020,47142,1198
105,North_Carolina,6/18/2020,48426,1209
106,North_Carolina,6/19/2020,50014,1223
107,North_Carolina,6/20/2020,51640,1239
108,North_Carolina,6/21/2020,52854,1245
109,North_Carolina,6/22/2020,53840,1250
110,North_Carolina,6/23/2020,54824,1276
111,North_Carolina,6/24/2020,56261,1295
112,North_Carolina,6/25/2020,57538,1305
113,North_Carolina,6/26/2020,59253,1319
114,North_Carolina,6/27/2020,60710,1334
115,North_Carolina,6/28/2020,62178,1338
116,North_Carolina,6/29/2020,63684,1341
117,North_Carolina,6/30/2020,65062,1362
118,North_Carolina,7/1/2020,66815,1389
119,North_Carolina,7/2/2020,68508,1402
120,North_Carolina,7/3/2020,70447,1413
121,North_Carolina,7/4/2020,71734,1414
122,North_Carolina,7/5/2020,73094,1414
123,North_Carolina,7/6/2020,74930,1424
124,North_Carolina,7/7/2020,76258,1446
125,North_Carolina,7/8/2020,77735,1470
126,North_Carolina,7/9/2020,79648,1487
127,North_Carolina,7/10/2020,81821,1503
128,North_Carolina,7/11/2020,84087,1520
129,North_Carolina,7/12/2020,85924,1532
130,North_Carolina,7/13/2020,87750,1547
131,North_Carolina,7/14/2020,89863,1582
132,North_Carolina,7/15/2020,91675,1598
133,North_Carolina,7/16/2020,93769,1617
134,North_Carolina,7/17/2020,95745,1638
135,North_Carolina,7/18/2020,98182,1653
