Id,State,Date,ConfirmedCases,Fatalities
1,North_Dakota,3/8/2020,1,0
2,North_Dakota,3/9/2020,1,0
3,North_Dakota,3/10/2020,1,0
4,North_Dakota,3/11/2020,1,0
5,North_Dakota,3/12/2020,1,0
6,North_Dakota,3/13/2020,1,0
7,North_Dakota,3/14/2020,1,0
8,North_Dakota,3/15/2020,1,0
9,North_Dakota,3/16/2020,1,0
10,North_Dakota,3/17/2020,5,0
11,North_Dakota,3/18/2020,7,0
12,North_Dakota,3/19/2020,19,0
13,North_Dakota,3/20/2020,27,0
14,North_Dakota,3/21/2020,28,0
15,North_Dakota,3/22/2020,30,0
16,North_Dakota,3/23/2020,32,0
17,North_Dakota,3/24/2020,37,0
18,North_Dakota,3/25/2020,45,0
19,North_Dakota,3/26/2020,58,0
20,North_Dakota,3/27/2020,68,1
21,North_Dakota,3/28/2020,93,1
22,North_Dakota,3/29/2020,97,1
23,North_Dakota,3/30/2020,109,3
24,North_Dakota,3/31/2020,126,3
25,North_Dakota,4/1/2020,147,3
26,North_Dakota,4/2/2020,159,3
27,North_Dakota,4/3/2020,173,3
28,North_Dakota,4/4/2020,186,3
29,North_Dakota,4/5/2020,207,3
30,North_Dakota,4/6/2020,225,3
31,North_Dakota,4/7/2020,237,4
32,North_Dakota,4/8/2020,251,4
33,North_Dakota,4/9/2020,269,5
34,North_Dakota,4/10/2020,278,7
35,North_Dakota,4/11/2020,293,7
36,North_Dakota,4/12/2020,308,8
37,North_Dakota,4/13/2020,331,9
38,North_Dakota,4/14/2020,341,9
39,North_Dakota,4/15/2020,365,9
40,North_Dakota,4/16/2020,393,9
41,North_Dakota,4/17/2020,439,9
42,North_Dakota,4/18/2020,528,9
43,North_Dakota,4/19/2020,585,10
44,North_Dakota,4/20/2020,627,13
45,North_Dakota,4/21/2020,644,13
46,North_Dakota,4/22/2020,679,14
47,North_Dakota,4/23/2020,709,15
48,North_Dakota,4/24/2020,748,15
49,North_Dakota,4/25/2020,803,16
50,North_Dakota,4/26/2020,867,17
51,North_Dakota,4/27/2020,942,19
52,North_Dakota,4/28/2020,991,19
53,North_Dakota,4/29/2020,1033,19
54,North_Dakota,4/30/2020,1067,19
55,North_Dakota,5/1/2020,1107,23
56,North_Dakota,5/2/2020,1153,24
57,North_Dakota,5/3/2020,1191,25
58,North_Dakota,5/4/2020,1225,25
59,North_Dakota,5/5/2020,1266,25
60,North_Dakota,5/6/2020,1323,31
61,North_Dakota,5/7/2020,1371,31
62,North_Dakota,5/8/2020,1425,33
63,North_Dakota,5/9/2020,1464,35
64,North_Dakota,5/10/2020,1491,35
65,North_Dakota,5/11/2020,1518,36
66,North_Dakota,5/12/2020,1571,38
67,North_Dakota,5/13/2020,1647,40
68,North_Dakota,5/14/2020,1712,40
69,North_Dakota,5/15/2020,1761,42
70,North_Dakota,5/16/2020,1848,42
71,North_Dakota,5/17/2020,1900,43
72,North_Dakota,5/18/2020,1931,44
73,North_Dakota,5/19/2020,1994,45
74,North_Dakota,5/20/2020,2095,49
75,North_Dakota,5/21/2020,2229,51
76,North_Dakota,5/22/2020,2317,52
77,North_Dakota,5/23/2020,2365,52
78,North_Dakota,5/24/2020,2418,53
79,North_Dakota,5/25/2020,2457,54
80,North_Dakota,5/26/2020,2422,54
81,North_Dakota,5/27/2020,2442,59
82,North_Dakota,5/28/2020,2484,60
83,North_Dakota,5/29/2020,2523,62
84,North_Dakota,5/30/2020,2557,63
85,North_Dakota,5/31/2020,2580,64
86,North_Dakota,6/1/2020,2628,64
87,North_Dakota,6/2/2020,2649,68
88,North_Dakota,6/3/2020,2682,69
89,North_Dakota,6/4/2020,2709,69
90,North_Dakota,6/5/2020,2748,74
91,North_Dakota,6/6/2020,2819,75
92,North_Dakota,6/7/2020,2864,75
93,North_Dakota,6/8/2020,2883,75
94,North_Dakota,6/9/2020,2904,75
95,North_Dakota,6/10/2020,2944,76
96,North_Dakota,6/11/2020,2983,77
97,North_Dakota,6/12/2020,3019,77
98,North_Dakota,6/13/2020,3061,77
99,North_Dakota,6/14/2020,3083,77
100,North_Dakota,6/15/2020,3104,77
101,North_Dakota,6/16/2020,3127,77
102,North_Dakota,6/17/2020,3170,78
103,North_Dakota,6/18/2020,3199,81
104,North_Dakota,6/19/2020,3232,82
105,North_Dakota,6/20/2020,3257,82
106,North_Dakota,6/21/2020,3294,83
107,North_Dakota,6/22/2020,3319,83
108,North_Dakota,6/23/2020,3326,84
109,North_Dakota,6/24/2020,3370,86
110,North_Dakota,6/25/2020,3402,87
111,North_Dakota,6/26/2020,3430,87
112,North_Dakota,6/27/2020,3467,87
113,North_Dakota,6/28/2020,3504,88
114,North_Dakota,6/29/2020,3548,88
115,North_Dakota,6/30/2020,3585,88
116,North_Dakota,7/1/2020,3624,89
117,North_Dakota,7/2/2020,3666,89
118,North_Dakota,7/3/2020,3731,89
119,North_Dakota,7/4/2020,3788,89
120,North_Dakota,7/5/2020,3825,89
121,North_Dakota,7/6/2020,3858,89
122,North_Dakota,7/7/2020,3903,89
123,North_Dakota,7/8/2020,3975,89
124,North_Dakota,7/9/2020,4074,89
125,North_Dakota,7/10/2020,4158,89
126,North_Dakota,7/11/2020,4247,91
127,North_Dakota,7/12/2020,4338,91
128,North_Dakota,7/13/2020,4446,91
129,North_Dakota,7/14/2020,4497,92
130,North_Dakota,7/15/2020,4569,92
131,North_Dakota,7/16/2020,4672,93
132,North_Dakota,7/17/2020,4796,94
133,North_Dakota,7/18/2020,4911,94
134,North_Dakota,7/19/2020,5023,96
135,North_Dakota,7/20/2020,5130,97
136,North_Dakota,7/21/2020,5211,98
137,North_Dakota,7/22/2020,5371,100
138,North_Dakota,7/23/2020,5497,101
139,North_Dakota,7/24/2020,5618,103
140,North_Dakota,7/25/2020,5740,103
141,North_Dakota,7/26/2020,5880,103
142,North_Dakota,7/27/2020,5990,103
143,North_Dakota,7/28/2020,6145,104
144,North_Dakota,7/29/2020,6231,106
145,North_Dakota,7/30/2020,6305,107
146,North_Dakota,7/31/2020,6473,107
