Id,State,Date,ConfirmedCases,Fatalities
27,Nebraska,3/8/2020,16,0
28,Nebraska,3/9/2020,16,0
29,Nebraska,3/10/2020,17,0
30,Nebraska,3/11/2020,23,0
31,Nebraska,3/12/2020,24,0
32,Nebraska,3/13/2020,27,0
33,Nebraska,3/14/2020,29,0
34,Nebraska,3/15/2020,31,0
35,Nebraska,3/16/2020,33,0
36,Nebraska,3/17/2020,36,0
37,Nebraska,3/18/2020,43,0
38,Nebraska,3/19/2020,47,0
39,Nebraska,3/20/2020,53,0
40,Nebraska,3/21/2020,61,0
41,Nebraska,3/22/2020,62,0
42,Nebraska,3/23/2020,73,0
43,Nebraska,3/24/2020,77,0
44,Nebraska,3/25/2020,84,0
45,Nebraska,3/26/2020,91,0
46,Nebraska,3/27/2020,102,2
47,Nebraska,3/28/2020,122,2
48,Nebraska,3/29/2020,138,2
49,Nebraska,3/30/2020,185,3
50,Nebraska,3/31/2020,199,4
51,Nebraska,4/1/2020,249,5
52,Nebraska,4/2/2020,273,6
53,Nebraska,4/3/2020,297,6
54,Nebraska,4/4/2020,339,8
55,Nebraska,4/5/2020,377,8
56,Nebraska,4/6/2020,438,10
57,Nebraska,4/7/2020,491,12
58,Nebraska,4/8/2020,538,14
59,Nebraska,4/9/2020,594,15
60,Nebraska,4/10/2020,678,18
61,Nebraska,4/11/2020,718,18
62,Nebraska,4/12/2020,805,18
63,Nebraska,4/13/2020,870,19
64,Nebraska,4/14/2020,930,21
65,Nebraska,4/15/2020,994,22
66,Nebraska,4/16/2020,1094,24
67,Nebraska,4/17/2020,1216,24
68,Nebraska,4/18/2020,1348,28
69,Nebraska,4/19/2020,1473,28
70,Nebraska,4/20/2020,1646,33
71,Nebraska,4/21/2020,1726,38
72,Nebraska,4/22/2020,1826,42
73,Nebraska,4/23/2020,2190,46
74,Nebraska,4/24/2020,2474,50
75,Nebraska,4/25/2020,2898,52
76,Nebraska,4/26/2020,3126,54
77,Nebraska,4/27/2020,3487,54
78,Nebraska,4/28/2020,3613,56
79,Nebraska,4/29/2020,3876,67
80,Nebraska,4/30/2020,4332,70
81,Nebraska,5/1/2020,4838,72
82,Nebraska,5/2/2020,5332,75
83,Nebraska,5/3/2020,5686,77
84,Nebraska,5/4/2020,6123,78
85,Nebraska,5/5/2020,6442,81
86,Nebraska,5/6/2020,6771,85
87,Nebraska,5/7/2020,7190,91
