Id,State,Date,ConfirmedCases,Fatalities
1,New_Hampshire,3/4/2020,2,0
2,New_Hampshire,3/5/2020,2,0
3,New_Hampshire,3/6/2020,2,0
4,New_Hampshire,3/7/2020,4,0
5,New_Hampshire,3/8/2020,4,0
6,New_Hampshire,3/9/2020,4,0
7,New_Hampshire,3/10/2020,5,0
8,New_Hampshire,3/11/2020,5,0
9,New_Hampshire,3/12/2020,6,0
10,New_Hampshire,3/13/2020,7,0
11,New_Hampshire,3/14/2020,7,0
12,New_Hampshire,3/15/2020,13,0
13,New_Hampshire,3/16/2020,17,0
14,New_Hampshire,3/17/2020,26,0
15,New_Hampshire,3/18/2020,39,0
16,New_Hampshire,3/19/2020,44,0
17,New_Hampshire,3/20/2020,55,0
18,New_Hampshire,3/21/2020,65,0
19,New_Hampshire,3/22/2020,78,0
20,New_Hampshire,3/23/2020,101,1
21,New_Hampshire,3/24/2020,108,1
22,New_Hampshire,3/25/2020,137,1
23,New_Hampshire,3/26/2020,158,1
24,New_Hampshire,3/27/2020,187,2
25,New_Hampshire,3/28/2020,214,2
26,New_Hampshire,3/29/2020,258,3
27,New_Hampshire,3/30/2020,314,3
28,New_Hampshire,3/31/2020,367,3
29,New_Hampshire,4/1/2020,415,4
30,New_Hampshire,4/2/2020,479,5
31,New_Hampshire,4/3/2020,540,7
32,New_Hampshire,4/4/2020,621,9
33,New_Hampshire,4/5/2020,669,9
34,New_Hampshire,4/6/2020,715,9
35,New_Hampshire,4/7/2020,747,13
36,New_Hampshire,4/8/2020,788,18
37,New_Hampshire,4/9/2020,819,21
38,New_Hampshire,4/10/2020,885,22
39,New_Hampshire,4/11/2020,929,23
40,New_Hampshire,4/12/2020,985,23
41,New_Hampshire,4/13/2020,1020,23
42,New_Hampshire,4/14/2020,1091,27
43,New_Hampshire,4/15/2020,1139,32
44,New_Hampshire,4/16/2020,1211,34
45,New_Hampshire,4/17/2020,1287,37
46,New_Hampshire,4/18/2020,1342,38
47,New_Hampshire,4/19/2020,1392,41
48,New_Hampshire,4/20/2020,1447,42
49,New_Hampshire,4/21/2020,1491,42
50,New_Hampshire,4/22/2020,1588,48
51,New_Hampshire,4/23/2020,1670,51
52,New_Hampshire,4/24/2020,1720,53
53,New_Hampshire,4/25/2020,1793,60
54,New_Hampshire,4/26/2020,1864,60
55,New_Hampshire,4/27/2020,1938,60
56,New_Hampshire,4/28/2020,2010,60
57,New_Hampshire,4/29/2020,2054,66
58,New_Hampshire,4/30/2020,2146,72
59,New_Hampshire,5/1/2020,2310,81
60,New_Hampshire,5/2/2020,2429,84
61,New_Hampshire,5/3/2020,2518,86
62,New_Hampshire,5/4/2020,2588,86
63,New_Hampshire,5/5/2020,2636,92
64,New_Hampshire,5/6/2020,2741,111
65,New_Hampshire,5/7/2020,2843,114
66,New_Hampshire,5/8/2020,2947,121
67,New_Hampshire,5/9/2020,3011,131
68,New_Hampshire,5/10/2020,3071,133
69,New_Hampshire,5/11/2020,3160,133
70,New_Hampshire,5/12/2020,3239,142
71,New_Hampshire,5/13/2020,3299,150
72,New_Hampshire,5/14/2020,3382,151
73,New_Hampshire,5/15/2020,3464,159
74,New_Hampshire,5/16/2020,3556,171
75,New_Hampshire,5/17/2020,3596,172
76,New_Hampshire,5/18/2020,3652,172
77,New_Hampshire,5/19/2020,3721,182
78,New_Hampshire,5/20/2020,3868,190
79,New_Hampshire,5/21/2020,3935,199
80,New_Hampshire,5/22/2020,4014,204
81,New_Hampshire,5/23/2020,4089,208
82,New_Hampshire,5/24/2020,4149,209
83,New_Hampshire,5/25/2020,4197,210
84,New_Hampshire,5/26/2020,4231,214
85,New_Hampshire,5/27/2020,4286,223
86,New_Hampshire,5/28/2020,4389,232
87,New_Hampshire,5/29/2020,4492,238
88,New_Hampshire,5/30/2020,4545,242
89,New_Hampshire,5/31/2020,4651,245
90,New_Hampshire,6/1/2020,4685,245
91,New_Hampshire,6/2/2020,4749,256
92,New_Hampshire,6/3/2020,4795,265
93,New_Hampshire,6/4/2020,4876,273
94,New_Hampshire,6/5/2020,4953,278
95,New_Hampshire,6/6/2020,5019,283
96,New_Hampshire,6/7/2020,5043,286
97,New_Hampshire,6/8/2020,5079,286
98,New_Hampshire,6/9/2020,5132,294
99,New_Hampshire,6/10/2020,5178,301
100,New_Hampshire,6/11/2020,5209,308
101,New_Hampshire,6/12/2020,5251,315
102,New_Hampshire,6/13/2020,5299,318
103,New_Hampshire,6/14/2020,5318,320
104,New_Hampshire,6/15/2020,5345,320
105,New_Hampshire,6/16/2020,5364,326
106,New_Hampshire,6/17/2020,5436,330
107,New_Hampshire,6/18/2020,5450,331
108,New_Hampshire,6/19/2020,5486,337
109,New_Hampshire,6/20/2020,5518,339
110,New_Hampshire,6/21/2020,5544,339
111,New_Hampshire,6/22/2020,5558,339
112,New_Hampshire,6/23/2020,5571,343
113,New_Hampshire,6/24/2020,5598,347
114,New_Hampshire,6/25/2020,5638,357
115,New_Hampshire,6/26/2020,5671,365
116,New_Hampshire,6/27/2020,5717,367
117,New_Hampshire,6/28/2020,5747,367
118,New_Hampshire,6/29/2020,5760,367
119,New_Hampshire,6/30/2020,5782,371
120,New_Hampshire,7/1/2020,5802,373
121,New_Hampshire,7/2/2020,5822,375
122,New_Hampshire,7/3/2020,5857,376
123,New_Hampshire,7/4/2020,5871,380
124,New_Hampshire,7/5/2020,5897,381
125,New_Hampshire,7/6/2020,5914,382
126,New_Hampshire,7/7/2020,5932,384
127,New_Hampshire,7/8/2020,5952,386
128,New_Hampshire,7/9/2020,5973,387
129,New_Hampshire,7/10/2020,5991,390
130,New_Hampshire,7/11/2020,6024,391
131,New_Hampshire,7/12/2020,6054,391
132,New_Hampshire,7/13/2020,6068,391
133,New_Hampshire,7/14/2020,6091,392
134,New_Hampshire,7/15/2020,6113,394
135,New_Hampshire,7/16/2020,6139,395
136,New_Hampshire,7/17/2020,6165,395
137,New_Hampshire,7/18/2020,6188,396
138,New_Hampshire,7/19/2020,6203,398
139,New_Hampshire,7/20/2020,6249,398
140,New_Hampshire,7/21/2020,6262,400
141,New_Hampshire,7/22/2020,6295,402
