Id,State,Date,ConfirmedCases,Fatalities
1,New_Jersey,2/14/2020,0,0
2,New_Jersey,2/15/2020,0,0
3,New_Jersey,2/16/2020,0,0
4,New_Jersey,2/17/2020,0,0
5,New_Jersey,2/18/2020,0,0
6,New_Jersey,2/19/2020,0,0
7,New_Jersey,2/20/2020,0,0
8,New_Jersey,2/21/2020,0,0
9,New_Jersey,2/22/2020,0,0
10,New_Jersey,2/23/2020,0,0
11,New_Jersey,2/24/2020,0,0
12,New_Jersey,2/25/2020,0,0
13,New_Jersey,2/26/2020,0,0
14,New_Jersey,2/27/2020,0,0
15,New_Jersey,2/28/2020,0,0
16,New_Jersey,2/29/2020,0,0
17,New_Jersey,3/1/2020,0,0
18,New_Jersey,3/2/2020,0,0
19,New_Jersey,3/3/2020,0,0
20,New_Jersey,3/4/2020,1,0
21,New_Jersey,3/5/2020,2,0
22,New_Jersey,3/6/2020,4,0
23,New_Jersey,3/7/2020,4,0
24,New_Jersey,3/8/2020,6,0
25,New_Jersey,3/9/2020,11,0
26,New_Jersey,3/10/2020,15,1
27,New_Jersey,3/11/2020,23,1
28,New_Jersey,3/12/2020,29,1
29,New_Jersey,3/13/2020,50,1
30,New_Jersey,3/14/2020,75,2
31,New_Jersey,3/15/2020,98,2
32,New_Jersey,3/16/2020,176,3
33,New_Jersey,3/17/2020,268,3
34,New_Jersey,3/18/2020,427,5
35,New_Jersey,3/19/2020,735,9
36,New_Jersey,3/20/2020,896,11
37,New_Jersey,3/21/2020,1336,16
38,New_Jersey,3/22/2020,1914,20
39,New_Jersey,3/23/2020,2844,27
40,New_Jersey,3/24/2020,3675,44
41,New_Jersey,3/25/2020,4402,62
42,New_Jersey,3/26/2020,6876,82
43,New_Jersey,3/27/2020,8825,108
44,New_Jersey,3/28/2020,11124,140
45,New_Jersey,3/29/2020,13386,161
46,New_Jersey,3/30/2020,16636,199
47,New_Jersey,3/31/2020,18696,267
48,New_Jersey,4/1/2020,22255,355
49,New_Jersey,4/2/2020,25590,539
50,New_Jersey,4/3/2020,29895,647
51,New_Jersey,4/4/2020,34124,847
52,New_Jersey,4/5/2020,37505,917
53,New_Jersey,4/6/2020,41090,1005
54,New_Jersey,4/7/2020,44416,1232
55,New_Jersey,4/8/2020,47437,1504
56,New_Jersey,4/9/2020,51027,1700
57,New_Jersey,4/10/2020,54588,1932
58,New_Jersey,4/11/2020,58151,2183
59,New_Jersey,4/12/2020,61850,2350
60,New_Jersey,4/13/2020,64584,2443
61,New_Jersey,4/14/2020,68824,2805
62,New_Jersey,4/15/2020,71030,3156
63,New_Jersey,4/16/2020,75317,3518
64,New_Jersey,4/17/2020,78467,3840
65,New_Jersey,4/18/2020,81420,4070
66,New_Jersey,4/19/2020,85301,4202
67,New_Jersey,4/20/2020,88806,4377
68,New_Jersey,4/21/2020,92387,4753
69,New_Jersey,4/22/2020,95865,5063
70,New_Jersey,4/23/2020,99989,5368
71,New_Jersey,4/24/2020,102196,5617
72,New_Jersey,4/25/2020,105523,5863
73,New_Jersey,4/26/2020,109038,5938
74,New_Jersey,4/27/2020,111188,6044
75,New_Jersey,4/28/2020,113856,6442
76,New_Jersey,4/29/2020,116264,6770
77,New_Jersey,4/30/2020,118652,7228
78,New_Jersey,5/1/2020,121190,7538
79,New_Jersey,5/2/2020,123717,7742
80,New_Jersey,5/3/2020,126744,7871
81,New_Jersey,5/4/2020,128269,7910
82,New_Jersey,5/5/2020,130593,8244
83,New_Jersey,5/6/2020,131890,8549
84,New_Jersey,5/7/2020,133635,8801
85,New_Jersey,5/8/2020,135454,8952
86,New_Jersey,5/9/2020,137085,9116
87,New_Jersey,5/10/2020,138532,9255
88,New_Jersey,5/11/2020,139945,9310
89,New_Jersey,5/12/2020,140743,9508
90,New_Jersey,5/13/2020,141560,9702
91,New_Jersey,5/14/2020,142704,9946
92,New_Jersey,5/15/2020,143905,10138
93,New_Jersey,5/16/2020,145089,10249
94,New_Jersey,5/17/2020,146334,10356
95,New_Jersey,5/18/2020,148039,10435
96,New_Jersey,5/19/2020,149013,10586
97,New_Jersey,5/20/2020,150399,10747
98,New_Jersey,5/21/2020,151472,10843
99,New_Jersey,5/22/2020,152719,10985
100,New_Jersey,5/23/2020,153104,11081
101,New_Jersey,5/24/2020,154154,11133
102,New_Jersey,5/25/2020,155092,11144
103,New_Jersey,5/26/2020,155764,11191
104,New_Jersey,5/27/2020,156628,11339
105,New_Jersey,5/28/2020,157815,11401
106,New_Jersey,5/29/2020,158844,11531
107,New_Jersey,5/30/2020,159608,11634
108,New_Jersey,5/31/2020,160445,11698
109,New_Jersey,6/1/2020,160918,11721
110,New_Jersey,6/2/2020,161545,11770
111,New_Jersey,6/3/2020,162068,11880
112,New_Jersey,6/4/2020,162530,11970
113,New_Jersey,6/5/2020,163336,12049
114,New_Jersey,6/6/2020,163893,12106
115,New_Jersey,6/7/2020,164164,12176
116,New_Jersey,6/8/2020,164497,12214
117,New_Jersey,6/9/2020,164796,12303
118,New_Jersey,6/10/2020,165346,12377
119,New_Jersey,6/11/2020,165816,12443
120,New_Jersey,6/12/2020,166164,12489
121,New_Jersey,6/13/2020,166605,12589
122,New_Jersey,6/14/2020,166881,12625
123,New_Jersey,6/15/2020,167103,12676
124,New_Jersey,6/16/2020,167426,12727
125,New_Jersey,6/17/2020,167703,12769
126,New_Jersey,6/18/2020,168107,12800
127,New_Jersey,6/19/2020,168496,12835
128,New_Jersey,6/20/2020,168834,12857
129,New_Jersey,6/21/2020,169142,12870
130,New_Jersey,6/22/2020,169415,12895
131,New_Jersey,6/23/2020,169734,12949
132,New_Jersey,6/24/2020,169892,12995
133,New_Jersey,6/25/2020,172050,14872
134,New_Jersey,6/26/2020,172438,14914
135,New_Jersey,6/27/2020,172727,14948
136,New_Jersey,6/28/2020,173036,14975
137,New_Jersey,6/29/2020,173126,14992
138,New_Jersey,6/30/2020,173521,15035
139,New_Jersey,7/1/2020,173782,15078
140,New_Jersey,7/2/2020,174212,15107
141,New_Jersey,7/3/2020,174598,15164
142,New_Jersey,7/4/2020,174889,15189
143,New_Jersey,7/5/2020,175258,15211
144,New_Jersey,7/6/2020,175467,15229
145,New_Jersey,7/7/2020,175734,15281
146,New_Jersey,7/8/2020,175986,15423
147,New_Jersey,7/9/2020,176217,15448
148,New_Jersey,7/10/2020,176575,15479
149,New_Jersey,7/11/2020,176906,15525
150,New_Jersey,7/12/2020,177245,15525
151,New_Jersey,7/13/2020,177469,15560
152,New_Jersey,7/14/2020,177862,15582
153,New_Jersey,7/15/2020,178252,15634
154,New_Jersey,7/16/2020,178475,15665
155,New_Jersey,7/17/2020,178525,15684
156,New_Jersey,7/18/2020,178788,15699
157,New_Jersey,7/19/2020,178757,15706
158,New_Jersey,7/20/2020,178937,15715
159,New_Jersey,7/21/2020,179230,15737
160,New_Jersey,7/22/2020,179565,15707
161,New_Jersey,7/23/2020,179807,15730
162,New_Jersey,7/24/2020,180265,15765
163,New_Jersey,7/25/2020,180778,15776
164,New_Jersey,7/26/2020,181283,15787
165,New_Jersey,7/27/2020,181732,15804
166,New_Jersey,7/28/2020,182215,15825
167,New_Jersey,7/29/2020,182475,15798
168,New_Jersey,7/30/2020,182845,15809
169,New_Jersey,7/31/2020,183535,15819
