Id,State,Date,ConfirmedCases,Fatalities
1,Nevada,2/26/2020,2,0
2,Nevada,2/27/2020,2,0
3,Nevada,2/28/2020,2,0
4,Nevada,2/29/2020,2,0
5,Nevada,3/1/2020,2,0
6,Nevada,3/2/2020,2,0
7,Nevada,3/3/2020,2,0
8,Nevada,3/4/2020,2,0
9,Nevada,3/5/2020,2,0
10,Nevada,3/6/2020,2,0
11,Nevada,3/7/2020,2,0
12,Nevada,3/8/2020,4,0
13,Nevada,3/9/2020,4,0
14,Nevada,3/10/2020,4,0
15,Nevada,3/11/2020,7,0
16,Nevada,3/12/2020,11,0
17,Nevada,3/13/2020,19,0
18,Nevada,3/14/2020,21,0
19,Nevada,3/15/2020,26,0
20,Nevada,3/16/2020,45,1
21,Nevada,3/17/2020,55,1
22,Nevada,3/18/2020,82,1
23,Nevada,3/19/2020,99,1
24,Nevada,3/20/2020,165,2
25,Nevada,3/21/2020,165,2
26,Nevada,3/22/2020,190,2
27,Nevada,3/23/2020,265,4
28,Nevada,3/24/2020,315,6
29,Nevada,3/25/2020,405,10
30,Nevada,3/26/2020,535,10
31,Nevada,3/27/2020,621,10
32,Nevada,3/28/2020,738,14
33,Nevada,3/29/2020,920,15
34,Nevada,3/30/2020,1044,18
35,Nevada,3/31/2020,1113,26
36,Nevada,4/1/2020,1279,32
37,Nevada,4/2/2020,1458,38
38,Nevada,4/3/2020,1549,43
39,Nevada,4/4/2020,1758,46
40,Nevada,4/5/2020,1880,46
41,Nevada,4/6/2020,1971,58
42,Nevada,4/7/2020,2101,60
43,Nevada,4/8/2020,2318,80
44,Nevada,4/9/2020,2456,82
45,Nevada,4/10/2020,2606,86
46,Nevada,4/11/2020,2720,111
47,Nevada,4/12/2020,2860,113
48,Nevada,4/13/2020,3036,114
49,Nevada,4/14/2020,3137,130
50,Nevada,4/15/2020,3212,137
51,Nevada,4/16/2020,3321,142
52,Nevada,4/17/2020,3524,151
53,Nevada,4/18/2020,3626,155
54,Nevada,4/19/2020,3710,158
55,Nevada,4/20/2020,3830,163
56,Nevada,4/21/2020,3937,163
57,Nevada,4/22/2020,4081,187
58,Nevada,4/23/2020,4208,195
59,Nevada,4/24/2020,4398,203
60,Nevada,4/25/2020,4539,206
61,Nevada,4/26/2020,4638,206
62,Nevada,4/27/2020,4708,219
63,Nevada,4/28/2020,4812,225
64,Nevada,4/29/2020,4934,237
65,Nevada,4/30/2020,5053,243
66,Nevada,5/1/2020,5249,254
67,Nevada,5/2/2020,5390,257
68,Nevada,5/3/2020,5473,262
69,Nevada,5/4/2020,5627,266
70,Nevada,5/5/2020,5665,276
71,Nevada,5/6/2020,5744,286
72,Nevada,5/7/2020,5858,293
73,Nevada,5/8/2020,5942,301
74,Nevada,5/9/2020,6046,306
75,Nevada,5/10/2020,6120,306
76,Nevada,5/11/2020,6152,312
77,Nevada,5/12/2020,6311,321
78,Nevada,5/13/2020,6482,331
79,Nevada,5/14/2020,6604,339
80,Nevada,5/15/2020,6733,345
81,Nevada,5/16/2020,6810,349
82,Nevada,5/17/2020,6935,350
83,Nevada,5/18/2020,7059,364
84,Nevada,5/19/2020,7169,373
85,Nevada,5/20/2020,7301,378
86,Nevada,5/21/2020,7404,381
87,Nevada,5/22/2020,7531,387
88,Nevada,5/23/2020,7769,392
89,Nevada,5/24/2020,7886,394
90,Nevada,5/25/2020,7959,396
91,Nevada,5/26/2020,8059,396
92,Nevada,5/27/2020,8150,402
93,Nevada,5/28/2020,8247,410
94,Nevada,5/29/2020,8375,415
95,Nevada,5/30/2020,8519,417
96,Nevada,5/31/2020,8628,419
97,Nevada,6/1/2020,8701,420
98,Nevada,6/2/2020,8858,420
99,Nevada,6/3/2020,8950,429
100,Nevada,6/4/2020,9118,429
101,Nevada,6/5/2020,9306,436
102,Nevada,6/6/2020,9494,437
103,Nevada,6/7/2020,9673,438
104,Nevada,6/8/2020,9815,442
105,Nevada,6/9/2020,10046,445
106,Nevada,6/10/2020,10216,449
107,Nevada,6/11/2020,10464,460
108,Nevada,6/12/2020,10704,462
109,Nevada,6/13/2020,10992,463
110,Nevada,6/14/2020,11199,464
111,Nevada,6/15/2020,11316,466
112,Nevada,6/16/2020,11673,467
113,Nevada,6/17/2020,11852,473
114,Nevada,6/18/2020,12164,475
115,Nevada,6/19/2020,12525,479
116,Nevada,6/20/2020,12977,486
117,Nevada,6/21/2020,13236,487
118,Nevada,6/22/2020,13575,490
119,Nevada,6/23/2020,14058,492
120,Nevada,6/24/2020,14460,494
121,Nevada,6/25/2020,14911,495
122,Nevada,6/26/2020,15359,498
123,Nevada,6/27/2020,16400,500
124,Nevada,6/28/2020,17187,500
125,Nevada,6/29/2020,17971,505
126,Nevada,6/30/2020,18582,507
127,Nevada,7/1/2020,19151,512
128,Nevada,7/2/2020,19871,525
129,Nevada,7/3/2020,20878,530
130,Nevada,7/4/2020,21671,530
131,Nevada,7/5/2020,22518,537
132,Nevada,7/6/2020,22930,537
133,Nevada,7/7/2020,23848,549
134,Nevada,7/8/2020,24378,556
135,Nevada,7/9/2020,25055,574
136,Nevada,7/10/2020,25961,581
137,Nevada,7/11/2020,26912,592
138,Nevada,7/12/2020,27745,593
139,Nevada,7/13/2020,28597,596
140,Nevada,7/14/2020,29669,613
141,Nevada,7/15/2020,30587,619
142,Nevada,7/16/2020,32024,627
143,Nevada,7/17/2020,33372,638
144,Nevada,7/18/2020,34606,647
145,Nevada,7/19/2020,35826,648
146,Nevada,7/20/2020,36805,650
147,Nevada,7/21/2020,37605,680
148,Nevada,7/22/2020,38759,705
149,Nevada,7/23/2020,40088,709
150,Nevada,7/24/2020,41013,722
151,Nevada,7/25/2020,41993,733
152,Nevada,7/26/2020,42919,734
153,Nevada,7/27/2020,43880,739
154,Nevada,7/28/2020,44991,760
155,Nevada,7/29/2020,45937,782
156,Nevada,7/30/2020,47034,805
157,Nevada,7/31/2020,48142,831
