Id,State,Date,ConfirmedCases,Fatalities
5,NewYork,2/25/2020,1,0
6,NewYork,2/26/2020,1,0
7,NewYork,2/27/2020,1,0
8,NewYork,2/28/2020,1,0
9,NewYork,2/29/2020,1,0
10,NewYork,3/1/2020,1,0
11,NewYork,3/2/2020,1,0
12,NewYork,3/3/2020,2,0
13,NewYork,3/4/2020,11,0
14,NewYork,3/5/2020,22,0
15,NewYork,3/6/2020,44,0
16,NewYork,3/7/2020,89,0
17,NewYork,3/8/2020,106,0
18,NewYork,3/9/2020,142,0
19,NewYork,3/10/2020,173,0
20,NewYork,3/11/2020,217,0
21,NewYork,3/12/2020,326,0
22,NewYork,3/13/2020,421,0
23,NewYork,3/14/2020,610,0
24,NewYork,3/15/2020,732,3
25,NewYork,3/16/2020,950,7
26,NewYork,3/17/2020,1375,7
27,NewYork,3/18/2020,2387,12
28,NewYork,3/19/2020,4161,12
29,NewYork,3/20/2020,7113,35
30,NewYork,3/21/2020,10371,44
31,NewYork,3/22/2020,15188,114
32,NewYork,3/23/2020,20899,114
33,NewYork,3/24/2020,25704,210
34,NewYork,3/25/2020,33117,285
35,NewYork,3/26/2020,39058,385
36,NewYork,3/27/2020,44746,519
37,NewYork,3/28/2020,53517,728
38,NewYork,3/29/2020,59783,965
39,NewYork,3/30/2020,67504,1218
40,NewYork,3/31/2020,76211,1550
41,NewYork,4/1/2020,84364,1941
42,NewYork,4/2/2020,93360,2373
43,NewYork,4/3/2020,103689,2935
44,NewYork,4/4/2020,115963,3565
45,NewYork,4/5/2020,124085,4159
46,NewYork,4/6/2020,133389,4758
47,NewYork,4/7/2020,141703,5489
48,NewYork,4/8/2020,151271,6268
49,NewYork,4/9/2020,162036,7067
50,NewYork,4/10/2020,172830,7844
51,NewYork,4/11/2020,182990,8627
52,NewYork,4/12/2020,191425,9385
53,NewYork,4/13/2020,197973,10056
54,NewYork,4/14/2020,205375,10834
55,NewYork,4/15/2020,217130,11586
56,NewYork,4/16/2020,225761,12192
57,NewYork,4/17/2020,233293,12822
58,NewYork,4/18/2020,240542,13362
59,NewYork,4/19/2020,246741,13869
60,NewYork,4/20/2020,251608,14347
61,NewYork,4/21/2020,255932,14828
62,NewYork,4/22/2020,261591,15302
63,NewYork,4/23/2020,267932,15740
64,NewYork,4/24/2020,276218,16162
65,NewYork,4/25/2020,286901,16599
66,NewYork,4/26/2020,292914,16966
67,NewYork,4/27/2020,296991,17303
68,NewYork,4/28/2020,300276,17638
69,NewYork,4/29/2020,304994,18015
70,NewYork,4/30/2020,309696,18321
71,NewYork,5/1/2020,313575,18610
72,NewYork,5/2/2020,318134,18909
73,NewYork,5/3/2020,321833,19189
74,NewYork,5/4/2020,324357,19415
75,NewYork,5/5/2020,326659,19645
76,NewYork,5/6/2020,329405,19877
77,NewYork,5/7/2020,332931,20828
78,NewYork,5/8/2020,335804,21045
79,NewYork,5/9/2020,338519,21271
80,NewYork,5/10/2020,340657,21478
81,NewYork,5/11/2020,342267,21640
82,NewYork,5/12/2020,343705,21845
83,NewYork,5/13/2020,345828,22013
84,NewYork,5/14/2020,348192,22170
85,NewYork,5/15/2020,350951,22304
86,NewYork,5/16/2020,353136,22478
87,NewYork,5/17/2020,355037,22619
88,NewYork,5/18/2020,356278,22729
89,NewYork,5/19/2020,357757,22843
90,NewYork,5/20/2020,359235,22976
91,NewYork,5/21/2020,361313,23083
92,NewYork,5/22/2020,362991,23195
93,NewYork,5/23/2020,364745,23282
94,NewYork,5/24/2020,366346,23391
95,NewYork,5/25/2020,367625,23488
96,NewYork,5/26/2020,368669,23564
97,NewYork,5/27/2020,369801,23643
98,NewYork,5/28/2020,371559,23722
99,NewYork,5/29/2020,373108,23780
100,NewYork,5/30/2020,374471,23848
101,NewYork,5/31/2020,375575,23905
102,NewYork,6/1/2020,376520,23959
103,NewYork,6/2/2020,377881,24023
104,NewYork,6/3/2020,378924,24079
105,NewYork,6/4/2020,379977,24133
106,NewYork,6/5/2020,381019,24175
107,NewYork,6/6/2020,382102,24212
108,NewYork,6/7/2020,382879,24259
109,NewYork,6/8/2020,383591,24299
110,NewYork,6/9/2020,384281,24348
111,NewYork,6/10/2020,384945,24404
112,NewYork,6/11/2020,385669,24442
113,NewYork,6/12/2020,386490,24495
114,NewYork,6/13/2020,387402,24527
115,NewYork,6/14/2020,388096,24551
116,NewYork,6/15/2020,388719,24579
117,NewYork,6/16/2020,389349,24608
118,NewYork,6/17/2020,389910,24629
119,NewYork,6/18/2020,390536,24661
120,NewYork,6/19/2020,391330,24686
121,NewYork,6/20/2020,392037,24710
122,NewYork,6/21/2020,392702,24725
123,NewYork,6/22/2020,393257,24739
124,NewYork,6/23/2020,393855,24766
125,NewYork,6/24/2020,394430,24782
126,NewYork,6/25/2020,395168,24800
127,NewYork,6/26/2020,395972,24814
