Id,State,Date,ConfirmedCases,Fatalities
20,Ohio,3/1/2020,1,0
21,Ohio,3/2/2020,1,0
22,Ohio,3/3/2020,1,0
23,Ohio,3/4/2020,2,0
24,Ohio,3/5/2020,2,0
25,Ohio,3/6/2020,3,0
26,Ohio,3/7/2020,3,0
27,Ohio,3/8/2020,3,0
28,Ohio,3/9/2020,3,0
29,Ohio,3/10/2020,3,0
30,Ohio,3/11/2020,4,0
31,Ohio,3/12/2020,5,0
32,Ohio,3/13/2020,13,0
33,Ohio,3/14/2020,26,0
34,Ohio,3/15/2020,37,0
35,Ohio,3/16/2020,50,0
36,Ohio,3/17/2020,67,0
37,Ohio,3/18/2020,90,0
38,Ohio,3/19/2020,120,0
39,Ohio,3/20/2020,169,1
40,Ohio,3/21/2020,247,3
41,Ohio,3/22/2020,351,3
42,Ohio,3/23/2020,444,6
43,Ohio,3/24/2020,564,8
44,Ohio,3/25/2020,707,11
45,Ohio,3/26/2020,867,15
46,Ohio,3/27/2020,1144,22
47,Ohio,3/28/2020,1406,25
48,Ohio,3/29/2020,1665,30
49,Ohio,3/30/2020,1933,40
50,Ohio,3/31/2020,2199,55
51,Ohio,4/1/2020,2548,65
52,Ohio,4/2/2020,2903,81
53,Ohio,4/3/2020,3312,91
54,Ohio,4/4/2020,3739,102
55,Ohio,4/5/2020,4043,119
56,Ohio,4/6/2020,4450,142
57,Ohio,4/7/2020,4783,167
58,Ohio,4/8/2020,5149,193
59,Ohio,4/9/2020,5513,213
60,Ohio,4/10/2020,5879,231
61,Ohio,4/11/2020,6251,247
62,Ohio,4/12/2020,6605,253
63,Ohio,4/13/2020,6975,274
64,Ohio,4/14/2020,7280,324
65,Ohio,4/15/2020,7791,361
66,Ohio,4/16/2020,8414,389
67,Ohio,4/17/2020,9107,418
68,Ohio,4/18/2020,10222,451
69,Ohio,4/19/2020,11602,471
70,Ohio,4/20/2020,12919,509
71,Ohio,4/21/2020,13725,557
72,Ohio,4/22/2020,14117,610
73,Ohio,4/23/2020,14694,656
74,Ohio,4/24/2020,15169,690
75,Ohio,4/25/2020,15587,711
76,Ohio,4/26/2020,15963,728
77,Ohio,4/27/2020,16325,753
78,Ohio,4/28/2020,16769,799
79,Ohio,4/29/2020,17303,937
80,Ohio,4/30/2020,18027,975
81,Ohio,5/1/2020,18743,1002
82,Ohio,5/2/2020,19335,1021
83,Ohio,5/3/2020,19914,1038
84,Ohio,5/4/2020,20474,1056
85,Ohio,5/5/2020,20969,1135
86,Ohio,5/6/2020,21576,1225
87,Ohio,5/7/2020,22131,1271
88,Ohio,5/8/2020,23018,1306
89,Ohio,5/9/2020,23697,1331
90,Ohio,5/10/2020,24086,1341
91,Ohio,5/11/2020,24785,1357
92,Ohio,5/12/2020,25257,1436
93,Ohio,5/13/2020,25727,1483
94,Ohio,5/14/2020,26363,1534
95,Ohio,5/15/2020,26956,1581
96,Ohio,5/16/2020,27476,1610
97,Ohio,5/17/2020,27925,1625
98,Ohio,5/18/2020,28455,1657
99,Ohio,5/19/2020,28953,1720
100,Ohio,5/20/2020,29437,1781
101,Ohio,5/21/2020,30168,1836
102,Ohio,5/22/2020,30795,1872
103,Ohio,5/23/2020,31408,1956
104,Ohio,5/24/2020,31911,1969
105,Ohio,5/25/2020,32477,1987
106,Ohio,5/26/2020,33006,2002
107,Ohio,5/27/2020,33439,2044
108,Ohio,5/28/2020,33915,2098
109,Ohio,5/29/2020,34566,2131
110,Ohio,5/30/2020,35034,2149
111,Ohio,5/31/2020,35513,2155
112,Ohio,6/1/2020,35984,2206
113,Ohio,6/2/2020,36350,2258
114,Ohio,6/3/2020,36792,2299
115,Ohio,6/4/2020,37282,2339
116,Ohio,6/5/2020,37758,2355
117,Ohio,6/6/2020,38111,2370
118,Ohio,6/7/2020,38476,2377
119,Ohio,6/8/2020,38837,2404
120,Ohio,6/9/2020,39162,2421
121,Ohio,6/10/2020,39575,2457
122,Ohio,6/11/2020,40004,2490
123,Ohio,6/12/2020,40424,2508
124,Ohio,6/13/2020,40848,2554
125,Ohio,6/14/2020,41148,2557
126,Ohio,6/15/2020,41576,2573
127,Ohio,6/16/2020,42010,2597
128,Ohio,6/17/2020,42422,2611
129,Ohio,6/18/2020,43122,2633
130,Ohio,6/19/2020,43731,2667
131,Ohio,6/20/2020,44262,2697
132,Ohio,6/21/2020,44808,2700
133,Ohio,6/22/2020,45537,2704
134,Ohio,6/23/2020,46127,2735
135,Ohio,6/24/2020,46759,2755
136,Ohio,6/25/2020,47651,2772
137,Ohio,6/26/2020,48638,2788
138,Ohio,6/27/2020,49455,2804
139,Ohio,6/28/2020,50309,2807
140,Ohio,6/29/2020,51046,2818
141,Ohio,6/30/2020,51789,2863
142,Ohio,7/1/2020,52865,2876
143,Ohio,7/2/2020,54166,2903
144,Ohio,7/3/2020,55257,2903
145,Ohio,7/4/2020,56183,2907
146,Ohio,7/5/2020,57151,2911
147,Ohio,7/6/2020,57956,2927
148,Ohio,7/7/2020,58904,2970
149,Ohio,7/8/2020,60181,2991
150,Ohio,7/9/2020,61331,3006
