Id,State,Date,ConfirmedCases,Fatalities
1,Oklahoma,2/29/2020,1,0
2,Oklahoma,3/1/2020,1,0
3,Oklahoma,3/2/2020,1,0
4,Oklahoma,3/3/2020,1,0
5,Oklahoma,3/4/2020,1,0
6,Oklahoma,3/5/2020,1,0
7,Oklahoma,3/6/2020,1,0
8,Oklahoma,3/7/2020,1,0
9,Oklahoma,3/8/2020,1,0
10,Oklahoma,3/9/2020,1,0
11,Oklahoma,3/10/2020,2,0
12,Oklahoma,3/11/2020,2,0
13,Oklahoma,3/12/2020,2,0
14,Oklahoma,3/13/2020,3,0
15,Oklahoma,3/14/2020,4,0
16,Oklahoma,3/15/2020,8,0
17,Oklahoma,3/16/2020,10,0
18,Oklahoma,3/17/2020,18,0
19,Oklahoma,3/18/2020,29,0
20,Oklahoma,3/19/2020,44,1
21,Oklahoma,3/20/2020,49,1
22,Oklahoma,3/21/2020,53,1
23,Oklahoma,3/22/2020,67,2
24,Oklahoma,3/23/2020,81,2
25,Oklahoma,3/24/2020,106,3
26,Oklahoma,3/25/2020,164,5
27,Oklahoma,3/26/2020,248,7
28,Oklahoma,3/27/2020,322,8
29,Oklahoma,3/28/2020,377,15
30,Oklahoma,3/29/2020,429,16
31,Oklahoma,3/30/2020,481,17
32,Oklahoma,3/31/2020,566,23
33,Oklahoma,4/1/2020,719,30
34,Oklahoma,4/2/2020,879,34
35,Oklahoma,4/3/2020,989,38
36,Oklahoma,4/4/2020,1159,42
37,Oklahoma,4/5/2020,1251,46
38,Oklahoma,4/6/2020,1326,51
39,Oklahoma,4/7/2020,1470,67
40,Oklahoma,4/8/2020,1523,79
41,Oklahoma,4/9/2020,1683,80
42,Oklahoma,4/10/2020,1794,88
43,Oklahoma,4/11/2020,1868,93
44,Oklahoma,4/12/2020,1970,96
45,Oklahoma,4/13/2020,2069,98
46,Oklahoma,4/14/2020,2184,109
47,Oklahoma,4/15/2020,2263,123
48,Oklahoma,4/16/2020,2357,131
49,Oklahoma,4/17/2020,2465,136
50,Oklahoma,4/18/2020,2570,139
51,Oklahoma,4/19/2020,2599,140
52,Oklahoma,4/20/2020,2680,143
53,Oklahoma,4/21/2020,2807,164
54,Oklahoma,4/22/2020,2894,169
55,Oklahoma,4/23/2020,3017,179
56,Oklahoma,4/24/2020,3120,188
57,Oklahoma,4/25/2020,3193,194
58,Oklahoma,4/26/2020,3253,195
59,Oklahoma,4/27/2020,3280,197
60,Oklahoma,4/28/2020,3410,207
61,Oklahoma,4/29/2020,3473,214
62,Oklahoma,4/30/2020,3618,222
63,Oklahoma,5/1/2020,3748,230
64,Oklahoma,5/2/2020,3851,238
65,Oklahoma,5/3/2020,3972,238
66,Oklahoma,5/4/2020,4044,238
67,Oklahoma,5/5/2020,4127,247
68,Oklahoma,5/6/2020,4201,253
69,Oklahoma,5/7/2020,4330,260
70,Oklahoma,5/8/2020,4424,266
71,Oklahoma,5/9/2020,4490,270
72,Oklahoma,5/10/2020,4589,272
73,Oklahoma,5/11/2020,4613,274
74,Oklahoma,5/12/2020,4731,278
