Id,State,Date,ConfirmedCases,Fatalities
1,Oregon,2/24/2020,1,0
2,Oregon,2/25/2020,1,0
3,Oregon,2/26/2020,1,0
4,Oregon,2/27/2020,1,0
5,Oregon,2/28/2020,1,0
6,Oregon,2/29/2020,1,0
7,Oregon,3/1/2020,2,0
8,Oregon,3/2/2020,2,0
9,Oregon,3/3/2020,2,0
10,Oregon,3/4/2020,2,0
11,Oregon,3/5/2020,2,0
12,Oregon,3/6/2020,2,0
13,Oregon,3/7/2020,6,0
14,Oregon,3/8/2020,13,0
15,Oregon,3/9/2020,13,0
16,Oregon,3/10/2020,14,0
17,Oregon,3/11/2020,20,0
18,Oregon,3/12/2020,30,0
19,Oregon,3/13/2020,30,0
20,Oregon,3/14/2020,36,1
21,Oregon,3/15/2020,39,1
22,Oregon,3/16/2020,46,1
23,Oregon,3/17/2020,66,2
24,Oregon,3/18/2020,74,3
25,Oregon,3/19/2020,87,3
26,Oregon,3/20/2020,114,3
27,Oregon,3/21/2020,137,4
28,Oregon,3/22/2020,161,5
29,Oregon,3/23/2020,191,5
30,Oregon,3/24/2020,209,8
31,Oregon,3/25/2020,266,10
32,Oregon,3/26/2020,316,11
33,Oregon,3/27/2020,415,12
34,Oregon,3/28/2020,480,13
35,Oregon,3/29/2020,549,13
36,Oregon,3/30/2020,607,16
37,Oregon,3/31/2020,690,18
38,Oregon,4/1/2020,737,19
39,Oregon,4/2/2020,827,21
40,Oregon,4/3/2020,899,22
41,Oregon,4/4/2020,1000,26
42,Oregon,4/5/2020,1068,27
43,Oregon,4/6/2020,1132,29
44,Oregon,4/7/2020,1181,33
45,Oregon,4/8/2020,1239,38
46,Oregon,4/9/2020,1321,44
47,Oregon,4/10/2020,1371,48
48,Oregon,4/11/2020,1447,51
49,Oregon,4/12/2020,1527,52
50,Oregon,4/13/2020,1584,53
51,Oregon,4/14/2020,1633,55
52,Oregon,4/15/2020,1663,58
53,Oregon,4/16/2020,1736,64
54,Oregon,4/17/2020,1785,70
55,Oregon,4/18/2020,1844,72
56,Oregon,4/19/2020,1910,74
