Id,State,Date,ConfirmedCases,Fatalities
1,Pennsylvania,2/28/2020,1,0
2,Pennsylvania,2/29/2020,1,0
3,Pennsylvania,3/1/2020,1,0
4,Pennsylvania,3/2/2020,1,0
5,Pennsylvania,3/3/2020,2,0
6,Pennsylvania,3/4/2020,2,0
7,Pennsylvania,3/5/2020,2,0
8,Pennsylvania,3/6/2020,2,0
9,Pennsylvania,3/7/2020,4,0
10,Pennsylvania,3/8/2020,6,0
11,Pennsylvania,3/9/2020,10,0
12,Pennsylvania,3/10/2020,12,0
13,Pennsylvania,3/11/2020,16,0
14,Pennsylvania,3/12/2020,22,0
15,Pennsylvania,3/13/2020,41,0
16,Pennsylvania,3/14/2020,47,0
17,Pennsylvania,3/15/2020,68,0
18,Pennsylvania,3/16/2020,81,0
19,Pennsylvania,3/17/2020,101,0
20,Pennsylvania,3/18/2020,139,1
21,Pennsylvania,3/19/2020,187,1
22,Pennsylvania,3/20/2020,269,1
23,Pennsylvania,3/21/2020,388,2
24,Pennsylvania,3/22/2020,504,3
25,Pennsylvania,3/23/2020,644,6
26,Pennsylvania,3/24/2020,851,8
27,Pennsylvania,3/25/2020,1151,12
28,Pennsylvania,3/26/2020,1690,16
29,Pennsylvania,3/27/2020,2217,23
30,Pennsylvania,3/28/2020,2815,35
31,Pennsylvania,3/29/2020,3441,40
32,Pennsylvania,3/30/2020,4156,48
33,Pennsylvania,3/31/2020,4997,72
34,Pennsylvania,4/1/2020,5805,78
35,Pennsylvania,4/2/2020,7021,91
36,Pennsylvania,4/3/2020,8420,102
37,Pennsylvania,4/4/2020,10110,140
38,Pennsylvania,4/5/2020,11590,159
39,Pennsylvania,4/6/2020,13075,170
40,Pennsylvania,4/7/2020,14582,241
41,Pennsylvania,4/8/2020,16414,313
42,Pennsylvania,4/9/2020,18379,344
43,Pennsylvania,4/10/2020,20128,435
44,Pennsylvania,4/11/2020,21774,515
45,Pennsylvania,4/12/2020,22955,525
46,Pennsylvania,4/13/2020,24295,563
47,Pennsylvania,4/14/2020,25591,746
48,Pennsylvania,4/15/2020,26804,833
49,Pennsylvania,4/16/2020,28314,940
50,Pennsylvania,4/17/2020,30121,1027
51,Pennsylvania,4/18/2020,31742,1150
52,Pennsylvania,4/19/2020,32992,1285
53,Pennsylvania,4/20/2020,34005,1366
54,Pennsylvania,4/21/2020,35384,1620
55,Pennsylvania,4/22/2020,36763,1720
56,Pennsylvania,4/23/2020,38334,1723
57,Pennsylvania,4/24/2020,40298,1786
58,Pennsylvania,4/25/2020,41626,1842
59,Pennsylvania,4/26/2020,42709,1871
60,Pennsylvania,4/27/2020,43728,1946
61,Pennsylvania,4/28/2020,45323,2092
62,Pennsylvania,4/29/2020,46191,2392
63,Pennsylvania,4/30/2020,48224,2580
64,Pennsylvania,5/1/2020,49764,2671
65,Pennsylvania,5/2/2020,51071,2794
66,Pennsylvania,5/3/2020,52079,2843
67,Pennsylvania,5/4/2020,52992,2880
68,Pennsylvania,5/5/2020,53967,3206
69,Pennsylvania,5/6/2020,54989,3360
70,Pennsylvania,5/7/2020,56149,3599
71,Pennsylvania,5/8/2020,57501,3724
72,Pennsylvania,5/9/2020,58661,3793
73,Pennsylvania,5/10/2020,60037,3819
74,Pennsylvania,5/11/2020,60557,3846
75,Pennsylvania,5/12/2020,61407,3924
76,Pennsylvania,5/13/2020,62194,4104
77,Pennsylvania,5/14/2020,63158,4298
78,Pennsylvania,5/15/2020,64178,4432
79,Pennsylvania,5/16/2020,65228,4490
80,Pennsylvania,5/17/2020,65745,4504
81,Pennsylvania,5/18/2020,66676,4560
82,Pennsylvania,5/19/2020,67404,4675
83,Pennsylvania,5/20/2020,68151,4794
84,Pennsylvania,5/21/2020,69252,4887
85,Pennsylvania,5/22/2020,70305,5032
86,Pennsylvania,5/23/2020,71102,5121
87,Pennsylvania,5/24/2020,71656,5145
88,Pennsylvania,5/25/2020,72356,5159
89,Pennsylvania,5/26/2020,72873,5175
90,Pennsylvania,5/27/2020,73646,5290
91,Pennsylvania,5/28/2020,74312,5397
92,Pennsylvania,5/29/2020,75073,5467
93,Pennsylvania,5/30/2020,75789,5537
94,Pennsylvania,5/31/2020,76218,5555
95,Pennsylvania,6/1/2020,76734,5574
96,Pennsylvania,6/2/2020,77315,5670
97,Pennsylvania,6/3/2020,77871,5742
98,Pennsylvania,6/4/2020,78428,5862
99,Pennsylvania,6/5/2020,78908,5952
100,Pennsylvania,6/6/2020,79507,5986
101,Pennsylvania,6/7/2020,80001,5997
102,Pennsylvania,6/8/2020,80432,6007
103,Pennsylvania,6/9/2020,80964,6070
104,Pennsylvania,6/10/2020,81410,6143
105,Pennsylvania,6/11/2020,81944,6187
106,Pennsylvania,6/12/2020,82578,6229
107,Pennsylvania,6/13/2020,82988,6264
108,Pennsylvania,6/14/2020,83301,6275
109,Pennsylvania,6/15/2020,83687,6307
110,Pennsylvania,6/16/2020,84077,6337
111,Pennsylvania,6/17/2020,84387,6376
112,Pennsylvania,6/18/2020,84780,6417
113,Pennsylvania,6/19/2020,85288,6446
114,Pennsylvania,6/20/2020,85678,6467
115,Pennsylvania,6/21/2020,86024,6472
116,Pennsylvania,6/22/2020,86666,6475
117,Pennsylvania,6/23/2020,87283,6511
118,Pennsylvania,6/24/2020,87775,6568
119,Pennsylvania,6/25/2020,88230,6602
120,Pennsylvania,6/26/2020,88950,6625
121,Pennsylvania,6/27/2020,89400,6652
122,Pennsylvania,6/28/2020,89785,6655
123,Pennsylvania,6/29/2020,90553,6663
