Id,State,Date,ConfirmedCases,Fatalities
1,Rhode_Island,3/9/2020,3,0
2,Rhode_Island,3/10/2020,5,0
3,Rhode_Island,3/11/2020,5,0
4,Rhode_Island,3/12/2020,5,0
5,Rhode_Island,3/13/2020,20,0
6,Rhode_Island,3/14/2020,20,0
7,Rhode_Island,3/15/2020,20,0
8,Rhode_Island,3/16/2020,21,0
9,Rhode_Island,3/17/2020,23,0
10,Rhode_Island,3/18/2020,33,0
11,Rhode_Island,3/19/2020,44,0
12,Rhode_Island,3/20/2020,44,0
13,Rhode_Island,3/21/2020,66,0
14,Rhode_Island,3/22/2020,83,0
15,Rhode_Island,3/23/2020,106,0
16,Rhode_Island,3/24/2020,124,0
17,Rhode_Island,3/25/2020,132,0
18,Rhode_Island,3/26/2020,165,0
19,Rhode_Island,3/27/2020,203,0
20,Rhode_Island,3/28/2020,239,2
21,Rhode_Island,3/29/2020,294,3
22,Rhode_Island,3/30/2020,408,4
23,Rhode_Island,3/31/2020,488,8
24,Rhode_Island,4/1/2020,566,10
25,Rhode_Island,4/2/2020,657,12
26,Rhode_Island,4/3/2020,711,14
27,Rhode_Island,4/4/2020,806,17
28,Rhode_Island,4/5/2020,922,25
29,Rhode_Island,4/6/2020,1082,27
30,Rhode_Island,4/7/2020,1229,30
31,Rhode_Island,4/8/2020,1450,35
32,Rhode_Island,4/9/2020,1727,43
33,Rhode_Island,4/10/2020,2015,49
34,Rhode_Island,4/11/2020,2349,56
35,Rhode_Island,4/12/2020,2665,63
36,Rhode_Island,4/13/2020,2976,73
37,Rhode_Island,4/14/2020,3251,80
38,Rhode_Island,4/15/2020,3529,87
39,Rhode_Island,4/16/2020,3838,105
40,Rhode_Island,4/17/2020,4177,118
41,Rhode_Island,4/18/2020,4491,137
42,Rhode_Island,4/19/2020,4706,150
43,Rhode_Island,4/20/2020,5090,155
44,Rhode_Island,4/21/2020,5500,171
45,Rhode_Island,4/22/2020,5841,181
46,Rhode_Island,4/23/2020,6256,189
47,Rhode_Island,4/24/2020,6699,202
48,Rhode_Island,4/25/2020,7129,215
49,Rhode_Island,4/26/2020,7439,226
50,Rhode_Island,4/27/2020,7708,233
51,Rhode_Island,4/28/2020,7926,239
52,Rhode_Island,4/29/2020,8247,251
53,Rhode_Island,4/30/2020,8621,266
54,Rhode_Island,5/1/2020,8962,279
55,Rhode_Island,5/2/2020,9289,296
56,Rhode_Island,5/3/2020,9477,320
57,Rhode_Island,5/4/2020,9652,341
58,Rhode_Island,5/5/2020,9933,355
59,Rhode_Island,5/6/2020,10205,370
60,Rhode_Island,5/7/2020,10530,388
61,Rhode_Island,5/8/2020,10779,399
62,Rhode_Island,5/9/2020,10989,418
63,Rhode_Island,5/10/2020,11274,422
64,Rhode_Island,5/11/2020,11450,430
65,Rhode_Island,5/12/2020,11614,444
66,Rhode_Island,5/13/2020,11835,462
67,Rhode_Island,5/14/2020,12016,468
68,Rhode_Island,5/15/2020,12219,479
69,Rhode_Island,5/16/2020,12434,489
70,Rhode_Island,5/17/2020,12674,499
71,Rhode_Island,5/18/2020,12795,506
72,Rhode_Island,5/19/2020,12951,532
73,Rhode_Island,5/20/2020,13356,538
74,Rhode_Island,5/21/2020,13571,556
75,Rhode_Island,5/22/2020,13736,579
76,Rhode_Island,5/23/2020,13952,597
77,Rhode_Island,5/24/2020,14065,608
