Id,State,Date,ConfirmedCases,Fatalities
1,South_Carolina,2/26/2020,2,0
2,South_Carolina,2/27/2020,2,0
3,South_Carolina,2/28/2020,2,0
4,South_Carolina,2/29/2020,2,0
5,South_Carolina,3/1/2020,2,0
6,South_Carolina,3/2/2020,2,0
7,South_Carolina,3/3/2020,2,0
8,South_Carolina,3/4/2020,2,0
9,South_Carolina,3/5/2020,2,0
10,South_Carolina,3/6/2020,2,0
11,South_Carolina,3/7/2020,2,0
12,South_Carolina,3/8/2020,6,0
13,South_Carolina,3/9/2020,7,0
14,South_Carolina,3/10/2020,9,0
15,South_Carolina,3/11/2020,10,0
16,South_Carolina,3/12/2020,12,0
17,South_Carolina,3/13/2020,13,0
18,South_Carolina,3/14/2020,19,0
19,South_Carolina,3/15/2020,28,0
20,South_Carolina,3/16/2020,33,1
21,South_Carolina,3/17/2020,47,1
22,South_Carolina,3/18/2020,60,1
23,South_Carolina,3/19/2020,81,1
24,South_Carolina,3/20/2020,126,3
25,South_Carolina,3/21/2020,172,3
26,South_Carolina,3/22/2020,194,3
27,South_Carolina,3/23/2020,299,5
28,South_Carolina,3/24/2020,342,8
29,South_Carolina,3/25/2020,425,8
30,South_Carolina,3/26/2020,456,9
31,South_Carolina,3/27/2020,542,13
32,South_Carolina,3/28/2020,661,15
33,South_Carolina,3/29/2020,775,16
34,South_Carolina,3/30/2020,925,18
35,South_Carolina,3/31/2020,1083,22
36,South_Carolina,4/1/2020,1293,26
37,South_Carolina,4/2/2020,1554,31
38,South_Carolina,4/3/2020,1700,34
39,South_Carolina,4/4/2020,1917,40
40,South_Carolina,4/5/2020,2049,44
41,South_Carolina,4/6/2020,2232,48
42,South_Carolina,4/7/2020,2417,51
43,South_Carolina,4/8/2020,2552,63
44,South_Carolina,4/9/2020,2792,67
45,South_Carolina,4/10/2020,3065,72
46,South_Carolina,4/11/2020,3207,80
47,South_Carolina,4/12/2020,3319,82
48,South_Carolina,4/13/2020,3439,87
49,South_Carolina,4/14/2020,3553,97
50,South_Carolina,4/15/2020,3656,107
51,South_Carolina,4/16/2020,3931,109
52,South_Carolina,4/17/2020,4086,116
53,South_Carolina,4/18/2020,4246,119
54,South_Carolina,4/19/2020,4377,120
55,South_Carolina,4/20/2020,4439,124
56,South_Carolina,4/21/2020,4608,135
57,South_Carolina,4/22/2020,4761,140
58,South_Carolina,4/23/2020,4917,150
59,South_Carolina,4/24/2020,5070,157
60,South_Carolina,4/25/2020,5253,166
61,South_Carolina,4/26/2020,5490,174
62,South_Carolina,4/27/2020,5613,177
63,South_Carolina,4/28/2020,5735,192
64,South_Carolina,4/29/2020,5881,232
65,South_Carolina,4/30/2020,6095,244
66,South_Carolina,5/1/2020,6258,256
67,South_Carolina,5/2/2020,6489,267
68,South_Carolina,5/3/2020,6626,275
69,South_Carolina,5/4/2020,6757,283
70,South_Carolina,5/5/2020,6841,296
71,South_Carolina,5/6/2020,6936,305
72,South_Carolina,5/7/2020,7142,316
73,South_Carolina,5/8/2020,7367,320
74,South_Carolina,5/9/2020,7531,330
75,South_Carolina,5/10/2020,7653,331
76,South_Carolina,5/11/2020,7792,346
77,South_Carolina,5/12/2020,7927,355
78,South_Carolina,5/13/2020,8030,362
79,South_Carolina,5/14/2020,8189,371
80,South_Carolina,5/15/2020,8407,380
81,South_Carolina,5/16/2020,8661,380
82,South_Carolina,5/17/2020,8816,385
83,South_Carolina,5/18/2020,8942,391
84,South_Carolina,5/19/2020,9056,399
85,South_Carolina,5/20/2020,9175,407
86,South_Carolina,5/21/2020,9379,416
87,South_Carolina,5/22/2020,9638,419
88,South_Carolina,5/23/2020,9895,425
89,South_Carolina,5/24/2020,10096,435
90,South_Carolina,5/25/2020,10178,440
91,South_Carolina,5/26/2020,10416,446
92,South_Carolina,5/27/2020,10623,466
93,South_Carolina,5/28/2020,10788,470
94,South_Carolina,5/29/2020,11131,483
95,South_Carolina,5/30/2020,11394,487
96,South_Carolina,5/31/2020,11861,494
97,South_Carolina,6/1/2020,12148,500
98,South_Carolina,6/2/2020,12415,501
99,South_Carolina,6/3/2020,12651,518
100,South_Carolina,6/4/2020,13005,525
101,South_Carolina,6/5/2020,13453,538
102,South_Carolina,6/6/2020,13916,545
103,South_Carolina,6/7/2020,14286,546
104,South_Carolina,6/8/2020,14800,557
