Id,State,Date,ConfirmedCases,Fatalities
1,South_Dakota,2/20/2020,5,0
2,South_Dakota,2/21/2020,5,0
3,South_Dakota,2/22/2020,5,0
4,South_Dakota,2/23/2020,5,0
5,South_Dakota,2/24/2020,5,0
6,South_Dakota,2/25/2020,5,0
7,South_Dakota,2/26/2020,5,0
8,South_Dakota,2/27/2020,5,0
9,South_Dakota,2/28/2020,5,0
10,South_Dakota,2/29/2020,5,0
11,South_Dakota,3/1/2020,5,0
12,South_Dakota,3/2/2020,5,0
13,South_Dakota,3/3/2020,5,0
14,South_Dakota,3/4/2020,5,0
15,South_Dakota,3/5/2020,5,0
16,South_Dakota,3/6/2020,5,0
17,South_Dakota,3/7/2020,5,0
18,South_Dakota,3/8/2020,5,0
19,South_Dakota,3/9/2020,5,0
20,South_Dakota,3/10/2020,5,1
21,South_Dakota,3/11/2020,8,1
22,South_Dakota,3/12/2020,8,1
23,South_Dakota,3/13/2020,9,1
24,South_Dakota,3/14/2020,9,1
25,South_Dakota,3/15/2020,9,1
26,South_Dakota,3/16/2020,10,1
27,South_Dakota,3/17/2020,11,1
28,South_Dakota,3/18/2020,11,1
29,South_Dakota,3/19/2020,14,1
30,South_Dakota,3/20/2020,14,1
31,South_Dakota,3/21/2020,14,1
32,South_Dakota,3/22/2020,21,1
33,South_Dakota,3/23/2020,28,1
34,South_Dakota,3/24/2020,30,1
35,South_Dakota,3/25/2020,41,1
36,South_Dakota,3/26/2020,46,1
37,South_Dakota,3/27/2020,58,1
38,South_Dakota,3/28/2020,68,1
39,South_Dakota,3/29/2020,90,1
40,South_Dakota,3/30/2020,100,1
41,South_Dakota,3/31/2020,107,1
42,South_Dakota,4/1/2020,129,1
43,South_Dakota,4/2/2020,165,2
44,South_Dakota,4/3/2020,187,2
45,South_Dakota,4/4/2020,212,2
46,South_Dakota,4/5/2020,240,2
47,South_Dakota,4/6/2020,288,4
48,South_Dakota,4/7/2020,320,6
49,South_Dakota,4/8/2020,393,6
50,South_Dakota,4/9/2020,447,6
51,South_Dakota,4/10/2020,536,6
52,South_Dakota,4/11/2020,626,6
53,South_Dakota,4/12/2020,729,6
54,South_Dakota,4/13/2020,867,6
55,South_Dakota,4/14/2020,987,6
56,South_Dakota,4/15/2020,1168,6
57,South_Dakota,4/16/2020,1311,7
58,South_Dakota,4/17/2020,1411,7
59,South_Dakota,4/18/2020,1541,7
60,South_Dakota,4/19/2020,1635,7
61,South_Dakota,4/20/2020,1685,7
62,South_Dakota,4/21/2020,1755,8
63,South_Dakota,4/22/2020,1858,9
64,South_Dakota,4/23/2020,1956,9
65,South_Dakota,4/24/2020,2040,10
66,South_Dakota,4/25/2020,2147,10
67,South_Dakota,4/26/2020,2213,11
68,South_Dakota,4/27/2020,2246,11
69,South_Dakota,4/28/2020,2314,11
70,South_Dakota,4/29/2020,2375,13
71,South_Dakota,4/30/2020,2450,17
72,South_Dakota,5/1/2020,2525,21
73,South_Dakota,5/2/2020,2587,21
74,South_Dakota,5/3/2020,2630,21
75,South_Dakota,5/4/2020,2667,21
76,South_Dakota,5/5/2020,2720,24
77,South_Dakota,5/6/2020,2779,29
78,South_Dakota,5/7/2020,2905,31
79,South_Dakota,5/8/2020,3144,31
80,South_Dakota,5/9/2020,3393,34
81,South_Dakota,5/10/2020,3517,34
82,South_Dakota,5/11/2020,3614,34
83,South_Dakota,5/12/2020,3663,39
84,South_Dakota,5/13/2020,3732,39
85,South_Dakota,5/14/2020,3792,43
86,South_Dakota,5/15/2020,3887,44
87,South_Dakota,5/16/2020,3959,44
88,South_Dakota,5/17/2020,3987,44
89,South_Dakota,5/18/2020,4027,44
90,South_Dakota,5/19/2020,4085,46
91,South_Dakota,5/20/2020,4177,46
92,South_Dakota,5/21/2020,4177,47
93,South_Dakota,5/22/2020,4356,50
94,South_Dakota,5/23/2020,4468,50
95,South_Dakota,5/24/2020,4563,50
96,South_Dakota,5/25/2020,4586,50
97,South_Dakota,5/26/2020,4653,50
98,South_Dakota,5/27/2020,4710,54
99,South_Dakota,5/28/2020,4793,54
100,South_Dakota,5/29/2020,4866,59
101,South_Dakota,5/30/2020,4960,62
102,South_Dakota,5/31/2020,4993,62
103,South_Dakota,6/1/2020,5034,62
104,South_Dakota,6/2/2020,5066,62
105,South_Dakota,6/3/2020,5161,62
106,South_Dakota,6/4/2020,5247,64
107,South_Dakota,6/5/2020,5277,65
108,South_Dakota,6/6/2020,5367,65
109,South_Dakota,6/7/2020,5438,65
110,South_Dakota,6/8/2020,5471,65
111,South_Dakota,6/9/2020,5523,68
112,South_Dakota,6/10/2020,5604,69
113,South_Dakota,6/11/2020,5665,73
114,South_Dakota,6/12/2020,5742,74
115,South_Dakota,6/13/2020,5833,75
116,South_Dakota,6/14/2020,5898,75
117,South_Dakota,6/15/2020,5928,75
118,South_Dakota,6/16/2020,5966,77
119,South_Dakota,6/17/2020,6050,78
120,South_Dakota,6/18/2020,6109,78
121,South_Dakota,6/19/2020,6158,81
122,South_Dakota,6/20/2020,6225,81
123,South_Dakota,6/21/2020,6297,81
124,South_Dakota,6/22/2020,6326,81
125,South_Dakota,6/23/2020,6353,83
126,South_Dakota,6/24/2020,6419,84
127,South_Dakota,6/25/2020,6479,87
128,South_Dakota,6/26/2020,6535,88
129,South_Dakota,6/27/2020,6626,91
130,South_Dakota,6/28/2020,6681,91
131,South_Dakota,6/29/2020,6716,91
132,South_Dakota,6/30/2020,6764,91
133,South_Dakota,7/1/2020,6826,93
134,South_Dakota,7/2/2020,6893,97
135,South_Dakota,7/3/2020,6978,97
136,South_Dakota,7/4/2020,7028,97
137,South_Dakota,7/5/2020,7063,97
138,South_Dakota,7/6/2020,7105,97
139,South_Dakota,7/7/2020,7163,98
140,South_Dakota,7/8/2020,7242,98
141,South_Dakota,7/9/2020,7336,101
142,South_Dakota,7/10/2020,7401,107
143,South_Dakota,7/11/2020,7454,109
144,South_Dakota,7/12/2020,7499,109
145,South_Dakota,7/13/2020,7524,109
146,South_Dakota,7/14/2020,7572,109
147,South_Dakota,7/15/2020,7652,111
148,South_Dakota,7/16/2020,7694,115
149,South_Dakota,7/17/2020,7789,116
150,South_Dakota,7/18/2020,7862,116
151,South_Dakota,7/19/2020,7906,118
152,South_Dakota,7/20/2020,7943,118
153,South_Dakota,7/21/2020,8019,118
154,South_Dakota,7/22/2020,8077,119
155,South_Dakota,7/23/2020,8143,121
156,South_Dakota,7/24/2020,8200,122
157,South_Dakota,7/25/2020,8305,122
