Id,State,Date,ConfirmedCases,Fatalities
18,Tennessee,3/2/2020,1,0
19,Tennessee,3/3/2020,1,0
20,Tennessee,3/4/2020,1,0
21,Tennessee,3/5/2020,1,0
22,Tennessee,3/6/2020,1,0
23,Tennessee,3/7/2020,1,0
24,Tennessee,3/8/2020,3,0
25,Tennessee,3/9/2020,4,0
26,Tennessee,3/10/2020,7,0
27,Tennessee,3/11/2020,8,0
28,Tennessee,3/12/2020,18,0
29,Tennessee,3/13/2020,26,0
30,Tennessee,3/14/2020,32,0
31,Tennessee,3/15/2020,39,0
32,Tennessee,3/16/2020,52,0
33,Tennessee,3/17/2020,73,0
34,Tennessee,3/18/2020,98,0
35,Tennessee,3/19/2020,155,0
36,Tennessee,3/20/2020,237,0
37,Tennessee,3/21/2020,312,2
38,Tennessee,3/22/2020,424,2
39,Tennessee,3/23/2020,522,2
40,Tennessee,3/24/2020,678,2
41,Tennessee,3/25/2020,806,3
42,Tennessee,3/26/2020,981,3
43,Tennessee,3/27/2020,1180,6
44,Tennessee,3/28/2020,1363,6
45,Tennessee,3/29/2020,1569,7
46,Tennessee,3/30/2020,1721,13
47,Tennessee,3/31/2020,2049,13
48,Tennessee,4/1/2020,2689,23
49,Tennessee,4/2/2020,2868,32
50,Tennessee,4/3/2020,3032,38
51,Tennessee,4/4/2020,3265,47
52,Tennessee,4/5/2020,3538,50
53,Tennessee,4/6/2020,3753,65
54,Tennessee,4/7/2020,4010,72
55,Tennessee,4/8/2020,4246,83
56,Tennessee,4/9/2020,4456,95
57,Tennessee,4/10/2020,4793,104
58,Tennessee,4/11/2020,4983,107
59,Tennessee,4/12/2020,5144,107
60,Tennessee,4/13/2020,5483,114
61,Tennessee,4/14/2020,5654,123
62,Tennessee,4/15/2020,5864,135
63,Tennessee,4/16/2020,6077,142
64,Tennessee,4/17/2020,6423,146
65,Tennessee,4/18/2020,6624,148
66,Tennessee,4/19/2020,6824,151
67,Tennessee,4/20/2020,6994,156
68,Tennessee,4/21/2020,7317,159
69,Tennessee,4/22/2020,7681,169
70,Tennessee,4/23/2020,8169,172
71,Tennessee,4/24/2020,8618,172
72,Tennessee,4/25/2020,8918,179
73,Tennessee,4/26/2020,9435,182
74,Tennessee,4/27/2020,9739,184
75,Tennessee,4/28/2020,9974,190
76,Tennessee,4/29/2020,10255,196
77,Tennessee,4/30/2020,10506,200
78,Tennessee,5/1/2020,11781,205
79,Tennessee,5/2/2020,12376,210
80,Tennessee,5/3/2020,12871,211
81,Tennessee,5/4/2020,13283,216
82,Tennessee,5/5/2020,13555,225
83,Tennessee,5/6/2020,13737,237
84,Tennessee,5/7/2020,14108,238
85,Tennessee,5/8/2020,14276,240
86,Tennessee,5/9/2020,14675,241
87,Tennessee,5/10/2020,15060,242
88,Tennessee,5/11/2020,15423,248
89,Tennessee,5/12/2020,15777,264
90,Tennessee,5/13/2020,16261,271
91,Tennessee,5/14/2020,16588,284
92,Tennessee,5/15/2020,16917,288
93,Tennessee,5/16/2020,17204,292
94,Tennessee,5/17/2020,17391,293
95,Tennessee,5/18/2020,17767,296
96,Tennessee,5/19/2020,18301,301
97,Tennessee,5/20/2020,18534,309
98,Tennessee,5/21/2020,18970,313
99,Tennessee,5/22/2020,19364,315
100,Tennessee,5/23/2020,19765,325
101,Tennessee,5/24/2020,20116,332
102,Tennessee,5/25/2020,20533,334
103,Tennessee,5/26/2020,20960,339
104,Tennessee,5/27/2020,21360,353
105,Tennessee,5/28/2020,21763,352
106,Tennessee,5/29/2020,22199,356
107,Tennessee,5/30/2020,22676,360
108,Tennessee,5/31/2020,22832,360
109,Tennessee,6/1/2020,23242,361
110,Tennessee,6/2/2020,24498,378
111,Tennessee,6/3/2020,25024,386
112,Tennessee,6/4/2020,25374,401
113,Tennessee,6/5/2020,25799,405
114,Tennessee,6/6/2020,26359,413
115,Tennessee,6/7/2020,26811,414
116,Tennessee,6/8/2020,27217,417
117,Tennessee,6/9/2020,27865,430
118,Tennessee,6/10/2020,28379,436
119,Tennessee,6/11/2020,28766,441
120,Tennessee,6/12/2020,29218,461
121,Tennessee,6/13/2020,29616,465
122,Tennessee,6/14/2020,30174,467
123,Tennessee,6/15/2020,30945,477
124,Tennessee,6/16/2020,31623,487
125,Tennessee,6/17/2020,32112,493
126,Tennessee,6/18/2020,32604,504
127,Tennessee,6/19/2020,33603,508
128,Tennessee,6/20/2020,34223,516
129,Tennessee,6/21/2020,34719,519
130,Tennessee,6/22/2020,35255,525
131,Tennessee,6/23/2020,36018,535
132,Tennessee,6/24/2020,36822,548
133,Tennessee,6/25/2020,37695,558
134,Tennessee,6/26/2020,38802,569
135,Tennessee,6/27/2020,39813,577
136,Tennessee,6/28/2020,39945,577
137,Tennessee,6/29/2020,41388,585
138,Tennessee,6/30/2020,42815,597
139,Tennessee,7/1/2020,44360,602
140,Tennessee,7/2/2020,46176,612
141,Tennessee,7/3/2020,47882,626
142,Tennessee,7/4/2020,49232,630
143,Tennessee,7/5/2020,50365,639
144,Tennessee,7/6/2020,51509,646
145,Tennessee,7/7/2020,52643,657
146,Tennessee,7/8/2020,54756,678
147,Tennessee,7/9/2020,56531,700
148,Tennessee,7/10/2020,58224,713
149,Tennessee,7/11/2020,59981,728
150,Tennessee,7/12/2020,61106,731
151,Tennessee,7/13/2020,63615,738
152,Tennessee,7/14/2020,65412,757
153,Tennessee,7/15/2020,67515,773
154,Tennessee,7/16/2020,69827,786
155,Tennessee,7/17/2020,72072,805
156,Tennessee,7/18/2020,74518,828
157,Tennessee,7/19/2020,76180,834
158,Tennessee,7/20/2020,77944,838
159,Tennessee,7/21/2020,80026,863
160,Tennessee,7/22/2020,82172,878
161,Tennessee,7/23/2020,84652,913
162,Tennessee,7/24/2020,86667,926
163,Tennessee,7/25/2020,88459,953
164,Tennessee,7/26/2020,91330,955
165,Tennessee,7/27/2020,93869,965
166,Tennessee,7/28/2020,96318,988
167,Tennessee,7/29/2020,98145,1008
168,Tennessee,7/30/2020,100166,1022
169,Tennessee,7/31/2020,103144,1047
