Id,State,Date,ConfirmedCases,Fatalities
1,Texas,2/26/2020,10,0
2,Texas,2/27/2020,10,0
3,Texas,2/28/2020,11,0
4,Texas,2/29/2020,11,0
5,Texas,3/1/2020,11,0
6,Texas,3/2/2020,11,0
7,Texas,3/3/2020,11,0
8,Texas,3/4/2020,12,0
9,Texas,3/5/2020,16,0
10,Texas,3/6/2020,19,0
11,Texas,3/7/2020,19,0
12,Texas,3/8/2020,23,0
13,Texas,3/9/2020,24,0
14,Texas,3/10/2020,31,0
15,Texas,3/11/2020,33,0
16,Texas,3/12/2020,41,0
17,Texas,3/13/2020,58,0
18,Texas,3/14/2020,69,0
19,Texas,3/15/2020,80,0
20,Texas,3/16/2020,87,1
21,Texas,3/17/2020,106,1
22,Texas,3/18/2020,166,2
23,Texas,3/19/2020,248,4
24,Texas,3/20/2020,386,5
25,Texas,3/21/2020,547,5
26,Texas,3/22/2020,639,7
27,Texas,3/23/2020,728,7
28,Texas,3/24/2020,857,11
29,Texas,3/25/2020,1132,13
30,Texas,3/26/2020,1542,21
31,Texas,3/27/2020,1971,25
32,Texas,3/28/2020,2381,30
33,Texas,3/29/2020,2722,35
34,Texas,3/30/2020,3065,46
35,Texas,3/31/2020,3588,57
36,Texas,4/1/2020,4402,65
37,Texas,4/2/2020,4952,80
38,Texas,4/3/2020,5773,98
39,Texas,4/4/2020,6566,124
40,Texas,4/5/2020,7117,136
41,Texas,4/6/2020,8150,159
42,Texas,4/7/2020,8968,177
43,Texas,4/8/2020,9897,195
44,Texas,4/9/2020,11372,228
45,Texas,4/10/2020,12291,249
46,Texas,4/11/2020,13208,265
47,Texas,4/12/2020,13776,288
48,Texas,4/13/2020,14487,320
49,Texas,4/14/2020,15303,365
50,Texas,4/15/2020,16106,395
51,Texas,4/16/2020,16928,428
52,Texas,4/17/2020,18131,461
53,Texas,4/18/2020,18927,487
54,Texas,4/19/2020,19441,503
55,Texas,4/20/2020,20035,523
56,Texas,4/21/2020,20949,552
57,Texas,4/22/2020,21769,571
58,Texas,4/23/2020,22706,601
59,Texas,4/24/2020,23650,625
60,Texas,4/25/2020,24494,662
61,Texas,4/26/2020,25209,676
62,Texas,4/27/2020,25963,699
63,Texas,4/28/2020,26868,738
64,Texas,4/29/2020,27839,776
65,Texas,4/30/2020,29072,828
66,Texas,5/1/2020,30342,853
67,Texas,5/2/2020,31433,875
68,Texas,5/3/2020,32299,890
69,Texas,5/4/2020,33134,914
70,Texas,5/5/2020,34286,955
71,Texas,5/6/2020,35441,985
72,Texas,5/7/2020,36682,1016
73,Texas,5/8/2020,37943,1059
74,Texas,5/9/2020,38849,1086
75,Texas,5/10/2020,40037,1110
76,Texas,5/11/2020,40988,1137
77,Texas,5/12/2020,42348,1169
78,Texas,5/13/2020,43822,1205
79,Texas,5/14/2020,45169,1256
80,Texas,5/15/2020,46987,1300
81,Texas,5/16/2020,47866,1330
82,Texas,5/17/2020,48828,1356
83,Texas,5/18/2020,49788,1362
84,Texas,5/19/2020,51080,1405
85,Texas,5/20/2020,52369,1443
86,Texas,5/21/2020,53441,1480
87,Texas,5/22/2020,54369,1498
88,Texas,5/23/2020,55451,1522
89,Texas,5/24/2020,56050,1533
90,Texas,5/25/2020,56490,1536
91,Texas,5/26/2020,57573,1552
92,Texas,5/27/2020,59105,1598
93,Texas,5/28/2020,60820,1618
94,Texas,5/29/2020,62073,1645
95,Texas,5/30/2020,63396,1676
96,Texas,5/31/2020,64974,1683
97,Texas,6/1/2020,66081,1695
98,Texas,6/2/2020,67966,1732
99,Texas,6/3/2020,69546,1766
100,Texas,6/4/2020,71330,1793
101,Texas,6/5/2020,73323,1821
102,Texas,6/6/2020,75077,1840
103,Texas,6/7/2020,75948,1846
104,Texas,6/8/2020,77326,1856
105,Texas,6/9/2020,79271,1886
106,Texas,6/10/2020,81771,1916
107,Texas,6/11/2020,83772,1942
108,Texas,6/12/2020,86031,1965
109,Texas,6/13/2020,88120,1989
