Id,State,Date,ConfirmedCases,Fatalities
1,Utah,3/3/2020,1,0
2,Utah,3/4/2020,1,0
3,Utah,3/5/2020,1,0
4,Utah,3/6/2020,3,0
5,Utah,3/7/2020,3,0
6,Utah,3/8/2020,3,0
7,Utah,3/9/2020,3,0
8,Utah,3/10/2020,4,0
9,Utah,3/11/2020,5,0
10,Utah,3/12/2020,7,0
11,Utah,3/13/2020,7,0
12,Utah,3/14/2020,21,0
13,Utah,3/15/2020,29,0
14,Utah,3/16/2020,40,0
15,Utah,3/17/2020,51,0
16,Utah,3/18/2020,65,0
17,Utah,3/19/2020,80,0
18,Utah,3/20/2020,112,0
19,Utah,3/21/2020,138,0
20,Utah,3/22/2020,182,1
21,Utah,3/23/2020,257,1
22,Utah,3/24/2020,299,1
23,Utah,3/25/2020,346,1
24,Utah,3/26/2020,402,1
25,Utah,3/27/2020,480,2
26,Utah,3/28/2020,608,2
27,Utah,3/29/2020,719,2
28,Utah,3/30/2020,806,4
29,Utah,3/31/2020,887,5
30,Utah,4/1/2020,1012,7
31,Utah,4/2/2020,1077,7
32,Utah,4/3/2020,1248,7
33,Utah,4/4/2020,1426,8
34,Utah,4/5/2020,1618,8
35,Utah,4/6/2020,1662,13
36,Utah,4/7/2020,1737,13
37,Utah,4/8/2020,1860,13
38,Utah,4/9/2020,1980,13
39,Utah,4/10/2020,2103,17
40,Utah,4/11/2020,2208,18
41,Utah,4/12/2020,2305,18
42,Utah,4/13/2020,2368,18
43,Utah,4/14/2020,2420,19
44,Utah,4/15/2020,2549,20
45,Utah,4/16/2020,2687,21
46,Utah,4/17/2020,2813,23
47,Utah,4/18/2020,2942,25
48,Utah,4/19/2020,3071,27
49,Utah,4/20/2020,3213,28
50,Utah,4/21/2020,3301,32
51,Utah,4/22/2020,3451,34
52,Utah,4/23/2020,3621,35
53,Utah,4/24/2020,3782,39
54,Utah,4/25/2020,3950,41
55,Utah,4/26/2020,4123,41
56,Utah,4/27/2020,4236,41
57,Utah,4/28/2020,4343,45
58,Utah,4/29/2020,4499,45
59,Utah,4/30/2020,4672,46
60,Utah,5/1/2020,4829,46
61,Utah,5/2/2020,4981,49
62,Utah,5/3/2020,5175,50
63,Utah,5/4/2020,5326,50
64,Utah,5/5/2020,5449,56
65,Utah,5/6/2020,5605,59
66,Utah,5/7/2020,5724,61
67,Utah,5/8/2020,5919,61
68,Utah,5/9/2020,6103,66
69,Utah,5/10/2020,6251,67
70,Utah,5/11/2020,6364,68
71,Utah,5/12/2020,6454,73
72,Utah,5/13/2020,6624,76
73,Utah,5/14/2020,6760,76
74,Utah,5/15/2020,6930,77
75,Utah,5/16/2020,7068,78
76,Utah,5/17/2020,7238,80
77,Utah,5/18/2020,7384,80
78,Utah,5/19/2020,7530,88
79,Utah,5/20/2020,7717,90
80,Utah,5/21/2020,7876,92
81,Utah,5/22/2020,8057,93
82,Utah,5/23/2020,8260,97
83,Utah,5/24/2020,8392,97
84,Utah,5/25/2020,8521,98
85,Utah,5/26/2020,8622,101
86,Utah,5/27/2020,8710,105
87,Utah,5/28/2020,8953,106
88,Utah,5/29/2020,9282,107
89,Utah,5/30/2020,9551,112
90,Utah,5/31/2020,9829,113
91,Utah,6/1/2020,10026,113
92,Utah,6/2/2020,10237,113
93,Utah,6/3/2020,10558,117
94,Utah,6/4/2020,10858,117
95,Utah,6/5/2020,11344,120
96,Utah,6/6/2020,11866,121
97,Utah,6/7/2020,12084,121
98,Utah,6/8/2020,12378,124
99,Utah,6/9/2020,12639,127
100,Utah,6/10/2020,12982,128
101,Utah,6/11/2020,13366,131
102,Utah,6/12/2020,13681,139
103,Utah,6/13/2020,14061,139
104,Utah,6/14/2020,14313,139
105,Utah,6/15/2020,14757,143
106,Utah,6/16/2020,15077,145
107,Utah,6/17/2020,15464,149
108,Utah,6/18/2020,16015,152
109,Utah,6/19/2020,16585,155
110,Utah,6/20/2020,17173,155
111,Utah,6/21/2020,17567,158
112,Utah,6/22/2020,18035,158
113,Utah,6/23/2020,18454,163
114,Utah,6/24/2020,18915,163
115,Utah,6/25/2020,19544,164
116,Utah,6/26/2020,20218,166
117,Utah,6/27/2020,20735,167
118,Utah,6/28/2020,21155,167
119,Utah,6/29/2020,21818,168
120,Utah,6/30/2020,22364,172
121,Utah,7/1/2020,22864,173
122,Utah,7/2/2020,23466,176
123,Utah,7/3/2020,24070,181
124,Utah,7/4/2020,24717,181
125,Utah,7/5/2020,25005,184
126,Utah,7/6/2020,25653,190
127,Utah,7/7/2020,26203,194
128,Utah,7/8/2020,26921,201
129,Utah,7/9/2020,27632,205
130,Utah,7/10/2020,28452,207
131,Utah,7/11/2020,29071,212
132,Utah,7/12/2020,29552,215
133,Utah,7/13/2020,30282,216
134,Utah,7/14/2020,30774,226
135,Utah,7/15/2020,31228,233
136,Utah,7/16/2020,31908,234
137,Utah,7/17/2020,32572,238
138,Utah,7/18/2020,33430,243
139,Utah,7/19/2020,34117,243
140,Utah,7/20/2020,34526,249
141,Utah,7/21/2020,35089,255
142,Utah,7/22/2020,35677,262
143,Utah,7/23/2020,36178,271
144,Utah,7/24/2020,37063,277
145,Utah,7/25/2020,37623,278
146,Utah,7/26/2020,37973,278
147,Utah,7/27/2020,38439,285
148,Utah,7/28/2020,38877,290
149,Utah,7/29/2020,39339,297
150,Utah,7/30/2020,39714,303
151,Utah,7/31/2020,40249,308
