Id,State,Date,ConfirmedCases,Fatalities
1,Virginia,2/24/2020,0,0
2,Virginia,2/25/2020,0,0
3,Virginia,2/26/2020,0,0
4,Virginia,2/27/2020,0,0
5,Virginia,2/28/2020,0,0
6,Virginia,2/29/2020,0,0
7,Virginia,3/1/2020,0,0
8,Virginia,3/2/2020,0,0
9,Virginia,3/3/2020,0,0
10,Virginia,3/4/2020,0,0
11,Virginia,3/5/2020,0,0
12,Virginia,3/6/2020,0,0
13,Virginia,3/7/2020,1,0
14,Virginia,3/8/2020,2,0
15,Virginia,3/9/2020,5,0
16,Virginia,3/10/2020,8,0
17,Virginia,3/11/2020,10,0
18,Virginia,3/12/2020,17,0
19,Virginia,3/13/2020,30,0
20,Virginia,3/14/2020,42,1
21,Virginia,3/15/2020,45,1
22,Virginia,3/16/2020,51,1
23,Virginia,3/17/2020,67,2
24,Virginia,3/18/2020,78,2
25,Virginia,3/19/2020,94,2
26,Virginia,3/20/2020,115,2
27,Virginia,3/21/2020,152,3
28,Virginia,3/22/2020,219,6
29,Virginia,3/23/2020,254,6
30,Virginia,3/24/2020,291,7
31,Virginia,3/25/2020,390,9
32,Virginia,3/26/2020,603,14
33,Virginia,3/27/2020,605,14
34,Virginia,3/28/2020,739,17
35,Virginia,3/29/2020,889,22
36,Virginia,3/30/2020,1020,26
37,Virginia,3/31/2020,1249,27
38,Virginia,4/1/2020,1511,18
39,Virginia,4/2/2020,1706,18
40,Virginia,4/3/2020,2011,46
41,Virginia,4/4/2020,2408,52
42,Virginia,4/5/2020,2636,52
43,Virginia,4/6/2020,2877,54
44,Virginia,4/7/2020,3332,69
45,Virginia,4/8/2020,3644,60
46,Virginia,4/9/2020,4041,109
47,Virginia,4/10/2020,4509,121
48,Virginia,4/11/2020,5076,130
49,Virginia,4/12/2020,5273,141
50,Virginia,4/13/2020,5746,149
51,Virginia,4/14/2020,6173,154
52,Virginia,4/15/2020,6502,195
53,Virginia,4/16/2020,6891,208
54,Virginia,4/17/2020,7492,238
55,Virginia,4/18/2020,8053,258
56,Virginia,4/19/2020,8536,277
57,Virginia,4/20/2020,8989,300
58,Virginia,4/21/2020,9629,325
59,Virginia,4/22/2020,10265,349
60,Virginia,4/23/2020,10999,375
61,Virginia,4/24/2020,11595,413
62,Virginia,4/25/2020,12365,436
63,Virginia,4/26/2020,12969,448
64,Virginia,4/27/2020,13534,458
65,Virginia,4/28/2020,14338,492
66,Virginia,4/29/2020,14961,522
67,Virginia,4/30/2020,15846,552
68,Virginia,5/1/2020,16901,581
69,Virginia,5/2/2020,17731,616
