Id,State,Date,ConfirmedCases,Fatalities
1,Vermont,2/29/2020,1,0
2,Vermont,3/1/2020,1,0
3,Vermont,3/2/2020,1,0
4,Vermont,3/3/2020,1,0
5,Vermont,3/4/2020,1,0
6,Vermont,3/5/2020,1,0
7,Vermont,3/6/2020,1,0
8,Vermont,3/7/2020,1,0
9,Vermont,3/8/2020,1,0
10,Vermont,3/9/2020,1,0
11,Vermont,3/10/2020,1,0
12,Vermont,3/11/2020,2,0
13,Vermont,3/12/2020,2,0
14,Vermont,3/13/2020,2,0
15,Vermont,3/14/2020,5,0
16,Vermont,3/15/2020,8,0
17,Vermont,3/16/2020,12,0
18,Vermont,3/17/2020,14,0
19,Vermont,3/18/2020,19,0
20,Vermont,3/19/2020,22,2
21,Vermont,3/20/2020,29,2
22,Vermont,3/21/2020,49,2
23,Vermont,3/22/2020,52,2
24,Vermont,3/23/2020,75,2
25,Vermont,3/24/2020,95,7
26,Vermont,3/25/2020,123,8
27,Vermont,3/26/2020,158,9
28,Vermont,3/27/2020,184,10
29,Vermont,3/28/2020,211,12
30,Vermont,3/29/2020,235,12
31,Vermont,3/30/2020,256,12
32,Vermont,3/31/2020,293,13
33,Vermont,4/1/2020,321,16
34,Vermont,4/2/2020,338,17
35,Vermont,4/3/2020,389,17
36,Vermont,4/4/2020,461,20
37,Vermont,4/5/2020,512,22
38,Vermont,4/6/2020,543,23
39,Vermont,4/7/2020,575,23
40,Vermont,4/8/2020,605,23
41,Vermont,4/9/2020,628,23
42,Vermont,4/10/2020,679,24
43,Vermont,4/11/2020,711,24
44,Vermont,4/12/2020,727,26
45,Vermont,4/13/2020,748,27
46,Vermont,4/14/2020,752,28
47,Vermont,4/15/2020,759,29
48,Vermont,4/16/2020,768,34
49,Vermont,4/17/2020,779,34
50,Vermont,4/18/2020,803,36
51,Vermont,4/19/2020,812,36
52,Vermont,4/20/2020,816,37
53,Vermont,4/21/2020,818,39
54,Vermont,4/22/2020,823,39
55,Vermont,4/23/2020,825,42
56,Vermont,4/24/2020,827,43
57,Vermont,4/25/2020,843,45
58,Vermont,4/26/2020,851,45
59,Vermont,4/27/2020,855,46
60,Vermont,4/28/2020,862,46
61,Vermont,4/29/2020,862,46
62,Vermont,4/30/2020,866,48
63,Vermont,5/1/2020,879,49
64,Vermont,5/2/2020,886,50
65,Vermont,5/3/2020,897,52
66,Vermont,5/4/2020,902,52
67,Vermont,5/5/2020,907,52
68,Vermont,5/6/2020,908,52
69,Vermont,5/7/2020,916,53
70,Vermont,5/8/2020,919,53
71,Vermont,5/9/2020,921,53
72,Vermont,5/10/2020,926,53
73,Vermont,5/11/2020,926,53
74,Vermont,5/12/2020,927,53
75,Vermont,5/13/2020,929,53
76,Vermont,5/14/2020,932,53
77,Vermont,5/15/2020,933,53
78,Vermont,5/16/2020,934,53
79,Vermont,5/17/2020,940,54
80,Vermont,5/18/2020,940,54
81,Vermont,5/19/2020,944,54
82,Vermont,5/20/2020,944,54
83,Vermont,5/21/2020,950,54
84,Vermont,5/22/2020,952,54
85,Vermont,5/23/2020,954,54
86,Vermont,5/24/2020,956,54
87,Vermont,5/25/2020,962,54
88,Vermont,5/26/2020,967,54
89,Vermont,5/27/2020,971,54
90,Vermont,5/28/2020,974,55
91,Vermont,5/29/2020,975,55
92,Vermont,5/30/2020,977,55
93,Vermont,5/31/2020,981,55
94,Vermont,6/1/2020,983,55
95,Vermont,6/2/2020,988,55
