Id,State,Date,ConfirmedCases,Fatalities
1,Washington,2/11/2020,1,0
2,Washington,2/12/2020,1,0
3,Washington,2/13/2020,1,0
4,Washington,2/14/2020,1,0
5,Washington,2/15/2020,1,0
6,Washington,2/16/2020,1,0
7,Washington,2/17/2020,1,0
8,Washington,2/18/2020,1,0
9,Washington,2/19/2020,1,0
10,Washington,2/20/2020,1,0
11,Washington,2/21/2020,1,0
12,Washington,2/22/2020,1,0
13,Washington,2/23/2020,1,0
14,Washington,2/24/2020,5,0
15,Washington,2/25/2020,5,0
16,Washington,2/26/2020,5,0
17,Washington,2/27/2020,5,0
18,Washington,2/28/2020,7,0
19,Washington,2/29/2020,10,0
20,Washington,3/1/2020,17,3
21,Washington,3/2/2020,23,6
22,Washington,3/3/2020,32,9
23,Washington,3/4/2020,47,11
24,Washington,3/5/2020,75,15
25,Washington,3/6/2020,86,21
26,Washington,3/7/2020,110,22
27,Washington,3/8/2020,141,26
28,Washington,3/9/2020,179,30
29,Washington,3/10/2020,279,32
30,Washington,3/11/2020,338,35
31,Washington,3/12/2020,419,39
32,Washington,3/13/2020,511,42
33,Washington,3/14/2020,609,46
34,Washington,3/15/2020,675,52
35,Washington,3/16/2020,794,64
36,Washington,3/17/2020,908,73
37,Washington,3/18/2020,1026,77
38,Washington,3/19/2020,1228,87
39,Washington,3/20/2020,1404,99
40,Washington,3/21/2020,1655,106
41,Washington,3/22/2020,1844,121
42,Washington,3/23/2020,2101,132
43,Washington,3/24/2020,2469,141
44,Washington,3/25/2020,2585,154
45,Washington,3/26/2020,3208,178
46,Washington,3/27/2020,3770,194
47,Washington,3/28/2020,4311,215
48,Washington,3/29/2020,4897,232
49,Washington,3/30/2020,5180,243
50,Washington,3/31/2020,5293,257
51,Washington,4/1/2020,5589,277
52,Washington,4/2/2020,6586,305
53,Washington,4/3/2020,6967,333
54,Washington,4/4/2020,7499,360
55,Washington,4/5/2020,7985,381
56,Washington,4/6/2020,8385,402
57,Washington,4/7/2020,8683,424
58,Washington,4/8/2020,9098,438
59,Washington,4/9/2020,9609,454
60,Washington,4/10/2020,9888,471
61,Washington,4/11/2020,10227,489
62,Washington,4/12/2020,10414,504
63,Washington,4/13/2020,10547,521
64,Washington,4/14/2020,10711,537
65,Washington,4/15/2020,10806,546
66,Washington,4/16/2020,11180,566
67,Washington,4/17/2020,11479,580
68,Washington,4/18/2020,11850,593
69,Washington,4/19/2020,11864,610
70,Washington,4/20/2020,12255,624
71,Washington,4/21/2020,12410,635
72,Washington,4/22/2020,12606,642
73,Washington,4/23/2020,12981,649
74,Washington,4/24/2020,13197,654
75,Washington,4/25/2020,13565,660
76,Washington,4/26/2020,13744,733
77,Washington,4/27/2020,13958,744
78,Washington,4/28/2020,14165,760
79,Washington,4/29/2020,14490,781
80,Washington,4/30/2020,14814,796
81,Washington,5/1/2020,15134,809
82,Washington,5/2/2020,15383,819
83,Washington,5/3/2020,15943,825
84,Washington,5/4/2020,16047,829
85,Washington,5/5/2020,16234,836
86,Washington,5/6/2020,16873,857
87,Washington,5/7/2020,17187,865
88,Washington,5/8/2020,17477,886
89,Washington,5/9/2020,17629,900
90,Washington,5/10/2020,17781,916
91,Washington,5/11/2020,18172,926
92,Washington,5/12/2020,18382,940
93,Washington,5/13/2020,18492,957
94,Washington,5/14/2020,18861,970
95,Washington,5/15/2020,19131,978
96,Washington,5/16/2020,19336,987
97,Washington,5/17/2020,19514,995
98,Washington,5/18/2020,19756,996
99,Washington,5/19/2020,19988,997
100,Washington,5/20/2020,20110,1026
101,Washington,5/21/2020,20280,1032
102,Washington,5/22/2020,20526,1039
103,Washington,5/23/2020,20740,1045
104,Washington,5/24/2020,20989,1050
105,Washington,5/25/2020,21265,1056
106,Washington,5/26/2020,21538,1065
107,Washington,5/27/2020,21825,1073
108,Washington,5/28/2020,22091,1090
109,Washington,5/29/2020,22377,1101
110,Washington,5/30/2020,22618,1106
111,Washington,5/31/2020,22814,1113
112,Washington,6/1/2020,23272,1113
113,Washington,6/2/2020,23608,1119
114,Washington,6/3/2020,23776,1124
115,Washington,6/4/2020,23999,1130
116,Washington,6/5/2020,24546,1133
117,Washington,6/6/2020,24767,1144
118,Washington,6/7/2020,25064,1148
119,Washington,6/8/2020,25593,1154
120,Washington,6/9/2020,25796,1156
121,Washington,6/10/2020,25940,1171
122,Washington,6/11/2020,26172,1185
123,Washington,6/12/2020,26576,1189
124,Washington,6/13/2020,26920,1199
125,Washington,6/14/2020,27135,1208
126,Washington,6/15/2020,27577,1212
127,Washington,6/16/2020,27949,1216
128,Washington,6/17/2020,28270,1226
129,Washington,6/18/2020,28663,1221
130,Washington,6/19/2020,29045,1240
131,Washington,6/20/2020,29466,1250
132,Washington,6/21/2020,29797,1260
133,Washington,6/22/2020,30443,1265
134,Washington,6/23/2020,30778,1271
135,Washington,6/24/2020,31400,1279
136,Washington,6/25/2020,31998,1288
137,Washington,6/26/2020,32489,1295
138,Washington,6/27/2020,33031,1299
139,Washington,6/28/2020,33341,1305
140,Washington,6/29/2020,34036,1305
141,Washington,6/30/2020,34541,1315
142,Washington,7/1/2020,35258,1327
143,Washington,7/2/2020,35921,1334
144,Washington,7/3/2020,36417,1337
145,Washington,7/4/2020,36799,1347
146,Washington,7/5/2020,37468,1349
147,Washington,7/6/2020,38517,1354
148,Washington,7/7/2020,39063,1365
149,Washington,7/8/2020,39661,1379
150,Washington,7/9/2020,40369,1389
151,Washington,7/10/2020,41090,1404
152,Washington,7/11/2020,41326,1419
153,Washington,7/12/2020,42181,1419
154,Washington,7/13/2020,43538,1433
155,Washington,7/14/2020,44257,1394
156,Washington,7/15/2020,45004,1399
157,Washington,7/16/2020,46268,1416
158,Washington,7/17/2020,47226,1422
159,Washington,7/18/2020,47889,1429
160,Washington,7/19/2020,48601,1439
161,Washington,7/20/2020,49949,1442
162,Washington,7/21/2020,50746,1448
163,Washington,7/22/2020,51442,1460
164,Washington,7/23/2020,52255,1463
165,Washington,7/24/2020,53279,1477
166,Washington,7/25/2020,53884,1490
167,Washington,7/26/2020,54422,1489
168,Washington,7/27/2020,55548,1496
169,Washington,7/28/2020,56576,1513
170,Washington,7/29/2020,57300,1543
171,Washington,7/30/2020,58100,1550
172,Washington,7/31/2020,58726,1559
