Id,State,Date,ConfirmedCases,Fatalities
1,Wisconsin,2/29/2020,1,0
2,Wisconsin,3/1/2020,1,0
3,Wisconsin,3/2/2020,1,0
4,Wisconsin,3/3/2020,1,0
5,Wisconsin,3/4/2020,1,0
6,Wisconsin,3/5/2020,1,0
7,Wisconsin,3/6/2020,1,0
8,Wisconsin,3/7/2020,1,0
9,Wisconsin,3/8/2020,1,0
10,Wisconsin,3/9/2020,2,0
11,Wisconsin,3/10/2020,3,0
12,Wisconsin,3/11/2020,6,0
13,Wisconsin,3/12/2020,8,0
14,Wisconsin,3/13/2020,19,0
15,Wisconsin,3/14/2020,27,0
16,Wisconsin,3/15/2020,33,0
17,Wisconsin,3/16/2020,47,0
18,Wisconsin,3/17/2020,72,0
19,Wisconsin,3/18/2020,106,0
20,Wisconsin,3/19/2020,155,2
21,Wisconsin,3/20/2020,216,3
22,Wisconsin,3/21/2020,281,4
23,Wisconsin,3/22/2020,382,4
24,Wisconsin,3/23/2020,418,5
25,Wisconsin,3/24/2020,481,5
26,Wisconsin,3/25/2020,623,7
27,Wisconsin,3/26/2020,754,10
28,Wisconsin,3/27/2020,930,16
29,Wisconsin,3/28/2020,1042,17
30,Wisconsin,3/29/2020,1120,17
31,Wisconsin,3/30/2020,1269,20
32,Wisconsin,3/31/2020,1351,25
33,Wisconsin,4/1/2020,1552,33
34,Wisconsin,4/2/2020,1730,37
35,Wisconsin,4/3/2020,1916,50
36,Wisconsin,4/4/2020,2112,60
37,Wisconsin,4/5/2020,2267,73
38,Wisconsin,4/6/2020,2440,83
39,Wisconsin,4/7/2020,2578,94
40,Wisconsin,4/8/2020,2756,107
41,Wisconsin,4/9/2020,2885,116
42,Wisconsin,4/10/2020,3068,131
43,Wisconsin,4/11/2020,3213,141
44,Wisconsin,4/12/2020,3341,145
45,Wisconsin,4/13/2020,3428,155
46,Wisconsin,4/14/2020,3555,172
47,Wisconsin,4/15/2020,3721,184
48,Wisconsin,4/16/2020,3875,197
49,Wisconsin,4/17/2020,4045,205
50,Wisconsin,4/18/2020,4199,212
51,Wisconsin,4/19/2020,4346,222
52,Wisconsin,4/20/2020,4499,231
53,Wisconsin,4/21/2020,4620,243
54,Wisconsin,4/22/2020,4845,247
55,Wisconsin,4/23/2020,5052,257
56,Wisconsin,4/24/2020,5356,262
57,Wisconsin,4/25/2020,5687,266
58,Wisconsin,4/26/2020,5911,274
59,Wisconsin,4/27/2020,6081,281
60,Wisconsin,4/28/2020,6289,300
