Id,State,Date,ConfirmedCases,Fatalities
1,West_Virginia,3/10/2020,1,0
2,West_Virginia,3/11/2020,1,0
3,West_Virginia,3/12/2020,1,0
4,West_Virginia,3/13/2020,1,0
5,West_Virginia,3/14/2020,1,0
6,West_Virginia,3/15/2020,1,0
7,West_Virginia,3/16/2020,1,0
8,West_Virginia,3/17/2020,1,0
9,West_Virginia,3/18/2020,2,0
10,West_Virginia,3/19/2020,5,0
11,West_Virginia,3/20/2020,8,0
12,West_Virginia,3/21/2020,12,0
13,West_Virginia,3/22/2020,16,0
14,West_Virginia,3/23/2020,16,0
15,West_Virginia,3/24/2020,39,0
16,West_Virginia,3/25/2020,51,0
17,West_Virginia,3/26/2020,76,0
18,West_Virginia,3/27/2020,96,0
19,West_Virginia,3/28/2020,113,0
20,West_Virginia,3/29/2020,124,1
21,West_Virginia,3/30/2020,145,1
22,West_Virginia,3/31/2020,162,1
23,West_Virginia,4/1/2020,191,2
24,West_Virginia,4/2/2020,217,2
25,West_Virginia,4/3/2020,242,2
26,West_Virginia,4/4/2020,282,2
27,West_Virginia,4/5/2020,325,3
28,West_Virginia,4/6/2020,347,4
29,West_Virginia,4/7/2020,413,4
30,West_Virginia,4/8/2020,483,4
31,West_Virginia,4/9/2020,524,5
32,West_Virginia,4/10/2020,537,5
33,West_Virginia,4/11/2020,593,6
34,West_Virginia,4/12/2020,615,8
35,West_Virginia,4/13/2020,638,9
36,West_Virginia,4/14/2020,697,10
37,West_Virginia,4/15/2020,725,12
38,West_Virginia,4/16/2020,739,13
39,West_Virginia,4/17/2020,776,16
40,West_Virginia,4/18/2020,825,18
41,West_Virginia,4/19/2020,890,20
42,West_Virginia,4/20/2020,908,26
43,West_Virginia,4/21/2020,929,26
44,West_Virginia,4/22/2020,939,29
45,West_Virginia,4/23/2020,981,31
46,West_Virginia,4/24/2020,1010,32
47,West_Virginia,4/25/2020,1025,33
48,West_Virginia,4/26/2020,1054,34
49,West_Virginia,4/27/2020,1078,37
50,West_Virginia,4/28/2020,1096,38
51,West_Virginia,4/29/2020,1110,40
52,West_Virginia,4/30/2020,1126,44
53,West_Virginia,5/1/2020,1152,47
54,West_Virginia,5/2/2020,1185,50
55,West_Virginia,5/3/2020,1196,50
56,West_Virginia,5/4/2020,1225,50
57,West_Virginia,5/5/2020,1243,50
58,West_Virginia,5/6/2020,1277,51
59,West_Virginia,5/7/2020,1298,51
60,West_Virginia,5/8/2020,1324,52
61,West_Virginia,5/9/2020,1348,53
62,West_Virginia,5/10/2020,1363,54
63,West_Virginia,5/11/2020,1370,57
64,West_Virginia,5/12/2020,1379,58
65,West_Virginia,5/13/2020,1405,59
66,West_Virginia,5/14/2020,1435,62
67,West_Virginia,5/15/2020,1448,64
68,West_Virginia,5/16/2020,1470,65
69,West_Virginia,5/17/2020,1492,67
70,West_Virginia,5/18/2020,1502,68
71,West_Virginia,5/19/2020,1514,68
72,West_Virginia,5/20/2020,1567,69
73,West_Virginia,5/21/2020,1603,71
74,West_Virginia,5/22/2020,1705,72
75,West_Virginia,5/23/2020,1729,72
76,West_Virginia,5/24/2020,1771,72
77,West_Virginia,5/25/2020,1782,73
78,West_Virginia,5/26/2020,1854,74
79,West_Virginia,5/27/2020,1899,74
80,West_Virginia,5/28/2020,1935,74
81,West_Virginia,5/29/2020,1972,74
82,West_Virginia,5/30/2020,1989,75
83,West_Virginia,5/31/2020,2010,75
84,West_Virginia,6/1/2020,2028,76
85,West_Virginia,6/2/2020,2056,78
86,West_Virginia,6/3/2020,2077,78
87,West_Virginia,6/4/2020,2102,79
88,West_Virginia,6/5/2020,2119,84
89,West_Virginia,6/6/2020,2136,84
90,West_Virginia,6/7/2020,2144,84
91,West_Virginia,6/8/2020,2161,84
92,West_Virginia,6/9/2020,2179,84
93,West_Virginia,6/10/2020,2193,85
94,West_Virginia,6/11/2020,2217,86
95,West_Virginia,6/12/2020,2249,88
96,West_Virginia,6/13/2020,2274,88
97,West_Virginia,6/14/2020,2290,88
98,West_Virginia,6/15/2020,2322,88
99,West_Virginia,6/16/2020,2341,88
100,West_Virginia,6/17/2020,2376,88
101,West_Virginia,6/18/2020,2418,88
102,West_Virginia,6/19/2020,2468,88
103,West_Virginia,6/20/2020,2500,88
104,West_Virginia,6/21/2020,2543,89
105,West_Virginia,6/22/2020,2571,90
106,West_Virginia,6/23/2020,2593,92
107,West_Virginia,6/24/2020,2629,92
108,West_Virginia,6/25/2020,2693,92
109,West_Virginia,6/26/2020,2729,92
110,West_Virginia,6/27/2020,2781,93
111,West_Virginia,6/28/2020,2831,93
112,West_Virginia,6/29/2020,2869,93
113,West_Virginia,6/30/2020,2904,93
114,West_Virginia,7/1/2020,2979,93
115,West_Virginia,7/2/2020,3053,93
116,West_Virginia,7/3/2020,3126,93
117,West_Virginia,7/4/2020,3205,94
118,West_Virginia,7/5/2020,3335,95
119,West_Virginia,7/6/2020,3442,95
120,West_Virginia,7/7/2020,3505,95
121,West_Virginia,7/8/2020,3707,95
122,West_Virginia,7/9/2020,3826,95
123,West_Virginia,7/10/2020,3983,95
124,West_Virginia,7/11/2020,4146,96
125,West_Virginia,7/12/2020,4244,96
126,West_Virginia,7/13/2020,4313,97
127,West_Virginia,7/14/2020,4407,97
128,West_Virginia,7/15/2020,4557,98
129,West_Virginia,7/16/2020,4657,99
130,West_Virginia,7/17/2020,4783,100
131,West_Virginia,7/18/2020,4922,100
132,West_Virginia,7/19/2020,5042,100
133,West_Virginia,7/20/2020,5142,100
134,West_Virginia,7/21/2020,5199,101
135,West_Virginia,7/22/2020,5461,102
136,West_Virginia,7/23/2020,5550,103
137,West_Virginia,7/24/2020,5695,103
138,West_Virginia,7/25/2020,5821,103
139,West_Virginia,7/26/2020,5960,103
140,West_Virginia,7/27/2020,6054,106
141,West_Virginia,7/28/2020,6173,111
142,West_Virginia,7/29/2020,6326,112
143,West_Virginia,7/30/2020,6422,115
144,West_Virginia,7/31/2020,6642,116
