Id,State,Date,ConfirmedCases,Fatalities
1,Wyoming,3/25/2020,49,0
2,Wyoming,3/26/2020,56,0
3,Wyoming,3/27/2020,74,0
4,Wyoming,3/28/2020,85,0
5,Wyoming,3/29/2020,88,0
6,Wyoming,3/30/2020,96,0
7,Wyoming,3/31/2020,121,0
8,Wyoming,4/1/2020,138,0
9,Wyoming,4/2/2020,154,0
10,Wyoming,4/3/2020,167,0
11,Wyoming,4/4/2020,189,0
12,Wyoming,4/5/2020,200,0
13,Wyoming,4/6/2020,213,0
14,Wyoming,4/7/2020,221,0
15,Wyoming,4/8/2020,230,0
16,Wyoming,4/9/2020,303,0
17,Wyoming,4/10/2020,320,0
18,Wyoming,4/11/2020,343,0
19,Wyoming,4/12/2020,364,0
20,Wyoming,4/13/2020,373,1
21,Wyoming,4/14/2020,373,1
22,Wyoming,4/15/2020,392,2
23,Wyoming,4/16/2020,393,2
24,Wyoming,4/17/2020,401,2
25,Wyoming,4/18/2020,412,2
26,Wyoming,4/19/2020,422,2
27,Wyoming,4/20/2020,426,2
28,Wyoming,4/21/2020,442,6
29,Wyoming,4/22/2020,447,6
30,Wyoming,4/23/2020,453,7
31,Wyoming,4/24/2020,473,7
32,Wyoming,4/25/2020,477,7
33,Wyoming,4/26/2020,502,7
34,Wyoming,4/27/2020,520,7
35,Wyoming,4/28/2020,536,7
36,Wyoming,4/29/2020,544,7
37,Wyoming,4/30/2020,559,7
38,Wyoming,5/1/2020,566,7
39,Wyoming,5/2/2020,579,7
40,Wyoming,5/3/2020,586,7
41,Wyoming,5/4/2020,596,7
42,Wyoming,5/5/2020,604,7
43,Wyoming,5/6/2020,631,7
44,Wyoming,5/7/2020,635,7
45,Wyoming,5/8/2020,644,7
46,Wyoming,5/9/2020,653,7
47,Wyoming,5/10/2020,662,7
48,Wyoming,5/11/2020,669,7
49,Wyoming,5/12/2020,675,7
50,Wyoming,5/13/2020,688,7
51,Wyoming,5/14/2020,701,7
52,Wyoming,5/15/2020,716,7
53,Wyoming,5/16/2020,741,7
54,Wyoming,5/17/2020,754,8
55,Wyoming,5/18/2020,766,10
56,Wyoming,5/19/2020,776,10
57,Wyoming,5/20/2020,787,11
58,Wyoming,5/21/2020,801,12
59,Wyoming,5/22/2020,803,12
60,Wyoming,5/23/2020,813,12
61,Wyoming,5/24/2020,813,12
62,Wyoming,5/25/2020,843,12
63,Wyoming,5/26/2020,850,13
64,Wyoming,5/27/2020,860,14
65,Wyoming,5/28/2020,876,15
66,Wyoming,5/29/2020,891,15
67,Wyoming,5/30/2020,898,16
68,Wyoming,5/31/2020,903,16
69,Wyoming,6/1/2020,910,17
70,Wyoming,6/2/2020,912,17
71,Wyoming,6/3/2020,915,17
72,Wyoming,6/4/2020,921,17
73,Wyoming,6/5/2020,933,17
74,Wyoming,6/6/2020,939,17
75,Wyoming,6/7/2020,947,17
76,Wyoming,6/8/2020,960,17
77,Wyoming,6/9/2020,970,17
78,Wyoming,6/10/2020,980,18
79,Wyoming,6/11/2020,1009,18
80,Wyoming,6/12/2020,1027,18
81,Wyoming,6/13/2020,1050,18
82,Wyoming,6/14/2020,1060,18
83,Wyoming,6/15/2020,1079,18
84,Wyoming,6/16/2020,1089,18
85,Wyoming,6/17/2020,1114,18
86,Wyoming,6/18/2020,1144,18
87,Wyoming,6/19/2020,1173,20
88,Wyoming,6/20/2020,1179,20
89,Wyoming,6/21/2020,1197,20
90,Wyoming,6/22/2020,1230,20
91,Wyoming,6/23/2020,1254,20
92,Wyoming,6/24/2020,1282,20
93,Wyoming,6/25/2020,1326,20
94,Wyoming,6/26/2020,1368,20
95,Wyoming,6/27/2020,1392,20
96,Wyoming,6/28/2020,1417,20
97,Wyoming,6/29/2020,1450,20
98,Wyoming,6/30/2020,1487,20
99,Wyoming,7/1/2020,1514,20
100,Wyoming,7/2/2020,1550,20
101,Wyoming,7/3/2020,1582,20
102,Wyoming,7/4/2020,1606,20
103,Wyoming,7/5/2020,1634,20
104,Wyoming,7/6/2020,1675,20
105,Wyoming,7/7/2020,1711,21
106,Wyoming,7/8/2020,1740,21
107,Wyoming,7/9/2020,1774,21
108,Wyoming,7/10/2020,1790,21
109,Wyoming,7/11/2020,1839,21
110,Wyoming,7/12/2020,1862,21
111,Wyoming,7/13/2020,1903,21
112,Wyoming,7/14/2020,1951,22
113,Wyoming,7/15/2020,1985,22
114,Wyoming,7/16/2020,2026,24
115,Wyoming,7/17/2020,2069,24
116,Wyoming,7/18/2020,2108,24
117,Wyoming,7/19/2020,2126,24
118,Wyoming,7/20/2020,2187,24
119,Wyoming,7/21/2020,2238,25
120,Wyoming,7/22/2020,2288,25
121,Wyoming,7/23/2020,2347,25
122,Wyoming,7/24/2020,2405,25
123,Wyoming,7/25/2020,2446,25
124,Wyoming,7/26/2020,2475,25
125,Wyoming,7/27/2020,2520,25
126,Wyoming,7/28/2020,2589,26
127,Wyoming,7/29/2020,2628,26
128,Wyoming,7/30/2020,2686,26
129,Wyoming,7/31/2020,2726,26
